EG1	Gene name2	b-name3	Protein description4	Mol. weight [Da]5	Protein length (amino acids)6	Oi7	Index8	FPER9	pi10	ni11	Relative APEX12	APEX copies/cell13	Index	FPER	pi	ni	Relative APEX	APEX copies/cell 	Average APEX copies/cell	Average APEX cost in ATP	Average total number of redundant MS/MS scans	CV	ID14	Peptides (seq)15	Sequence coverage [%]16	PEP17	Intensity18	iBAQ, fmol/ml19	iBAQ copies/cell20	ID	Peptides (seq)	Sequence coverage [%]	PEP	Intensity	iBAQ, fmol/ml	iBAQ copies/cell	Average iBAQ copies/cell	Average iBAQ cost in ATP	Average of sequenced peptides	CV	Query21	Score22	Matches23	Sequences24	emPAI25	Relative emPAI26	emPAI copies/cell27	Query	Score	Matches	Sequences	emPAI	Relative emPAI	emPAI copies/cell	Average emPAI copies/cell	Average emPAI cost in ATP	Average of sequenced peptides	CV 	COG assignment28	COG class29	Arg count30	Lys count31	Pro count32	Theoretical peptide count33	CAI 0.5% cut-off34	kcat35, s-1	Main metabolic network36
eg10650	ndk	b2518	nucleoside diphosphate kinase (ndk) [2.7.4.6] {escherichia coli k12-mg1655}                                                         	15445.473	143	5.39	166	0	1	45	0.003424798	6951	161	0	1	35	0.002928901	5978	6464	3952634	40	11%	726	8	55.9	4.06E-215	294510000	62393.33333	4151	721	9	65.7	1.33E-229	192310000	61237.33333	4507	4329	2647015	9	6%	200	1324	125 (41)	15 (6)	6.21	0.002288304	4644	173	1395	94 (44)	13 (7)	7.79	0.002947765	6016	5330	3259199	14(7)	18%	cog0105;nucleoside diphosphate kinase	[F]	9	5	5	10	0.449232495	0.144996724	yes
eg10752	potd	b1123	spermidine/putrescine periplasmic transport protein (potd) {escherichia coli k12-mg1655}                                                         	38849.076	348	17.33210714	198	0	1	82	0.001940768	3939	191	0	1	70	0.00182168	3718	3828	5720416	76	4%	342	16	52.9	3.09E-272	402570000	52634.66667	3502	337	17	52.9	1.27E-261	221530000	45348	3338	3420	5109684	17	3%	216	1271	172 (66)	30 (14)	3.01	0.001109146	2251	203	1234	177 (60)	32 (12)	2.7	0.00102169	2085	2168	3239632	31(13)	5%	cog0687;spermidine/putrescine-binding periplasmic protein	[E]	8	30	21	24	0.369001126		
eg12457	ydga	b1614	orf, hypothetical protein (ydga) {escherichia coli k12-mg1655}                                                          	54671.11	502	25.73814286	434	0	1	55	8.77E-04	1780	434	0	1	79	0.001384444	2826	2303	4967736	67	32%	466	23	72.5	1.41E-203	190550000	18384	1223	460	23	73.1	2.06E-244	101490000	15613.33333	1149	1186	2558835	23	4%	220	1239	192 (53)	39 (17)	1.71	0.000630113	1279	204	1226	196 (60)	37 (19)	2.22	0.000840056	1714	1497	3228809	38(18)	21%	cog5339;uncharacterized protein conserved in bacteria	[S]	7	37	21	39	0.314353274		
eg10907	rpsh	b3306	30s ribosomal subunit protein s8, and regulator (rpsh) {escherichia coli k12-mg1655}                                                      	14108.585	130	10.45	265	0	1	36	0.00141318	2868	257	0	1	39	0.001683347	3436	3152	1750796	38	13%	942	11	73.8	2.73E-129	459350000	76549.33333	5093	932	12	79.2	3.79E-106	210900000	57124	4204	4649	2582188	12	14%	425	557	187 (31)	29 (10)	7.58	0.002793131	5669	304	789	194 (35)	28 (6)	7.58	0.0028683	5854	5761	3200350	29(8)	2%	cog0096;ribosomal protein s8	[J]	8	12	5	15	0.41621323		
eg10886	rpmb	b3637	50s ribosomal subunit protein l28 (rpmb) {escherichia coli k12-mg1655}                                                        	8988.503	78	7.445	250	0	1	36	0.001983577	4026	243	0	1	34	0.002059869	4204	4115	1364364	35	3%	1045	9	74.4	9.29E-46	339360000	103794.6667	6906	1036	7	64.1	1.64E-38	169830000	82525.33333	6074	6490	2151743	8	9%	393	609	118 (29)	23 (6)	12.42	0.004576608	9289	400	559	119 (25)	22 (5)	12.42	0.004699774	9592	9440	3130047	23(6)	2%	cog0227;ribosomal protein l28	[J]	11	7	2	13	0.415089386		
eg10888	rpmd	b3302	50s ribosomal subunit protein l30 (rpmd) {escherichia coli k12-mg1655}                                                        	6523.808	59	6.48	669	1.75E-05	0.9996	18	0.001139029	2312	746	2.13E-04	0.9966	8	5.55E-04	1133	1722	430128	13	48%	938	7	72.9	7.04E-43	349780000	145800	9700	928	6	72.9	8.77E-43	198540000	127309.3333	9370	9535	2381368	7	2%	579	342	90 (16)	20 (5)	20.1	0.007406589	15033	642	251	83 (14)	17 (4)	12.65	0.004786807	9769	12401	3097131	19(5)	30%	cog1841;ribosomal protein l30/l7e	[J]	6	5	2	10	0.378259874		
eg10797	purl	b2557	phosphoribosylformyl-glycineamide synthetase = fgam synthetase (purl) [6.3.5.3] {escherichia coli k12-mg1655}                                                       	141385.171	1295	59.03977381	218	0	1	106	7.36E-04	1494	211	0	1	92	7.03E-04	1435	1464	8158943	99	3%	741	32	36.5	0	183830000	9470.533333	630	736	29	31.6	0	159840000	11822.4	870	750	4179530	31	23%	99	2435	419 (94)	88 (21)	0.77	0.000283735	576	89	2510	389 (85)	83 (20)	0.69	0.000261099	533	554	3088973	86(21)	5%	cog0046;phosphoribosylformylglycinamidine (fgam) synthase, synthetase domain -!- cog0047;phosphoribosylformylglycinamidine (fgam) synthase, glutamine amidotransferase domain	[F]	78	42	61	100	0.363568743	0.901627194	yes
eg10680	osmc	b1482	osmotically inducible protein (osmc) {escherichia coli k12-mg1655}                                                          	15070.174	143	9.284642857	175	0	1	55	0.002430013	4932	169	0	1	49	0.002380435	4858	4895	2993140	52	1%	437	8	58.7	2.98E-298	1087000000	257333.3333	17121	431	8	58.7	1.84E-302	581170000	213293.3333	15698	16410	10033625	8	6%	165	1617	98 (59)	15 (7)	6.51	0.00239885	4869	175	1376	91 (49)	15 (7)	6.51	0.002463408	5028	4948	3025575	15(7)	2%	cog1764;predicted redox protein, regulator of disulfide bond formation	[O]	2	12	5	11	0.282056382		
eg11008	tolb	b0740	periplasmic protein involved in the tonb-independent uptake of group a colicins (tolb) {escherichia coli k12-mg1655}                                                  	45937.586	430	19.19880952	295	0	1	66	0.0014102	2862	287	0	1	46	0.001080709	2206	2534	4680817	56	18%	220	17	59.8	0	192890000	25146.66667	1673	214	17	59.8	0	124580000	24704	1818	1746	3224629	17	6%	96	2528	159 (84)	26 (15)	2.25	0.000829096	1683	111	2115	147 (73)	29 (14)	2.03	0.00076816	1568	1625	3002282	28(15)	5%	cog0823;periplasmic component of the tol biopolymer transport system	[U]	20	14	28	28	0.338715784		
eg10135	carb	b0033	carbamoyl-phosphate synthase large subunit (carb) [6.3.5.5] {escherichia coli k12-mg1655}                                                        	117824.063	1073	55.42816667	32	0	1	84	6.22E-04	1262	33	0	1	77	6.27E-04	1280	1271	5867161	81	1%	16	33	35	0	156620000	8963.333333	596	15	35	38.1	0	105650000	9203.6	677	637	2939766	34	9%	132	1913	447 (80)	108 (21)	0.82	0.000302159	613	128.1	1834	422 (80)	99 (22)	0.87	0.000329211	672	643	2966169	104(22)	6%	cog0458;carbamoylphosphate synthase large subunit (split gene in mj)	[EF]	69	56	44	96	0.410717124	3.904758216	yes
eg11576	leuc	b0072	3-isopropylmalate isomerase (dehydratase) subunit (leuc) [4.2.1.33] {escherichia coli k12-mg1655}                                                        	49864.023	466	23.93291667	373	0	1	79	0.001354075	2748	370	0	1	68	0.001281559	2616	2682	5369952	74	3%	25	18	47.9	0	502350000	47805.33333	3181	25	19	51.9	0	315770000	45685.33333	3362	3271	6550452	19	4%	130	1948	248 (82)	46 (12)	1.76	0.000648537	1316	137	1759	224 (68)	46 (13)	2.13	0.000806	1645	1481	2964651	46(13)	16%	cog0065;3-isopropylmalate dehydratase large subunit	[E]	21	25	23	39	0.369934212	0.560600726	yes
eg10547	lrp	b0889	regulator for leucine (or lrp) regulon and high-affinity branched-chain amino acid transport system (lrp) {escherichia coli k12-mg1655}                                                	18868.815	164	11.13366667	141	0	1	37	0.001363247	2767	135	0	1	38	0.001539468	3142	2954	2073625	38	9%	265	12	52.4	1.10E-76	327230000	67737.33333	4507	259	12	52.4	1.09E-83	189230000	60478.66667	4451	4479	3143659	12	1%	568	353	129 (35)	26 (11)	6.1	0.002247771	4562	493	412	134 (28)	25 (9)	5.03	0.001903371	3885	4223	2964291	26(10)	11%	cog1522;transcriptional regulators	[K]	16	10	7	18	0.261981612		
eg10032	adk	b0474	adenylate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity (adk) [2.7.4.3] {escherichia coli k12-mg1655}                                                   	23568.057	214	20.4375	8	0	1	39	7.83E-04	1589	8	0	1	47	0.001037279	2117	1853	1699618	43	20%	154	12	58.4	5.52E-144	236180000	36406.66667	2422	151	14	62.6	7.80E-95	139610000	33273.33333	2449	2436	2233824	13	1%	373	651	175 (37)	38 (10)	3.9	0.001437099	2917	246	994	189 (46)	34 (10)	4.59	0.001736873	3545	3231	2963207	36(10)	14%	cog0563;adenylate kinase and related kinases	[F]	13	18	10	25	0.455574254	0.15167225	yes
eg11017	trea	b1197	trehalase, periplasmic (trea) [3.2.1.28] {escherichia coli k12-mg1655}                                                          	63618.809	565	29.21433333	298	0	1	83	0.001165449	2365	290	0	1	65	0.001003559	2048	2207	5359399	74	10%	361	21	55.6	0	218660000	19492	1297	355	25	64.4	0	117340000	16641.33333	1225	1261	3061983	23	4%	142	1862	222 (74)	46 (17)	1.73	0.000637482	1294	168	1438	219 (65)	48 (17)	1.47	0.000556254	1135	1215	2949654	47(17)	9%	cog1626;neutral trehalase	[G]	24	32	42	45	0.283566955		
eg10597	mind	b1175	cell division inhibitor, a membrane atpase, activates minc (mind) {escherichia coli k12-mg1655}                                                     	29596.11	270	19.72195238	159	0	1	50	0.001039995	2111	153	0	1	50	0.001143525	2334	2222	2574139	50	7%	352	18	54.1	2.87E-242	202800000	32326.66667	2151	347	19	56.3	3.16E-192	119880000	29581.33333	2177	2164	2506539	19	1%	265	999	247 (44)	33 (14)	4.45	0.001639767	3328	208	1198	218 (37)	38 (9)	2.21	0.000836272	1707	2517	2915980	36(12)	46%	cog2894;septum formation inhibitor-activating atpase	[D]	20	17	8	26	0.284032417		
eg10881	rplt	b1716	50s ribosomal subunit protein l20, and regulator (rplt) {escherichia coli k12-mg1655}                                                      	13478.943	118	11.41690476	246	0	1	69	0.002479202	5032	239	0	1	47	0.001856842	3790	4411	2222145	58	20%	502	11	63.6	1.17E-38	422100000	82614.66667	5497	494	13	70.3	2.04E-36	231670000	70704	5204	5350	2695401	12	4%	633	292	191 (34)	31 (10)	8.48	0.00312477	6342	568	334	184 (29)	33 (9)	6.57	0.002486113	5074	5708	2875714	32(10)	16%	cog0292;ribosomal protein l20	[J]	16	14	0	17	0.454910897		
eg10061	arca	b4401	negative response regulator of genes in aerobic pathways, (sensors, arcb and cpxa) (arca) {escherichia coli k12-mg1655}                                                 	27274.087	238	17.54464286	13	0	1	56	0.001309347	2657	14	0	1	61	0.001568233	3201	2929	2989165	59	13%	1274	17	63.4	0	532240000	76141.33333	5066	1262	17	63.4	2.94E-275	319990000	69969.33333	5150	5108	5212561	17	1%	204	1313	186 (60)	30 (10)	3.98	0.001466578	2977	266	878	178 (52)	30 (10)	3.44	0.001301709	2657	2817	2874441	30(10)	8%	cog0745;response regulators consisting of a chey-like receiver domain and a winged-helix dna-binding domain	[TK]	20	11	10	24	0.394033158		
eg12084	nuoc	b2286	nadh dehydrogenase i chain c, d (nuoc) [1.6.5.3] {escherichia coli k12-mg1655}                                                      	68218.285	596	36.20620238	405	0	1	63	7.14E-04	1449	403	0	1	44	5.48E-04	1118	1284	3289147	54	18%	655	27	50.5	0	182940000	15513.33333	1032	651	23	47	5.18E-286	99540000	13417.33333	987	1010	2587217	25	3%	198	1331	248 (67)	65 (21)	1.81	0.000666961	1354	338	675	193 (37)	57 (15)	1.12	0.000423812	865	1109	2842160	61(18)	31%	cog0852;nadh:ubiquinone oxidoreductase 27 kd subunit -!- cog0649;nadh:ubiquinone oxidoreductase 49 kd subunit 7	[C]	43	24	37	48	0.389690082	257.5908168	yes
eg10695	pepd	b0237	aminoacyl-histidine dipeptidase (peptidase d) (pepd) [3.4.13.3] {escherichia coli k12-mg1655}                                                        	52865.493	485	22.96166667	178	0	1	54	9.65E-04	1959	171	0	1	54	0.001060757	2165	2062	4296901	54	7%	87	20	48.2	3.10E-281	220020000	24321.33333	1618	88	20	50.5	3.20E-303	149510000	24857.33333	1829	1724	3592589	20	9%	225	1204	186 (55)	36 (14)	1.62	0.000596949	1212	218	1136	191 (56)	45 (16)	1.96	0.000741671	1514	1363	2839869	41(15)	16%	cog2195;di- and tripeptidases	[E]	15	29	23	37	0.404217462		
eg12087	nuog	b2283	nadh dehydrogenase i chain g (nuog) {escherichia coli k12-mg1655}                                                        	100281.467	908	50.8375	600	0	1	74	5.97E-04	1212	584	0	1	90	7.99E-04	1631	1421	5550517	82	21%	652	27	38.2	3.18E-254	177230000	11605.73333	772	648	29	41.5	1.48E-253	109880000	11135.73333	820	796	3108284	28	4%	231	1154	361 (74)	72 (19)	0.89	0.000327953	666	188	1279	349 (75)	72 (21)	1.02	0.000385972	788	727	2838071	72(20)	12%			63	31	41	76	0.382357351	326.680816	yes
eg10383	glna	b3870	glutamine synthetase (glna) [6.3.1.2] {escherichia coli k12-mg1655}                                                          	51885.888	469	27.15388745	87	0	1	75	0.001133027	2300	89	0	1	71	0.001179375	2407	2353	4742409	73	3%	1112	22	68.9	3.15E-272	329290000	32306.66667	2149	1104	21	65.2	2.37E-239	212370000	31621.33333	2327	2238	4510761	22	6%	184	1419	221 (81)	42 (13)	2.02	0.000744344	1511	152	1550	205 (80)	38 (13)	1.67	0.000631934	1290	1400	2821755	40(13)	11%	cog0174;glutamine synthetase	[E]	23	24	27	36	0.439715949	0.657431526	yes
eg11575	leud	b0071	isopropylmalate isomerase subunit (leud) [4.2.1.33] {escherichia coli k12-mg1655}                                                         	22469.531	201	10.40714286	372	0	1	45	0.001773749	3600	369	0	1	44	0.001906982	3892	3746	3226064	45	6%	24	9	62.2	5.48E-242	435810000	78632	5232	24	9	62.2	6.39E-197	283240000	76710.66667	5646	5439	4683783	9	5%	249	1073	109 (46)	15 (8)	4.28	0.001577124	3201	200	1235	112 (43)	15 (8)	4.28	0.001619568	3305	3253	2801640	15(8)	2%	cog0066;3-isopropylmalate dehydratase small subunit	[E]	7	11	10	18	0.35566645	0.337195307	yes
eg10600	gros	b4142	groes, 10 kd chaperone binds to hsp60 in pres. mg-atp, suppressing its atpase activity (mopb) {escherichia coli k12-mg1655}                                               	10368.97	97	6.0335	162	0	1	46	0.003127517	6348	156	0	1	38	0.002840794	5798	6073	2510327	42	6%	1201	6	61.9	2.71E-81	678880000	205493.3333	13672	1188	7	64.9	4.27E-83	403970000	185426.6667	13647	13660	5646516	7	0%	395	602	100 (34)	14 (5)	8.89	0.003275849	6649	421	519	101 (25)	14 (6)	8.89	0.003364009	6866	6757	2793261	14(6)	2%	cog0234;co-chaperonin groes (hsp10)	[O]	5	8	2	10	0.389744876		
eg10423	gyra	b2231	dna gyrase, subunit a, type ii topoisomerase (gyra) [5.99.1.3] {escherichia coli k12-mg1655}                                                     	96945.757	875	57.22152778	102	0	1	78	5.59E-04	1135	102	0	1	59	4.65E-04	949	1042	3920718	69	13%	641	30	38.6	0	155840000	10497.86667	698	635	27	33.8	3.53E-273	79827000	8701.866667	640	669	2519419	29	6%	164	1622	405 (71)	102 (20)	1.01	0.000372172	755	270	872	354 (52)	97 (20)	0.94	0.0003557	726	741	2787435	100(20)	3%	cog0188;type iia topoisomerase (dna gyrase/topo ii, topoisomerase iv), a subunit	[L]	66	43	31	80	0.394219621		
eg10899	rpoz	b3649	rna polymerase, omega subunit (rpoz) [2.7.7.6] {escherichia coli k12-mg1655}                                                        	10218.6	91	8.29	257	0	1	26	0.00128656	2611	249	0	1	25	0.001360225	2776	2694	1043903	26	4%	1050	7	86.8	2.17E-85	107220000	37472	2493	1041	8	95.6	5.27E-71	67424000	35910.66667	2643	2568	995214	8	4%	481	469	81 (22)	14 (7)	9.35	0.003445353	6993	454	461	96 (30)	14 (7)	9.35	0.003538075	7221	7107	2754183	14(7)	2%	cog1758;dna-directed rna polymerase, subunit k/omega	[K]	10	3	2	9	0.425371633		
eg10461	htpg	b0473	chaperone hsp90, heat shock protein c 62.5 (htpg) {escherichia coli k12-mg1655}                                                      	71404.654	624	47.55933333	115	0	1	84	7.25E-04	1471	114	0	1	57	5.41E-04	1104	1288	3454715	71	20%	153	28	51.4	1.32E-278	200500000	15680	1043	150	25	47.6	1.30E-255	104410000	13108.66667	965	1004	2693369	27	6%	214	1274	281 (66)	71 (18)	1.35	0.000497457	1010	128.2	1122	239 (58)	65 (19)	1.35	0.000510845	1043	1026	2752709	68(19)	2%	cog0326;molecular chaperone, hsp90 family	[O]	37	46	16	64	0.436018312		
eg11577	leub	b0073	3-isopropylmalate dehydrogenase (leub) [1.1.1.85] {escherichia coli k12-mg1655};con__ensembl:ensbtap00000025008;ipi:con_00713000.2                                                          	39499.119	363	20.01095238	596	0	1	51	0.001045475	2122	579	0	1	49	0.00110447	2254	2188	3410624	50	4%	26	18	53.8	2.40E-195	376320000	43993.33333	2927	26	16	48.1	2.50E-204	211890000	38650.66667	2845	2886	4498304	17	2%	311	815	186 (46)	34 (13)	2.58	0.000950696	1930	209	1186	148 (61)	31 (11)	2.05	0.000775728	1583	1756	2737787	33(12)	14%			22	13	19	28	0.342637127	0.635483463	yes
eg12683	uspg	b0607	orf, hypothetical protein (ybdq) {escherichia coli k12-mg1655}                                                          	15917.234	142	7.797142857	452	0	1	30	0.001578327	3203	454	0	1	26	0.001504053	3070	3137	1904329	28	3%	180	7	87.3	2.18E-164	128650000	38920	2589	176	7	87.3	3.86E-78	70858000	33661.33333	2477	2533	1538162	7	3%	327	749	76 (43)	16 (6)	5.93	0.002185128	4435	462	454	77 (29)	12 (6)	5.93	0.002243934	4580	4507	2736607	14(6)	2%	cog0589;universal stress protein uspa and related nucleotide-binding proteins	[T]	11	3	5	12	0.279347326		
eg10190	cysi	b2763	sulfite reductase, alpha subunit (cysi) [1.8.1.2] {escherichia coli k12-mg1655}                                                        	63980.296	570	36.3687381	44	0	1	69	7.78E-04	1579	44	0	1	72	8.93E-04	1823	1701	4167129	71	10%	784	21	43.3	0	100630000	10163.73333	676	780	23	45.4	0	71812000	10885.6	801	739	1809875	22	12%	121	2037	254 (77)	65 (16)	1.45	0.000534306	1084	126	1848	235 (64)	64 (17)	1.45	0.000548685	1120	1102	2700341	65(17)	2%	cog0155;sulfite reductase, beta subunit (hemoprotein)	[P]	41	35	27	60	0.354016848	0.259937768	yes
eg10463	degp	b0161	periplasmic serine protease do; heat shock protein htra (htra) [3.4.21.-] {escherichia coli k12-mg1655}                                                    	49336.386	474	21.70947619	116	0	1	69	0.0013038	2646	115	0	1	57	0.001184271	2417	2532	5156226	63	6%	61	17	47.9	8.48E-293	153410000	20284	1350	61	19	51.3	2.13E-265	94259000	19216	1414	1382	2814578	18	3%	228	1171	182 (55)	37 (14)	1.81	0.000666961	1354	302	794	165 (46)	39 (15)	1.64	0.000620582	1267	1310	2668364	38(15)	5%	cog0265;trypsin-like serine proteases, typically periplasmic, contain c-terminal pdz domain	[O]	13	28	19	33	0.385544618		
eg10890	rpmf	b1089	50s ribosomal subunit protein l32 (rpmf) {escherichia coli k12-mg1655}                                                        	6428.38	57	2.83	252	0	1	29	0.004203613	8532	245	0	1	18	0.002868874	5855	7193	1734597	24	26%	325	4	61.4	2.99E-77	121940000	64094.66667	4264	321	3	61.4	2.69E-09	38557000	35932	2645	3454	832993	4	33%	545	392	53 (26)	11 (4)	21.09	0.007771391	15773	731	184	40 (15)	9 (4)	8.12	0.003072638	6271	11022	2657801	10(4)	61%	cog0333;ribosomal protein l32	[J]	7	6	1	7	0.409754356		
eg11322	ribe	b0415	riboflavin synthase, beta chain (ribh) [2.5.1.9] {escherichia coli k12-mg1655}                                                        	16138.532	156	6.76	340	0	1	43	0.002609354	5296	335	0	1	49	0.003269451	6673	5984	3994125	46	16%	124	8	64.1	1.05E-204	162700000	51874.66667	3451	122	6	54.5	1.67E-195	103260000	49902.66667	3673	3562	2377416	7	4%	232	1152	90 (40)	16 (6)	4.59	0.001691355	3433	161	1480	98 (48)	13 (6)	5.76	0.002179606	4448	3941	2630073	15(6)	18%	cog0054;riboflavin synthase beta-chain	[H]	5	8	4	13	0.406926305		
eg10097	asps	b1866	aspartate trna synthetase (asps) [6.1.1.12] {escherichia coli k12-mg1655}                                                         	65895.658	590	43.06504762	565	0	1	63	6.00E-04	1218	24	0	1	63	6.60E-04	1347	1282	3252441	63	7%	551	26	53.1	0	241940000	18894.66667	1257	544	28	52.2	8.02E-274	135030000	16632	1224	1241	3146439	27	2%	245	1110	349 (52)	74 (15)	1.07	0.000394281	800	240	1018	314 (49)	69 (18)	1.64	0.000620582	1267	1033	2620937	72(17)	32%	cog0173;aspartyl-trna synthetase	[J]	42	32	27	53	0.431427699		
eg12179	cspe	b0623	cold shock protein (cspe) {escherichia coli k12-mg1655}                                                          	7445.457	69	6.463333333	413	0	1	46	0.002919527	5926	410	0	1	38	0.002651871	5412	5669	1659895	42	6%	183	7	87	1.47E-137	613220000	164653.3333	10955	179	7	87	5.45E-124	383700000	154813.3333	11394	11174	3271949	7	3%	359	673	125 (36)	11 (6)	14.25	0.00525094	10657	312	750	98 (31)	11 (5)	9.34	0.003534291	7213	8935	2616329	11(6)	27%	cog1278;cold shock proteins	[K]	1	7	2	8	0.396234079		
eg10033	agp	b1002	periplasmic glucose-1-phosphatase (agp) [3.1.3.10] {escherichia coli k12-mg1655}                                                          	45664.996	413	20.776	9	0	1	63	0.001243912	2525	9	0	1	60	0.001302611	2659	2592	4597676	62	4%	300	15	52.5	0	343920000	35573.33333	2367	294	17	56.4	0	206820000	32954.66667	2425	2396	4250845	16	2%	182	1427	176 (68)	29 (14)	2.03	0.000748029	1518	189	1279	201 (59)	31 (13)	1.83	0.000692479	1413	1466	2600351	30(14)	5%			11	27	24	34	0.309058936		
eg10207	dapd	b0166	2,3,4,5-tetrahydropyridine-2-carboxylate n-succinyltransferase (dapd) [2.3.1.117] {escherichia coli k12-mg1655}                                                          	29874.145	274	16.3075	52	0	1	64	0.001609918	3268	51	0	1	68	0.001880819	3839	3553	4176751	66	11%	63	11	47.1	6.48E-193	146920000	26438.66667	1759	63	9	38.7	1.25E-167	79449000	22634.66667	1666	1712	2013050	10	4%	177	1491	128 (59)	21 (9)	2.91	0.001072297	2176	144	1665	112 (59)	24 (9)	2.91	0.001101155	2247	2212	2600125	23(9)	2%	cog2171;tetrahydrodipicolinate n-succinyltransferase	[E]	16	13	9	25	0.392518857	0.717472007	yes
eg10356	fuma	b1612	fumarase a = fumarate hydratase class i; aerobic isozyme (fuma) [4.2.1.2] {escherichia coli k12-mg1655};b4122 fumarase b= fumarate hydratase class i; anaerobic isozyme (fumb) [4.2.1.2] {escherichia coli k12-mg1655}                                      	60280.658	548	35.64767857	570	0	1	49	5.64E-04	1145	554	0	1	47	5.95E-04	1214	1180	2778232	48	4%	464	23	51.8	4.65E-239	142820000	12034.26667	801	458	24	54.2	6.15E-254	97548000	12438.53333	915	858	2021059	24	9%	241	1121	183 (42)	49 (16)	1.45	0.000534306	1084	183	1313	169 (44)	45 (15)	1.45	0.000548685	1120	1102	2595934	47(16)	2%	cog1951;tartrate dehydratase alpha subunit/fumarate hydratase class i, n-terminal domain -!- cog1838;tartrate dehydratase beta subunit/fumarate hydratase class i, c-terminal domain	[C]	23	38	27	49	0.334845011	55.35533416	yes
eg10838	rfad	b3619	adp-l-glycero-d-mannoheptose-6-epimerase (rfad) [5.1.3.-] {escherichia coli k12-mg1655}                                                           	34875.167	310	17.36611905	228	0	1	59	0.001393671	2829	221	0	1	46	0.001194759	2438	2634	3504027	53	10%	1043	17	54.2	2.66E-278	247150000	31693.33333	2109	1033	16	49.4	3.16E-182	130010000	26510.66667	1951	2030	2700872	17	5%	262	1007	148 (52)	24 (14)	2.89	0.001064927	2161	277	845	107 (39)	20 (12)	2.25	0.000851408	1738	1950	2593949	22(13)	15%	cog0451;nucleoside-diphosphate-sugar epimerases	[MG]	11	18	8	24	0.416706263		
eg10667	nusg	b3982	component in transcription antitermination (nusg) {escherichia coli k12-mg1655}                                                         	20513.574	181	11.03883333	171	0	1	51	0.001895214	3847	164	0	1	44	0.001797856	3669	3758	2912689	48	3%	1148	11	69.1	9.62E-296	166080000	32526.66667	2164	1138	12	74.6	1.12E-258	96317000	29328	2158	2161	1675165	12	0%	227	1179	133 (40)	24 (10)	3.55	0.001308129	2655	192	1267	112 (46)	21 (10)	5.16	0.001952563	3985	3320	2573272	23(10)	28%	cog0250;transcription antiterminator	[K]	15	11	11	17	0.409858511		
eg10896	rpod	b3067	rna polymerase, sigma(70) factor; regulation of proteins induced at high temperatures (rpod) {escherichia coli k12-mg1655}                                                  	70245.525	613	34.62722475	256	0	1	63	7.46E-04	1514	248	0	1	39	5.08E-04	1037	1275	3361131	51	26%	857	21	38.2	0	126730000	14480	963	850	18	35.4	3.57E-245	70850000	12797.73333	942	953	2510466	20	2%	151.1	1764	392 (86)	82 (16)	1.49	0.000549046	1114	241.1	1010	317 (53)	78 (12)	1.07	0.000404892	826	970	2557144	80(14)	21%	cog0568;dna-directed rna polymerase, sigma subunit (sigma70/sigma32)	[K]	46	34	19	59	0.434899019		
eg10403	gltb	b3212	glutamate synthase, large subunit (gltb) [1.4.1.13] {escherichia coli k12-mg1655}                                                        	166692.268	1517	65.54378427	93	0	1	69	4.32E-04	877	94	0	1	62	4.27E-04	871	874	5706262	66	0%	907	35	33.9	0	157910000	7100	472	899	26	25.9	0	72304000	5418.8	399	436	2843519	31	12%	140	1874	371 (82)	126 (22)	0.59	0.000217407	441	143	1677	334 (64)	115 (17)	0.44	0.000166498	340	391	2549347	121(20)	18%	cog0067;glutamate synthase domain 1 -!- cog0069;glutamate synthase domain 2 -!- cog0070;glutamate synthase domain 3	[E]	99	69	72	136	0.354599641		
eg12144	pgm	b0688	phosphoglucomutase (pgm) [5.4.2.2] {escherichia coli k12-mg1655}                                                           	58343.082	546	28.42133333	410	0	1	64	9.24E-04	1875	407	0	1	59	9.36E-04	1910	1893	4442048	62	1%	206	19	52	0	210110000	18894.66667	1257	202	17	45.2	1.87E-276	114360000	16313.33333	1201	1229	2883875	18	3%	257	1027	202 (56)	40 (16)	1.4	0.000515882	1047	205	1225	189 (61)	44 (16)	1.4	0.000529765	1081	1064	2497256	42(16)	2%	cog0033;phosphoglucomutase	[G]	20	29	28	39	0.390768856		
eg10754	poxb	b0871	pyruvate oxidase (poxb) [1.2.2.2] {escherichia coli k12-mg1655}                                                          	61993.605	572	25.20157143	199	0	1	68	0.001106859	2247	192	0	1	55	9.84E-04	2008	2127	5230645	62	8%	260	21	49.7	1.12E-205	267720000	25946.66667	1726	253	21	51	5.13E-146	166730000	24776	1823	1775	4363944	21	4%	237.2	1061	243 (61)	56 (16)	1.27	0.000467978	950	299.1	798	221 (50)	53 (15)	1.39	0.000525981	1073	1012	2487370	55(16)	9%	cog0028;thiamine pyrophosphate-requiring enzymes [acetolactate synthase, pyruvate dehydrogenase (cytochrome), glyoxylate carboligase, phosphonopyruvate decarboxylase]	[EH]	25	29	27	42	0.294092503		
