uniprot	pdb	oln	pdb_length
Q08096	4clq.A	YOL010W	355
Q08162	5jea.J	YOL021C	936
Q08220	1m0w.A	YOL049W	481
Q08224	3rm5.A	YOL055C	521
Q08225	3csk.A	YOL057W	710
Q08230	2lm4.A	YOL071W	109
Q08231	5ubp.B	YOL072W	455
Q08282	2zwa.A	YOL141W	673
Q08285	5jea.G	YOL142W	235
Q08685	4oi4.A	YOR250C	428
Q08689	4xnh.C	YOR253W	159
Q08745	4u4r.C0	YOR293W	96
Q08746	3jct.w	YOR294W	182
Q08826	1ocs.A	YOR357C	132
Q08914	3kkl.A	YOR391C	215
Q08962	6elz.l	YPL211W	174
Q08971	2jyn.A	YPL225W	146
Q10740	2xq0.A	YNL045W	625
Q12004	5oqj.4	YPR056W	297
Q12038	2oaj.A	YPR032W	875
Q12051	2e8v.A	YPL069C	292
Q12068	4pvc.A	YOL151W	342
Q12109	2ip1.A	YOL097C	371
Q12125	2wpv.A	YOR164C	281
Q12146	3jc6.C	YOL146W	159
Q12154	2woj.A	YDL100C	301
Q12165	2xok.H	YDL004W	119
Q12178	1p6o.A	YPR062W	156
Q12189	1xtz.A	YOR095C	246
Q12245	2z5b.A	YPL144W	127
Q12250	3jck.B	YDL147W	404
Q12277	5jea.E	YDL111C	256
Q12287	1u96.A	YLL009C	69
Q12305	3d1p.A	YOR285W	120
Q12308	2j04.A	YPL007C	587
Q12314	5c77.A	YOR021C	204
Q12318	3vu9.A	YLR376C	215
Q12334	2l5a.A	YDL139C	225
Q12335	5mp4.A	YDR032C	197
Q12341	1bob.A	YPL001W	306
Q12349	6cp6.6	YLR295C	89
Q12377	3jck.C	YDL097C	378
Q12380	2dyo.A	YPL149W	269
Q12390	3ibh.A	YLL060C	208
Q12395	3bq3.A	YLR128W	250
Q12404	3ed3.A	YOR288C	267
Q12405	2y6u.A	YOR084W	371
Q12406	4i6m.A	YPR034W	399
Q12461	2ixn.A	YPL152W	292
Q12464	6gej.U	YPL235W	430
Q12483	1u5t.A	YPL002C	213
Q12487	3j6b.H	YOR150W	148
Q12488	3jc6.A	YDR013W	208
Q12509	6gej.R	YLR085C	411
Q12522	3jct.y	YPR016C	244
Q12692	2jss.A	YOL012C	192
Q12745	3k8p.D	YLR440C	594
Q3E757	4v8t.J	YGR085C	169
Q3E7B6	6c6l.M	YCL005W-A	69
Q3E7C1	5oqj.5	YDR079C-A	66
Q3E7X9	4v88.Ac	YOR167C	63
Q3E829	3v9r.B	YDL160C-A	73
Q3E830	4xpm.B	YCR075W-A	67
Q3E833	4wxa.A	YKR095W-A	84
Q3E835	3v9r.A	YOL086W-A	88
Q3E840	1yws.A	YBL071W-A	82
Q3E841	2grg.A	YNR034W-A	98
Q6Q546	1m94.A	YNR032C-A	73
Q6Q547	1y2y.A	YHR072W-A	58
Q6WNK7	3mhs.B	YBR111W-A	91
Q92316	6ezn.E	YGL226C-A	85
Q92328	5gyd.A	YOL009C	227
Q99176	2p22.C	YLR119W	186
Q99181	5zwm.4	YOR319W	173
Q99278	4gwp.A	YMR112C	112
Q99380	1rkl.A	YDL232W	36
Q99385	4k1c.A	YDL128W	374
