#Table S1. Protein copies per cell		
oln	SP_id	description	copies per cell
ENST00000358215	Q96IJ6	Mannose-1-phosphate guanyltransferase alpha OS=Homo sapiens GN=GMPPA PE=1 SV=1	3.10E+04
ENST00000531159	Q9H0A0	N-acetyltransferase 10 OS=Homo sapiens GN=NAT10 PE=1 SV=1	3.10E+04
ENST00000526406	P57764	Gasdermin-D OS=Homo sapiens GN=GSDMD PE=1 SV=1	3.09E+04
ENST00000316052	Q9NPD3	Exosome complex exonuclease RRP41 OS=Homo sapiens GN=EXOSC4 PE=1 SV=3	3.09E+04
ENST00000252456	P51911	Calponin-1 OS=Homo sapiens GN=CNN1 PE=1 SV=2	3.09E+04
ENST00000561129	Q8IUE1	Homeobox protein TGIF2LX OS=Homo sapiens GN=TGIF2LX PE=1 SV=1	3.09E+04
ENST00000407192	Q7L5D6	UPF0363 protein C7orf20 OS=Homo sapiens GN=C7orf20 PE=1 SV=1	3.08E+04
ENST00000337526	Q9NQC3	Reticulon-4 OS=Homo sapiens GN=RTN4 PE=1 SV=2	3.08E+04
ENST00000492758	Q16864	V-type proton ATPase subunit F OS=Homo sapiens GN=ATP6V1F PE=1 SV=2	3.07E+04
ENST00000532259	P08240	Signal recognition particle receptor subunit alpha OS=Homo sapiens GN=SRPR PE=1 SV=2	3.07E+04
ENST00000216121	Q9BPW8	Protein NipSnap homolog 1 OS=Homo sapiens GN=NIPSNAP1 PE=1 SV=1	3.06E+04
ENST00000296786	Q8WVY7	Ubiquitin-like domain-containing CTD phosphatase 1 OS=Homo sapiens GN=UBLCP1 PE=1 SV=2	3.06E+04
ENST00000396526	Q9UNH7	Sorting nexin-6 OS=Homo sapiens GN=SNX6 PE=1 SV=1	3.06E+04
ENST00000394524	Q13557	Calcium/calmodulin-dependent protein kinase type II delta chain OS=Homo sapiens GN=CAMK2D PE=1 SV=3	3.06E+04
ENST00000566157	Q8N543	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1 OS=Homo sapiens GN=OGFOD1 PE=1 SV=1	3.06E+04
ENST00000368921	Q13015	Protein AF1q OS=Homo sapiens GN=MLLT11 PE=2 SV=1	3.05E+04
ENST00000316461	Q8N5M4	Tetratricopeptide repeat protein 9C OS=Homo sapiens GN=TTC9C PE=1 SV=1	3.05E+04
ENST00000336761	Q96EP5	DAZ-associated protein 1 OS=Homo sapiens GN=DAZAP1 PE=1 SV=1	3.05E+04
ENST00000405142	Q9BRJ7	Protein syndesmos OS=Homo sapiens GN=NUDT16L1 PE=1 SV=1	3.05E+04
ENST00000617246	Q93052	Lipoma-preferred partner OS=Homo sapiens GN=LPP PE=1 SV=1	3.05E+04
ENST00000346424	O95831	Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1	3.04E+04
ENST00000610426	O95478	Ribosome biogenesis protein NSA2 homolog OS=Homo sapiens GN=TINP1 PE=1 SV=1	3.04E+04
ENST00000374804	Q9Y4W2	LAS1-like protein OS=Homo sapiens GN=LAS1L PE=1 SV=2	3.04E+04
ENST00000306729	Q9BZE9	Tether containing UBX domain for GLUT4 OS=Homo sapiens GN=ASPSCR1 PE=1 SV=1	3.02E+04
ENST00000529237	P62070	Ras-related protein R-Ras2 OS=Homo sapiens GN=RRAS2 PE=1 SV=1	3.01E+04
ENST00000393346	Q13492	Phosphatidylinositol-binding clathrin assembly protein OS=Homo sapiens GN=PICALM PE=1 SV=2	3.01E+04
ENST00000348403	Q96SI9	Spermatid perinuclear RNA-binding protein OS=Homo sapiens GN=STRBP PE=1 SV=1	3.01E+04
ENST00000254101	O43741	5'-AMP-activated protein kinase subunit beta-2 OS=Homo sapiens GN=PRKAB2 PE=1 SV=1	3.01E+04
ENST00000611665	Q9Y3B8	Oligoribonuclease, mitochondrial OS=Homo sapiens GN=REXO2 PE=1 SV=3	3.00E+04
ENST00000616255	Q96T88	E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens GN=UHRF1 PE=1 SV=1	3.00E+04
ENST00000296181	P18084	Integrin beta-5 OS=Homo sapiens GN=ITGB5 PE=1 SV=1	3.00E+04
ENST00000300574	P46108	Proto-oncogene C-crk OS=Homo sapiens GN=CRK PE=1 SV=2	2.99E+04
ENST00000540163	Q9Y580	RNA-binding protein 7 OS=Homo sapiens GN=RBM7 PE=1 SV=1	2.99E+04
ENST00000264758	P35611	Alpha-adducin OS=Homo sapiens GN=ADD1 PE=1 SV=2	2.99E+04
ENST00000251968	Q99816	Tumor susceptibility gene 101 protein OS=Homo sapiens GN=TSG101 PE=1 SV=2	2.98E+04
ENST00000293872	Q9NQ29	Putative RNA-binding protein Luc7-like 1 OS=Homo sapiens GN=LUC7L PE=1 SV=1	2.98E+04
ENST00000228136	O00193	Small acidic protein OS=Homo sapiens GN=SMAP PE=1 SV=1	2.97E+04
ENST00000372183	Q9NR50	Translation initiation factor eIF-2B subunit gamma OS=Homo sapiens GN=EIF2B3 PE=1 SV=1	2.97E+04
ENST00000288071	Q9UMR2	ATP-dependent RNA helicase DDX19B OS=Homo sapiens GN=DDX19B PE=1 SV=1	2.97E+04
ENST00000524550	Q8NB37	Parkinson disease 7 domain-containing protein 1 OS=Homo sapiens GN=PDDC1 PE=1 SV=1	2.97E+04
ENST00000358713	Q86YP4	Transcriptional repressor p66-alpha OS=Homo sapiens GN=GATAD2A PE=1 SV=1	2.93E+04
ENST00000301730	Q15287	RNA-binding protein with serine-rich domain 1 OS=Homo sapiens GN=RNPS1 PE=1 SV=1	2.93E+04
ENST00000222388	Q9UG63	ATP-binding cassette sub-family F member 2 OS=Homo sapiens GN=ABCF2 PE=1 SV=2	2.93E+04
ENST00000337738	Q15257	Serine/threonine-protein phosphatase 2A regulatory subunit B' OS=Homo sapiens GN=PPP2R4 PE=1 SV=3	2.92E+04
ENST00000225729	P55039	Developmentally-regulated GTP-binding protein 2 OS=Homo sapiens GN=DRG2 PE=1 SV=1	2.92E+04
ENST00000286648	P27707	Deoxycytidine kinase OS=Homo sapiens GN=DCK PE=1 SV=1	2.92E+04
ENST00000395074	O60711	Leupaxin OS=Homo sapiens GN=LPXN PE=1 SV=1	2.91E+04
ENST00000585809	Q9BV38	WD repeat-containing protein 18 OS=Homo sapiens GN=WDR18 PE=1 SV=2	2.91E+04
ENST00000357849	Q92905	COP9 signalosome complex subunit 5 OS=Homo sapiens GN=COPS5 PE=1 SV=4	2.91E+04
ENST00000318522	Q9HC35	Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=1 SV=2	2.90E+04
ENST00000370952	Q9H9A6	Leucine-rich repeat-containing protein 40 OS=Homo sapiens GN=LRRC40 PE=1 SV=1	2.90E+04
ENST00000610773	O60256	Phosphoribosyl pyrophosphate synthetase-associated protein 2 OS=Homo sapiens GN=PRPSAP2 PE=1 SV=1	2.89E+04
ENST00000357878	A6NHT5	Homeobox protein HMX3 OS=Homo sapiens GN=HMX3 PE=2 SV=1	2.89E+04
ENST00000254770	Q9NS86	LanC-like protein 2 OS=Homo sapiens GN=LANCL2 PE=1 SV=1	2.89E+04
ENST00000322166	P46087	Putative ribosomal RNA methyltransferase NOP2 OS=Homo sapiens GN=NOP2 PE=1 SV=2	2.89E+04
ENST00000300087	Q9BTE1	Dynactin subunit 5 OS=Homo sapiens GN=DCTN5 PE=1 SV=1	2.88E+04
ENST00000301810	P09110	3-ketoacyl-CoA thiolase, peroxisomal OS=Homo sapiens GN=ACAA1 PE=1 SV=2	2.88E+04
ENST00000300403	Q9ULW0	Targeting protein for Xklp2 OS=Homo sapiens GN=TPX2 PE=1 SV=2	2.88E+04
ENST00000373469	Q8WYA6	Beta-catenin-like protein 1 OS=Homo sapiens GN=CTNNBL1 PE=1 SV=1	2.88E+04
ENST00000290231	Q9HCD5	Nuclear receptor coactivator 5 OS=Homo sapiens GN=NCOA5 PE=1 SV=2	2.86E+04
ENST00000426905	Q9BQ52	Zinc phosphodiesterase ELAC protein 2 OS=Homo sapiens GN=ELAC2 PE=1 SV=2	2.86E+04
ENST00000361804	Q9UQE7	Structural maintenance of chromosomes protein 3 OS=Homo sapiens GN=SMC3 PE=1 SV=2	2.86E+04
ENST00000228284	Q15020	Squamous cell carcinoma antigen recognized by T-cells 3 OS=Homo sapiens GN=SART3 PE=1 SV=1	2.86E+04
ENST00000323668	Q13428	Treacle protein OS=Homo sapiens GN=TCOF1 PE=1 SV=2	2.86E+04
ENST00000631108	Q15418	Ribosomal protein S6 kinase alpha-1 OS=Homo sapiens GN=RPS6KA1 PE=1 SV=2	2.86E+04
ENST00000557450	Q07866	Kinesin light chain 1 OS=Homo sapiens GN=KLC1 PE=1 SV=2	2.86E+04
ENST00000367510	Q99496	E3 ubiquitin-protein ligase RING2 OS=Homo sapiens GN=RNF2 PE=1 SV=1	2.86E+04
ENST00000377960	Q9H4G4	Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3	2.85E+04
ENST00000534680	Q6P1X6	UPF0598 protein C8orf82 OS=Homo sapiens GN=C8orf82 PE=2 SV=2	2.85E+04
ENST00000318950	Q9UH65	Switch-associated protein 70 OS=Homo sapiens GN=SWAP70 PE=1 SV=1	2.85E+04
ENST00000329138	O14964	Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens GN=HGS PE=1 SV=1	2.85E+04
ENST00000389501	Q6GMV2	SET and MYND domain-containing protein 5 OS=Homo sapiens GN=SMYD5 PE=1 SV=2	2.85E+04
ENST00000263847	P22059	Oxysterol-binding protein 1 OS=Homo sapiens GN=OSBP PE=1 SV=1	2.85E+04
ENST00000338492	O14531	Dihydropyrimidinase-related protein 4 OS=Homo sapiens GN=DPYSL4 PE=1 SV=2	2.84E+04
ENST00000373548	Q13547	Histone deacetylase 1 OS=Homo sapiens GN=HDAC1 PE=1 SV=1	2.83E+04
ENST00000435070	Q16630	Cleavage and polyadenylation specificity factor subunit 6 OS=Homo sapiens GN=CPSF6 PE=1 SV=2	2.81E+04
ENST00000232888	O43818	U3 small nucleolar RNA-interacting protein 2 OS=Homo sapiens GN=RRP9 PE=1 SV=1	2.80E+04
ENST00000351217	Q9Y639	Neuroplastin OS=Homo sapiens GN=NPTN PE=1 SV=1	2.80E+04
ENST00000454244	Q9NZU5	LIM and cysteine-rich domains protein 1 OS=Homo sapiens GN=LMCD1 PE=1 SV=1	2.80E+04
ENST00000403744	Q9UNF0	Protein kinase C and casein kinase substrate in neurons protein 2 OS=Homo sapiens GN=PACSIN2 PE=1 SV=2	2.79E+04
ENST00000529384	P36404	ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4	2.79E+04
ENST00000322897	Q99747	Gamma-soluble NSF attachment protein OS=Homo sapiens GN=NAPG PE=1 SV=1	2.78E+04
ENST00000605997	O75438	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1 OS=Homo sapiens GN=NDUFB1 PE=1 SV=1	2.78E+04
ENST00000221114	O00399	Dynactin subunit 6 OS=Homo sapiens GN=DCTN6 PE=1 SV=1	2.78E+04
ENST00000283027	P53384	Cytosolic Fe-S cluster assembly factor NUBP1 OS=Homo sapiens GN=NUBP1 PE=1 SV=2	2.77E+04
ENST00000570319	O14561	Acyl carrier protein, mitochondrial OS=Homo sapiens GN=NDUFAB1 PE=1 SV=3	2.77E+04
ENST00000375151	Q969E8	Pre-rRNA-processing protein TSR2 homolog OS=Homo sapiens GN=TSR2 PE=1 SV=1	2.77E+04
ENST00000550549	Q9NVD7	Alpha-parvin OS=Homo sapiens GN=PARVA PE=1 SV=1	2.76E+04
ENST00000613034	P62380	TATA box-binding protein-like protein 1 OS=Homo sapiens GN=TBPL1 PE=1 SV=1	2.75E+04
ENST00000225698	Q07021	Complement component 1 Q subcomponent-binding protein, mitochondrial OS=Homo sapiens GN=C1QBP PE=1 SV=1	2.75E+04
ENST00000253023	P61081	NEDD8-conjugating enzyme Ubc12 OS=Homo sapiens GN=UBE2M PE=1 SV=1	2.75E+04
ENST00000285093	P42765	3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens GN=ACAA2 PE=1 SV=2	2.75E+04
ENST00000438607	Q9Y2S6	Coiled-coil domain-containing protein 72 OS=Homo sapiens GN=CCDC72 PE=1 SV=1	2.75E+04
ENST00000395159	Q9Y5J7	Mitochondrial import inner membrane translocase subunit Tim9 OS=Homo sapiens GN=TIMM9 PE=1 SV=1	2.74E+04
ENST00000376736	Q969G6	Riboflavin kinase OS=Homo sapiens GN=RFK PE=1 SV=2	2.74E+04
ENST00000509061	Q4G0J3	La-related protein 7 OS=Homo sapiens GN=LARP7 PE=1 SV=1	2.74E+04
ENST00000380051	O75818	Ribonuclease P protein subunit p40 OS=Homo sapiens GN=RPP40 PE=1 SV=3	2.74E+04
ENST00000558789	Q00796	Sorbitol dehydrogenase OS=Homo sapiens GN=SORD PE=1 SV=3	2.74E+04
ENST00000341694	O75935	Dynactin subunit 3 OS=Homo sapiens GN=DCTN3 PE=1 SV=1	2.74E+04
ENST00000427500	P04062	Glucosylceramidase OS=Homo sapiens GN=GBA PE=1 SV=3	2.74E+04
ENST00000303538	Q29RF7	Sister chromatid cohesion protein PDS5 homolog A OS=Homo sapiens GN=PDS5A PE=1 SV=1	2.73E+04
ENST00000476854	Q03154	Aminoacylase-1 OS=Homo sapiens GN=ACY1 PE=1 SV=1	2.72E+04
ENST00000374907	P06756	Integrin alpha-V OS=Homo sapiens GN=ITGAV PE=1 SV=2	2.72E+04
ENST00000367404	Q8NFH3	Nucleoporin Nup43 OS=Homo sapiens GN=NUP43 PE=1 SV=1	2.72E+04
ENST00000547135	Q9BUQ8	Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens GN=DDX23 PE=1 SV=3	2.72E+04
ENST00000322349	Q15075	Early endosome antigen 1 OS=Homo sapiens GN=EEA1 PE=1 SV=2	2.71E+04
ENST00000380749	P05114	Non-histone chromosomal protein HMG-14 OS=Homo sapiens GN=HMGN1 PE=1 SV=3	2.71E+04
ENST00000539294	Q7Z739	YTH domain family protein 3 OS=Homo sapiens GN=YTHDF3 PE=1 SV=1	2.71E+04
ENST00000397298	Q16540	39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=1 SV=1	2.71E+04
ENST00000574876	Q8IZL8	Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens GN=PELP1 PE=1 SV=2	2.71E+04
ENST00000313486	Q00169	Phosphatidylinositol transfer protein alpha isoform OS=Homo sapiens GN=PITPNA PE=1 SV=2	2.70E+04
ENST00000431424	O60927	Protein phosphatase 1 regulatory subunit 11 OS=Homo sapiens GN=PPP1R11 PE=1 SV=1	2.70E+04
ENST00000320876	A6NHR9	Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	2.70E+04
ENST00000307897	Q9H900	Protein zwilch homolog OS=Homo sapiens GN=ZWILCH PE=1 SV=2	2.70E+04
ENST00000621696	Q9H2P0	Activity-dependent neuroprotector homeobox protein OS=Homo sapiens GN=ADNP PE=1 SV=1	2.69E+04
ENST00000406246	Q04206	Transcription factor p65 OS=Homo sapiens GN=RELA PE=1 SV=2	2.68E+04
ENST00000318911	P08574	Cytochrome c1, heme protein, mitochondrial OS=Homo sapiens GN=CYC1 PE=1 SV=2	2.68E+04
ENST00000394305	Q9UMS0	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial OS=Homo sapiens GN=NFU1 PE=1 SV=2	2.67E+04
ENST00000265758	O43709	Uncharacterized methyltransferase WBSCR22 OS=Homo sapiens GN=WBSCR22 PE=1 SV=2	2.67E+04
ENST00000271373	O95563	Brain protein 44 OS=Homo sapiens GN=BRP44 PE=1 SV=1	2.67E+04
ENST00000347519	Q9BY43	Charged multivesicular body protein 4a OS=Homo sapiens GN=CHMP4A PE=1 SV=3	2.66E+04
ENST00000409225	Q9Y3E7	Charged multivesicular body protein 3 OS=Homo sapiens GN=VPS24 PE=1 SV=3	2.66E+04
ENST00000481752	P16333	Cytoplasmic protein NCK1 OS=Homo sapiens GN=NCK1 PE=1 SV=1	2.66E+04
ENST00000381774	Q9BRF8	Calcineurin-like phosphoesterase domain-containing protein 1 OS=Homo sapiens GN=CPPED1 PE=1 SV=2	2.66E+04
ENST00000333676	P52815	39S ribosomal protein L12, mitochondrial OS=Homo sapiens GN=MRPL12 PE=1 SV=2	2.65E+04
ENST00000585124	Q96GD4	Serine/threonine-protein kinase 12 OS=Homo sapiens GN=AURKB PE=1 SV=2	2.65E+04
ENST00000333467	Q9UH17	Probable DNA dC-)dU-editing enzyme APOBEC-3B OS=Homo sapiens GN=APOBEC3B PE=1 SV=1	2.65E+04
ENST00000285968	Q92621	Nuclear pore complex protein Nup205 OS=Homo sapiens GN=NUP205 PE=1 SV=2	2.65E+04
ENST00000247668	Q12933	TNF receptor-associated factor 2 OS=Homo sapiens GN=TRAF2 PE=1 SV=2	2.64E+04
ENST00000316856	P54725	UV excision repair protein RAD23 homolog A OS=Homo sapiens GN=RAD23A PE=1 SV=1	2.63E+04
ENST00000372733	P31431	Syndecan-4 OS=Homo sapiens GN=SDC4 PE=1 SV=2	2.63E+04
ENST00000548115	Q12800	Alpha-globin transcription factor CP2 OS=Homo sapiens GN=TFCP2 PE=1 SV=2	2.63E+04
ENST00000369966	Q00653	Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens GN=NFKB2 PE=1 SV=4	2.63E+04
ENST00000570628	O75153	Protein KIAA0664 OS=Homo sapiens GN=KIAA0664 PE=1 SV=2	2.62E+04
ENST00000634245	Q13011	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial OS=Homo sapiens GN=ECH1 PE=1 SV=2	2.62E+04
ENST00000353107	P53803	DNA-directed RNA polymerases I, II, and III subunit RPABC4 OS=Homo sapiens GN=POLR2K PE=2 SV=1	2.62E+04
ENST00000312397	O43290	U4/U6.U5 tri-snRNP-associated protein 1 OS=Homo sapiens GN=SART1 PE=1 SV=1	2.62E+04
ENST00000378852	Q9BZZ5	Apoptosis inhibitor 5 OS=Homo sapiens GN=API5 PE=1 SV=2	2.61E+04
ENST00000379638	Q00765	Receptor expression-enhancing protein 5 OS=Homo sapiens GN=REEP5 PE=1 SV=3	2.61E+04
ENST00000369722	P24539	ATP synthase subunit b, mitochondrial OS=Homo sapiens GN=ATP5F1 PE=1 SV=2	2.61E+04
ENST00000261210	P42167	Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens GN=TMPO PE=1 SV=2	2.61E+04
ENST00000265854	Q9Y6D9	Mitotic spindle assembly checkpoint protein MAD1 OS=Homo sapiens GN=MAD1L1 PE=1 SV=2	2.61E+04
ENST00000314349	Q3ZCQ8	Mitochondrial import inner membrane translocase subunit TIM50 OS=Homo sapiens GN=TIMM50 PE=1 SV=2	2.61E+04
ENST00000342160	Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3	2.61E+04
ENST00000497116	Q14061	Cytochrome c oxidase copper chaperone OS=Homo sapiens GN=COX17 PE=1 SV=2	2.60E+04
ENST00000300093	P53350	Serine/threonine-protein kinase PLK1 OS=Homo sapiens GN=PLK1 PE=1 SV=1	2.60E+04
ENST00000383448	P46379	Large proline-rich protein BAT3 OS=Homo sapiens GN=BAT3 PE=1 SV=2	2.60E+04
ENST00000452404	P52298	Nuclear cap-binding protein subunit 2 OS=Homo sapiens GN=NCBP2 PE=1 SV=1	2.59E+04
ENST00000404739	P49902	Cytosolic purine 5'-nucleotidase OS=Homo sapiens GN=NT5C2 PE=1 SV=1	2.59E+04
ENST00000522161	Q16698	2,4-dienoyl-CoA reductase, mitochondrial OS=Homo sapiens GN=DECR1 PE=1 SV=1	2.59E+04
ENST00000369130	Q9NRW7	Vacuolar protein sorting-associated protein 45 OS=Homo sapiens GN=VPS45 PE=1 SV=1	2.59E+04
ENST00000538367	Q13595	Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1	2.59E+04
ENST00000234160	Q9H8Y8	Golgi reassembly-stacking protein 2 OS=Homo sapiens GN=GORASP2 PE=1 SV=3	2.58E+04
ENST00000456936	Q9Y3B3	Transmembrane emp24 domain-containing protein 7 OS=Homo sapiens GN=TMED7 PE=1 SV=2	2.58E+04
ENST00000358933	Q6P2E9	Enhancer of mRNA-decapping protein 4 OS=Homo sapiens GN=EDC4 PE=1 SV=1	2.58E+04
ENST00000535391	O75822	Eukaryotic translation initiation factor 3 subunit J OS=Homo sapiens GN=EIF3J PE=1 SV=2	2.57E+04
ENST00000446256	Q7L2E3	Putative ATP-dependent RNA helicase DHX30 OS=Homo sapiens GN=DHX30 PE=1 SV=1	2.57E+04
ENST00000396431	Q9H4L5	Oxysterol-binding protein-related protein 3 OS=Homo sapiens GN=OSBPL3 PE=1 SV=1	2.57E+04
ENST00000428278	Q9UBL3	Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens GN=ASH2L PE=1 SV=1	2.57E+04
ENST00000295830	Q6P5R6	60S ribosomal protein L22-like 1 OS=Homo sapiens GN=RPL22L1 PE=1 SV=2	2.57E+04
ENST00000262302	Q9Y5Y2	Cytosolic Fe-S cluster assembly factor NUBP2 OS=Homo sapiens GN=NUBP2 PE=1 SV=1	2.57E+04
ENST00000529710	Q5H9R7	Serine/threonine-protein phosphatase 6 regulatory subunit 3 OS=Homo sapiens GN=SAPS3 PE=1 SV=2	2.56E+04
ENST00000285298	Q9Y2R5	28S ribosomal protein S17, mitochondrial OS=Homo sapiens GN=MRPS17 PE=1 SV=1	2.56E+04
ENST00000526870	Q12769	Nuclear pore complex protein Nup160 OS=Homo sapiens GN=NUP160 PE=1 SV=3	2.56E+04
ENST00000309328	O60232	Sjoegren syndrome/scleroderma autoantigen 1 OS=Homo sapiens GN=SSSCA1 PE=1 SV=1	2.56E+04
ENST00000601091	P18858	DNA ligase 1 OS=Homo sapiens GN=LIG1 PE=1 SV=1	2.56E+04
ENST00000379516	O60749	Sorting nexin-2 OS=Homo sapiens GN=SNX2 PE=1 SV=2	2.55E+04
ENST00000293406	Q3MHD2	Protein LSM12 homolog OS=Homo sapiens GN=LSM12 PE=1 SV=2	2.55E+04
ENST00000393868	P53597	Succinyl-CoA ligase [GDP-forming] subunit alpha, mitochondrial OS=Homo sapiens GN=SUCLG1 PE=1 SV=4	2.55E+04
ENST00000380118	O75521	Peroxisomal 3,2-trans-enoyl-CoA isomerase OS=Homo sapiens GN=PECI PE=1 SV=4	2.55E+04
ENST00000393784	Q969X5	Endoplasmic reticulum-Golgi intermediate compartment protein 1 OS=Homo sapiens GN=ERGIC1 PE=1 SV=1	2.55E+04
ENST00000452476	Q9NX58	Cell growth-regulating nucleolar protein OS=Homo sapiens GN=LYAR PE=1 SV=2	2.54E+04
ENST00000249269	O75439	Mitochondrial-processing peptidase subunit beta OS=Homo sapiens GN=PMPCB PE=1 SV=2	2.54E+04
ENST00000371322	Q13620	Cullin-4B OS=Homo sapiens GN=CUL4B PE=1 SV=3	2.54E+04
ENST00000263401	Q9P000	COMM domain-containing protein 9 OS=Homo sapiens GN=COMMD9 PE=1 SV=2	2.53E+04
ENST00000311672	P07919	Cytochrome b-c1 complex subunit 6, mitochondrial OS=Homo sapiens GN=UQCRH PE=1 SV=2	2.53E+04
ENST00000354532	Q92888	Rho guanine nucleotide exchange factor 1 OS=Homo sapiens GN=ARHGEF1 PE=1 SV=2	2.52E+04
ENST00000305963	Q8N4V1	Membrane magnesium transporter 1 OS=Homo sapiens GN=MMGT1 PE=1 SV=1	2.52E+04
ENST00000361840	Q5W111	Chronic lymphocytic leukemia deletion region gene 6 protein OS=Homo sapiens GN=CLLD6 PE=1 SV=2	2.52E+04
ENST00000491772	Q8TCG1	Protein CIP2A OS=Homo sapiens GN=KIAA1524 PE=1 SV=2	2.51E+04
ENST00000320963	Q14257	Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=1 SV=1	2.51E+04
ENST00000359755	Q02952	A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=3	2.51E+04
ENST00000575702	Q969X6	Cirhin OS=Homo sapiens GN=CIRH1A PE=1 SV=1	2.51E+04
ENST00000307864	Q9BRQ8	Apoptosis-inducing factor 2 OS=Homo sapiens GN=AIFM2 PE=2 SV=1	2.51E+04
ENST00000341541	Q9P016	Thymocyte nuclear protein 1 OS=Homo sapiens GN=THYN1 PE=1 SV=1	2.51E+04
ENST00000374865	Q8N5N7	39S ribosomal protein L50, mitochondrial OS=Homo sapiens GN=MRPL50 PE=1 SV=2	2.50E+04
ENST00000358290	Q8NBQ5	Estradiol 17-beta-dehydrogenase 11 OS=Homo sapiens GN=HSD17B11 PE=1 SV=2	2.50E+04
ENST00000618915	Q12824	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1 OS=Homo sapiens GN=SMARCB1 PE=1 SV=2	2.50E+04
ENST00000415383	Q96T76	MMS19 nucleotide excision repair protein homolog OS=Homo sapiens GN=MMS19 PE=1 SV=2	2.49E+04
ENST00000377604	P98175	RNA-binding protein 10 OS=Homo sapiens GN=RBM10 PE=1 SV=3	2.49E+04
ENST00000266079	O94906	Pre-mRNA-processing factor 6 OS=Homo sapiens GN=PRPF6 PE=1 SV=1	2.48E+04
ENST00000502935	Q9NQW7	Xaa-Pro aminopeptidase 1 OS=Homo sapiens GN=XPNPEP1 PE=1 SV=3	2.48E+04
ENST00000370641	P63218	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5 OS=Homo sapiens GN=GNG5 PE=1 SV=3	2.48E+04
ENST00000066544	P30260	Cell division cycle protein 27 homolog OS=Homo sapiens GN=CDC27 PE=1 SV=2	2.47E+04
ENST00000348127	P20839	Inosine-5'-monophosphate dehydrogenase 1 OS=Homo sapiens GN=IMPDH1 PE=1 SV=2	2.47E+04
ENST00000619387	Q9NY61	Protein AATF OS=Homo sapiens GN=AATF PE=1 SV=1	2.47E+04
ENST00000238112	Q9UKF6	Cleavage and polyadenylation specificity factor subunit 3 OS=Homo sapiens GN=CPSF3 PE=1 SV=1	2.47E+04
ENST00000585331	Q969U7	Proteasome assembly chaperone 2 OS=Homo sapiens GN=PSMG2 PE=1 SV=1	2.47E+04
ENST00000368453	P29353	SHC-transforming protein 1 OS=Homo sapiens GN=SHC1 PE=1 SV=4	2.46E+04
ENST00000418234	Q8WUF5	RelA-associated inhibitor OS=Homo sapiens GN=PPP1R13L PE=1 SV=4	2.46E+04
ENST00000376836	Q9UBI1	COMM domain-containing protein 3 OS=Homo sapiens GN=COMMD3 PE=1 SV=1	2.46E+04
ENST00000372874	P00813	Adenosine deaminase OS=Homo sapiens GN=ADA PE=1 SV=3	2.46E+04
ENST00000342995	Q86X51	Uncharacterized protein CXorf67 OS=Homo sapiens GN=CXorf67 PE=2 SV=1	2.45E+04
ENST00000525777	P37268	Squalene synthetase OS=Homo sapiens GN=FDFT1 PE=1 SV=1	2.44E+04
ENST00000411456	O95865	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens GN=DDAH2 PE=1 SV=1	2.44E+04
ENST00000394073	O95630	STAM-binding protein OS=Homo sapiens GN=STAMBP PE=1 SV=1	2.44E+04
ENST00000334660	Q99653	Calcium-binding protein p22 OS=Homo sapiens GN=CHP PE=1 SV=3	2.44E+04
ENST00000271526	Q92733	Proline-rich protein PRCC OS=Homo sapiens GN=PRCC PE=1 SV=1	2.44E+04
ENST00000345254	P53992	Protein transport protein Sec24C OS=Homo sapiens GN=SEC24C PE=1 SV=3	2.44E+04
ENST00000343327	O95758	Regulator of differentiation 1 OS=Homo sapiens GN=ROD1 PE=1 SV=2	2.43E+04
