id,domain,uniprot,genes,details,function1,function2,invis,obsolete,species
444,4GSL,P38862,ATG7 APG7 CVT2 YHR171W,,"E1-like activating enzyme involved in the 2 ubiquitin-like systems required for cytoplasm to vacuole transport (Cvt) and autophagy. Activates ATG12 for its conjugation with ATG5 and ATG8 for its conjugation with phosphatidylethanolamine. Both systems are needed for the ATG8 association to Cvt vesicles and autophagosomes membranes. Autophagy is essential for maintenance of amino acid levels and protein synthesis under nitrogen starvation. Required for selective autophagic degradation of the nucleus (nucleophagy) as well as for mitophagy which contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria to a basal level to fulfill cellular energy requirements and preventing excess ROS production. Plays a role in the regulation of filamentous growth and chronological longevity. {ECO:0000269|PubMed:10233148, ECO:0000269|PubMed:10233150, ECO:0000269|PubMed:11100732, ECO:0000269|PubMed:11149920, ECO:0000269|PubMed:12965207, ECO:0000269|PubMed:15277523, ECO:0000269|PubMed:16027116, ECO:0000269|PubMed:17632063, ECO:0000269|PubMed:17890363, ECO:0000269|PubMed:18544538, ECO:0000269|PubMed:18701704, ECO:0000269|PubMed:18725539, ECO:0000269|PubMed:19061865, ECO:0000269|PubMed:19302372, ECO:0000269|PubMed:22055191, ECO:0000269|PubMed:22768199, ECO:0000269|PubMed:22785534, ECO:0000269|PubMed:23660403, ECO:0000269|PubMed:7593182, ECO:0000269|PubMed:8224160, ECO:0000269|PubMed:9759731}.",,1,,0
445,4GWP,Q99278,MED11 YMR112C YM9718.11C,,"Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. The Mediator complex, having a compact conformation in its free form, is recruited to promoters by direct interactions with regulatory proteins and serves for the assembly of a functional preinitiation complex (PIC) with RNA polymerase II and the general transcription factors. The Mediator complex unfolds to an extended conformation and partially surrounds RNA polymerase II, specifically interacting with the unphosphorylated form of the C-terminal domain (CTD) of RNA polymerase II. The Mediator complex dissociates from the RNA polymerase II holoenzyme and stays at the promoter when transcriptional elongation begins. The essential MED11/22 heterodimer specifically functions in promoting stable PIC formation. {ECO:0000269|PubMed:16076843, ECO:0000269|PubMed:16263706, ECO:0000269|PubMed:16885025, ECO:0000269|PubMed:18691966}.",,1,,0
446,4GWP,P38304,MED8 YBR193C YBR1403,,"Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. The Mediator complex, having a compact conformation in its free form, is recruited to promoters by direct interactions with regulatory proteins and serves for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. The Mediator complex unfolds to an extended conformation and partially surrounds RNA polymerase II, specifically interacting with the unphosphorylated form of the C-terminal domain (CTD) of RNA polymerase II. The Mediator complex dissociates from the RNA polymerase II holoenzyme and stays at the promoter when transcriptional elongation begins. MED8 binds to the consensus sequence 5'-[AC][AG]GAAAT-3' in both the UAS of SUC2 and the DRS2 of HXK2. {ECO:0000269|PubMed:10526178, ECO:0000269|PubMed:11555651, ECO:0000269|PubMed:16076843, ECO:0000269|PubMed:16263706, ECO:0000269|PubMed:16885025, ECO:0000269|PubMed:9918841}.",,1,,0
447,4GWP,P32570,SRB6 MED22 YBR253W YBR1721,,"Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. The Mediator complex, having a compact conformation in its free form, is recruited to promoters by direct interactions with regulatory proteins and serves for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. The Mediator complex unfolds to an extended conformation and partially surrounds RNA polymerase II, specifically interacting with the unphosphorylated form of the C-terminal domain (CTD) of RNA polymerase II. The Mediator complex dissociates from the RNA polymerase II holoenzyme and stays at the promoter when transcriptional elongation begins. {ECO:0000269|PubMed:16076843, ECO:0000269|PubMed:16263706, ECO:0000269|PubMed:16885025}.",,1,,0
448,4GWP,P32585,SRB5 MED18 YGR104C,,"Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene-specific regulatory proteins to the basal RNA polymerase II transcription machinery. The Mediator complex, having a compact conformation in its free form, is recruited to promoters by direct interactions with regulatory proteins and serves for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors. The Mediator complex unfolds to an extended conformation and partially surrounds RNA polymerase II, specifically interacting with the unphosphorylated form of the C-terminal domain (CTD) of RNA polymerase II. The Mediator complex dissociates from the RNA polymerase II holoenzyme and stays at the promoter when transcriptional elongation begins. {ECO:0000269|PubMed:11555651, ECO:0000269|PubMed:16076843, ECO:0000269|PubMed:16109375, ECO:0000269|PubMed:16263706, ECO:0000269|PubMed:16885025, ECO:0000269|PubMed:9845373}.",,1,,0
449,4H65,P43534,THI5 MOL2 YFL058W,,"Responsible for the formation of the pyrimidine heterocycle in the thiamine biosynthesis pathway. Catalyzes the formation of hydroxymethylpyrimidine phosphate (HMP-P) from histidine and pyridoxal phosphate (PLP). The protein uses PLP and the active site histidine to form HMP-P, generating an inactive enzyme. The enzyme can only undergo a single turnover, which suggests it is a suicide enzyme. {ECO:0000269|PubMed:23048037}.",,1,,0
450,4H86,P38013,AHP1 YLR109W L2916 L9354.5,,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of hydrogen peroxide-mediated signaling events. Preferentially eliminates organic peroxides rather than hydrogen peroxide (PubMed:10391912, PubMed:9988687, PubMed:10681558). Relays alkyl hydroperoxides as a signal to the transcription factor CAD1/YAP2 by inducing the formation of intramolecular disulfide bonds in CAD1, which causes its nuclear accumulation and activation (PubMed:20145245). Involved in cellular Mn(2+) homeostasis (PubMed:10635552). {ECO:0000269|PubMed:10391912, ECO:0000269|PubMed:10635552, ECO:0000269|PubMed:10681558, ECO:0000269|PubMed:20145245, ECO:0000269|PubMed:9988687}.",,1,,0
451,4HA7,P33312,RIB7 YBR153W YBR1203,,"Catalyzes an early step in riboflavin biosynthesis, the NADPH-dependent reduction of the ribose side chain of 2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate, yielding 2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate. {ECO:0000305|PubMed:4555411}.",,1,,0
452,4HBG,P35731,OAR1 YKL055C,,"Involved in biosynthesis of fatty acids in mitochondria. {ECO:0000250, ECO:0000269|PubMed:9388293}.",,1,,0
453,4HG5,P47016,NIT2 YJL126W J0706,,"Catalyzes the hydrolysis of the amide bond in N-(4-oxoglutarate)-L-cysteinylglycine (deaminated glutathione), a metabolite repair reaction to dispose of the harmful deaminated glutathione. {ECO:0000269|PubMed:28373563}.",,1,,0
454,4I5T,P22108,APA2 YDR530C D9719.33,,"Ap4A phosphorylase catalyzes the phosphorolytic degradation of bis(5'-adenosyl) tetraphosphate (Ap4A) into ADP and ATP. Can also use other Np4N' nucleotides (where N and N' stand for A,C,G or U) as substrates, but prefers A-containing substrates. Cannot catalyze the reverse reaction. Additionally, this enzyme can also catalyze the phosphorolytic degradation of adenosine 5'-phosphosulfate (AMPS) into ADP and sulfate, the reversible exchange recation between inorganic phosphate and the beta-phosphate of a nucleoside diphosphate (NDP), and the synthesis of Ap4A from AMPS plus ATP. {ECO:0000269|PubMed:2174863}.",,1,,0
455,4I6M,Q12406,ARP7 SWP61 YPR034W YP9367.14,,"Component of the chromatin structure remodeling complex (RSC), which is involved in transcription regulation and nucleosome positioning. RSC is responsible for the transfer of a histone octamer from a nucleosome core particle to naked DNA. The reaction requires ATP and involves an activated RSC-nucleosome intermediate. Remodeling reaction also involves DNA translocation, DNA twist and conformational change. As a reconfigurer of centromeric and flanking nucleosomes, RSC complex is required both for proper kinetochore function in chromosome segregation and, via a PKC1-dependent signaling pathway, for organization of the cellular cytoskeleton. This subunit is involved in transcriptional regulation. Heterodimer of ARP7 and ARP9 functions with HMG box proteins to facilitate proper chromatin architecture. Heterodimer formation is necessary for assembly into RSC complex. Part of the SWI/SNF complex, an ATP-dependent chromatin remodeling complex, is required for the positive and negative regulation of gene expression of a large number of genes. It changes chromatin structure by altering DNA-histone contacts within a nucleosome, leading eventually to a change in nucleosome position, thus facilitating or repressing binding of gene-specific transcription factors. {ECO:0000269|PubMed:10025404, ECO:0000269|PubMed:10329629, ECO:0000269|PubMed:12072455, ECO:0000269|PubMed:12183366, ECO:0000269|PubMed:12697820, ECO:0000269|PubMed:12805231, ECO:0000269|PubMed:8980231, ECO:0000269|PubMed:9844636}.",,1,,0
456,4IFD,P38792,RRP4 YHR069C,,"Non-catalytic component of the RNA exosome complex which has 3'->5' exoribonuclease activity and participates in a multitude of cellular RNA processing and degradation events. In the nucleus, the RNA exosome complex is involved in proper maturation of stable RNA species such as rRNA, snRNA and snoRNA, in the elimination of RNA processing by-products and non-coding 'pervasive' transcripts, such as antisense RNA species and cryptic unstable transcripts (CUTs), and of mRNAs with processing defects, thereby limiting or excluding their export to the cytoplasm. In the cytoplasm, the RNA exosome complex is involved in general mRNA turnover and in RNA surveillance pathways, preventing translation of aberrant mRNAs. The catalytic inactive RNA exosome core complex of 9 subunits (Exo-9) is proposed to play a pivotal role in the binding and presentation of RNA for ribonucleolysis, and to serve as a scaffold for the association with catalytic subunits and accessory proteins or complexes. RRP4 as peripheral part of the Exo-9 complex is thought to stabilize the hexameric ring of RNase PH-domain subunits. {ECO:0000269|PubMed:17173052, ECO:0000269|PubMed:19060898, ECO:0000269|PubMed:8600032, ECO:0000269|PubMed:9390555}.",,1,,0
457,4IJR,P38115,ARA1 YBR149W YBR1127,,"Catalyzes the oxidation of D-arabinose, L-xylose, L-fucose and L-galactose in the presence of NADP(+).",,1,,0
458,4IN3,Q05029,BCH1 YMR237W YM9959.19,,"Member of the CHS5-ARF1P-binding proteins (CHAPS) which mediates export of specific cargo proteins, including chitin synthase CHS3. {ECO:0000269|PubMed:16498409, ECO:0000269|PubMed:16855022, ECO:0000269|PubMed:17000877}.",,1,,0
459,4IT3,P38265,IML3 MCM19 YBR107C YBR0836,,"Component of the central kinetochore, which mediates the attachment of the centromere to the mitotic spindle by forming essential interactions between the microtubule-associated outer kinetochore proteins and the centromere-associated inner kinetochore proteins. Required for establishing bipolar spindle-microtubule attachments and proper chromosome segregation. {ECO:0000269|PubMed:11361335, ECO:0000269|PubMed:15241623}.",,1,,0
460,4J5T,P53008,CWH41 GLS1 YGL027C,,"Cleaves the distal alpha 1,2-linked glucose residue from the Glc(3)Man(9)GlcNAc(2) oligosaccharide precursor highly specifically (PubMed:9363442). Seems to play a role in beta-1,6-glucan synthesis (PubMed:8576053). {ECO:0000269|PubMed:8576053, ECO:0000269|PubMed:9363442}.",,1,,0
461,4JE5,P53090,ARO8 YGL202W,,"General aromatic amino acid transaminase involved in several otherwise unrelated metabolic pathways. Responsible for phenylalanine and tyrosine biosynthesis. Active with glutamate, phenylalanine, tyrosine and tryptophan as amino donors and with phenylpyruvate, hydroxyphenylpyruvate, 2-oxoglutarate and pyruvate as amino acceptors. Also active with methionine, alpha-aminoadipate and leucine as amino donors when phenylpyruvate is the amino acceptor and in the reverse reactions with the corresponding oxo acids and phenylalanine as amino donor. Catalyzes the formation of methionine from 2-keto-4-methylthiobutyrate (KMTB) in the methionine salvage pathway primarily using aromatic amino acids (tyrosine, phenylalanine and tryptophan) as the amino donors. Catalyzes the formation of alpha-aminoadipate from alpha-ketoadipate in the lysine biosyntheic pathway. {ECO:0000269|PubMed:18625006, ECO:0000269|PubMed:21982920, ECO:0000269|PubMed:6763508, ECO:0000269|PubMed:9491082, ECO:0000269|PubMed:9491083}.",,1,,0
462,4JR7,P15790,CKA1 YIL035C,,Casein kinases are operationally defined by their preferential utilization of acidic proteins such as caseins as substrates. The alpha and alpha' chains contain the catalytic site. May play a role in cell proliferation. Required for cell viability.,,1,,0
463,4K1C,Q99385,VCX1 HUM1 MNR1 YDL128W,,"Has a role in promoting intracellular calcium ion sequestration via the exchange of calcium ions for hydrogen ions across the vacuolar membrane. Involved also in manganese ion homeostasis via its uptake into the vacuole. {ECO:0000269|PubMed:8628289, ECO:0000269|PubMed:8668190}.",,1,,0
464,4K25,P43122,QRI7 YDL104C D2366,,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in mitochondrial tRNAs that read codons beginning with adenine. Probably involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37. Involved in mitochondrial genome maintenance. {ECO:0000255|HAMAP-Rule:MF_03179, ECO:0000269|PubMed:19578062, ECO:0000269|PubMed:21183954, ECO:0000269|PubMed:21285948}.",,1,,0
465,4K6N,Q03266,ABZ2 YMR289W YM8021.15,,Converts 4-amino-4-deoxychorismate into 4-aminobenzoate (PABA) and pyruvate. {ECO:0000250}.,,1,,0
466,4KRD,P17157,PHO85 SSG3 YPL031C P7102.18A,,"Cyclin-dependent protein kinase (CDK) catalytic subunit that regulates multiple cell cycle and metabolic processes in response to nutrient availability. Associates with different cyclins, that control kinase activity, substrate specificity and subcellular location of the kinase. Favorable growth conditions always result in activated cyclin-CDK complexes. Regulates metabolic processes when associated with PHO80 cyclin family members (PH080, PCL6, PCL7, PCL8 and PCL10), and cell cycle and morphogenesis processes when associated with PCL1,2 cyclin family members (PCL1, PCL2, CLG1, PCL5 and PCL9). When associated with PHO80, negatively regulates the expression of phosphate-starvation-responsive genes under phosphate-rich conditions. The PHO80-PHO85 cyclin-CDK holoenzyme phosphorylates and inactivates the transcription factor PHO4 by promoting its export to the cytoplasm. PHO80-PHO85 phosphorylates and inactivates protein kinase RIM15 by retaining it in the cytoplasm, antagonizing RIM15-induced entry into stationary phase. PHO80-PHO85 also phosphorylates and inactivates the calcineurin-responsive transcription factor CRZ1, linking cyclin-CDK activity to calcium signaling. Together with the cyclins PCL6/PCL7 and PCL8/PCL10, negatively controls glycogen accumulation. When associated with cyclins PCL6 and PCL7, controls glycogen phosphorylase and glycogen synthase activities. PCL6-PHO85 and PCL7-PHO85 phosphorylate and inactivate the phosphatase PP1-2 inhibitor GLC8, causing activation of PP1-2, which then dephosphorylates and activates glycogen phosphorylase. When associated with cyclins PCL8 and PCL10, has glycogen synthase kinase activity. PCL10-PHO85 phosphorylates and negatively regulates glycogen synthase GSY2. Association with PCL1 and PCL2 is required for cell cycle progression at start in the absence of the CDC28-dependent G1 cyclins CLN1 and CLN2. PCL1-PHO85 is involved in phosphorylation of the CDK inhibitor (CKI) SIC1, which is required for its ubiquitination and degradation, releasing repression of b-type cyclins and promoting exit from mitosis. When associated with cyclins PCL1 and PCL2, positively controls degradation of sphingoid long chain base kinase LCB4 via phosphorylation of LCB4, which is required for its ubiquitination and degradation. PCL1-PHO85 also phosphorylates HMS1, NCP1 and NPA3, which may all have a role in mitotic exit. PCL2-PHO85 also phosphorylates RVS167, linking cyclin-CDK activity with organization of the actin cytoskeleton. When associated with PCL5, positively controls degradation of transcription factor GCN4 via phosphorylation of GCN4, which is required for its degradation by the E3 ubiquitin ligase complex SCF(Cdc4). When associated with PCL9, may have a role in bud site selection in G1 phase. PHO85 also phosphorylates the transcription factor SWI5. {ECO:0000269|PubMed:10490639, ECO:0000269|PubMed:10692159, ECO:0000269|PubMed:11602261, ECO:0000269|PubMed:12006994, ECO:0000269|PubMed:12098764, ECO:0000269|PubMed:12101234, ECO:0000269|PubMed:12407105, ECO:0000269|PubMed:12857883, ECO:0000269|PubMed:15057567, ECO:0000269|PubMed:15082539, ECO:0000269|PubMed:15598647, ECO:0000269|PubMed:15721288, ECO:0000269|PubMed:16308562, ECO:0000269|PubMed:16455487, ECO:0000269|PubMed:3067079, ECO:0000269|PubMed:7973730, ECO:0000269|PubMed:8108735, ECO:0000269|PubMed:8539622, ECO:0000269|PubMed:9584169, ECO:0000269|PubMed:9593297, ECO:0000269|PubMed:9725902, ECO:0000269|PubMed:9843683}.",,1,,0
467,4KUD,P02309,HHF1 YBR009C YBR0122; HHF2 YNL030W N2752,,"Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling. Component of the UAF (upstream activation factor) complex which interacts with the upstream element of the RNA polymerase I promoter and forms a stable preinitiation complex. Together with SPT15/TBP UAF seems to stimulate basal transcription to a fully activated level.",,1,,0
468,4LXJ,P10614,ERG11 CYP51 YHR007C,,"Catalyzes C14-demethylation of lanosterol which is critical for ergosterol biosynthesis. It transforms lanosterol into 4,4'-dimethyl cholesta-8,14,24-triene-3-beta-ol.",,1,,0
469,4M5D,P53254,UTP22 YGR090W,,Involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly. {ECO:0000269|PubMed:15590835}.,,1,,0
470,4M7D,P38203,LSM2 SMX5 SNP3 YBL026W YBL0425,,"Component of LSm protein complexes, which are involved in RNA processing and may function in a chaperone-like manner. Component of the cytoplasmic LSM1-LSM7 complex which is involved in mRNA degradation by activating the decapping step. Component of the nuclear LSM2-LSM8 complex, which is involved in splicing of nuclear mRNAs. LSM2-LSM8 associates with multiple snRNP complexes containing the U6 snRNA (U4/U6 snRNP, U4/U6.U5 snRNP, and free U6 snRNP). It binds directly to the U6 snRNA and plays a role in the biogenesis and stability of the U6 snRNP and U4/U6 snRNP complexes. It probably also is involved in degradation of nuclear pre-mRNA by targeting them for decapping. LSM2 binds specifically to the 3'-terminal U-tract of U6 snRNA. LSM2-LSM8 probably is involved in processing of pre-tRNAs, pre-rRNAs and U3 snoRNA. LSM2, probably in a complex that contains LSM2-LSM7 but not LSM1 or LSM8, associates with the precursor of the RNA component of RNase P (pre-P RNA) and may be involved in maturing pre-P RNA. LSM2 is required for processing of pre-tRNAs, pre-rRNAs and U3 snoRNA. {ECO:0000269|PubMed:10747033, ECO:0000269|PubMed:12077351, ECO:0000269|PubMed:12438310, ECO:0000269|PubMed:14627812, ECO:0000269|PubMed:15485930, ECO:0000269|PubMed:24240276, ECO:0000269|PubMed:24247251, ECO:0000269|PubMed:24513854}.",,1,,0
471,4M8Z,P53860,PDR16 SFH3 YNL231C N1158,,"Has phosphatidylinositol transfer activity. Involved in the regulation of the phospholipid composition of plasma- and endomembranes. Altering plasma membrane composition may provide a possible mechanism for multidrug resistance. Involved in the regulation of sterol biosynthesis. Contributes to efficient phospholipase D1 activation in the regulation of phospholipid turnover. {ECO:0000269|PubMed:10848624, ECO:0000269|PubMed:9890948}.",,1,,0
472,4MM2,P10363,PRI1 YIR008C YIB8C,,"DNA primase is the polymerase that synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication. In a complex with DNA polymerase alpha (DNA polymerase alpha:primase) constitutes a replicative polymerase. Both primase components participate in formation of the active center, but the ATP-binding site is exclusively located on p48.",,1,,0
473,4MSX,P43589,SAD1 YFR005C,,Promotes the assembly of newly synthesized U4 snRNA into the U4/U6 snRNP particle. Required for splicing of pre-mRNA. {ECO:0000269|PubMed:10022888}.,,1,,0
474,4MYC,P40416,ATM1 MDY YMR301C YM9952.03C,,"Performs an essential function in the generation of cytoplasmic iron-sulfur proteins by mediating the ATP-dependent export of Fe/S cluster precursors synthesized by NFS1 and other mitochondrial proteins. Hydrolyzes ATP. Binds glutathione and may function by transporting a glutathione-conjugated iron-sulfur compound. {ECO:0000269|PubMed:10406803, ECO:0000269|PubMed:24604199}.",,1,,0
475,4N0H,Q03557,HER2 GEP6 LRC6 YMR293C,,"Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). Required for HMG2-induced ER-remodeling. {ECO:0000255|HAMAP-Rule:MF_03150, ECO:0000269|PubMed:18667535, ECO:0000269|PubMed:19417106}.",,1,,0
476,4N0T,P49960,PRP24 YMR268C YM8156.10C,,Binds preferentially to the U4/U6 hybrid snRNAs. Can stimulate the annealing of U4 and U6. Could participate in both the formation and disassembly of the U4/U6 hybrid during splicing.,,1,,0
477,4N5C,P46951,YPP1 YGR198W G7594,,Involved in endocytosis. {ECO:0000269|PubMed:17576801}.,,1,,0
478,4NUT,P39990,SNU13 YEL026W,,"Common component of the spliceosome and rRNA processing machinery. In association with the spliceosomal U4/U6.U5 tri-snRNP particle, required for splicing of pre-mRNA. In association with box C/D snoRNPs, required for processing of pre-ribosomal RNA (rRNA) and site-specific 2'-O-methylation of substrate RNAs. Essential for the accumulation and stability of U4 snRNA, U6 snRNA, and box C/D snoRNAs. {ECO:0000269|PubMed:11081632, ECO:0000269|PubMed:12215523, ECO:0000269|PubMed:14730029}.",,1,,0
479,4OBX,P49017,COQ5 DBI56 YML110C YM8339.09C,,"Methyltransferase required for the conversion of 2-polyprenyl-6-methoxy-1,4-benzoquinol (DDMQH2) to 2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol (DMQH2). {ECO:0000255|HAMAP-Rule:MF_03191, ECO:0000269|PubMed:9083048}.",,1,,0
480,4OE6,P07275,PUT2 YHR037W,,,,1,,0
481,4OI4,Q08685,CLP1 YOR250C,,"Component of the cleavage factor IA (CF IA) complex, which is involved in the endonucleolytic cleavage during polyadenylation-dependent pre-mRNA 3'-end formation. Associates with HRB1/CF IB to form the cleavage factor I (CF I) complex. CF I is required for correct positioning of a larger protein complex, the cleavage and polyadenylation factor (CPF) complex, which contains the catalytic subunits executing mRNA cleavage and polyadenylation. CLP1 mediates interactions between CF IA and CPF factors. CLP1 is also involved in maintaining the CF IA interaction with the C-terminal domain of RNA Pol II largest subunit via PCF11, which links pre-mRNA 3'-end processing to transcription termination. {ECO:0000255|HAMAP-Rule:MF_03035, ECO:0000269|PubMed:11344258, ECO:0000269|PubMed:21993299, ECO:0000269|PubMed:21993300, ECO:0000269|PubMed:22216186}.",,1,,0
482,4OJV,P22434,PDE1 YGL248W NRB369,,"Controls the level of cAMP in yeast cells, together with the high-affinity cAMP phosphodiesterase (PDE2).",,1,,0
483,4PSW,P39984,HAT2 YEL056W,,"Regulatory subunit of the histone acetylase B (HAT-B) complex. The complex acetylates 'Lys-12' of histone H4 which is required for telomeric silencing. HAT2 is required for high affinity binding of the acetyltransferase to histone H4, for the nuclear location of HAT1 and for the HAT1-HIF1 interaction. Alone, it is unable to bind to H4, requiring HAT1 for high affinity interaction with the histone tail. HAT2 has also a HAT1 independent function in life-span regulation. {ECO:0000269|PubMed:10982821, ECO:0000269|PubMed:14761951, ECO:0000269|PubMed:15099519, ECO:0000269|PubMed:16023114, ECO:0000269|PubMed:24835250}.",,1,,0
484,4PVC,Q12068,GRE2 YOL151W,,"Catalyzes the irreversible reduction of the cytotoxic compound methylglyoxal (MG, 2-oxopropanal) to (S)-lactaldehyde as an alternative to detoxification of MG by glyoxalase I GLO1. MG is synthesized via a bypath of glycolysis from dihydroxyacetone phosphate and is believed to play a role in cell cycle regulation and stress adaptation. Also catalyzes the reduction of 3-methylbutanal to 3-methylbutanol. Acts as a suppressor of 3-methylbutanol-induced filamentation by modulating the levels of 3-methylbutanal, the signal to which cells respond by filamentation. Also involved in ergosterol metabolism. {ECO:0000269|PubMed:12722185, ECO:0000269|PubMed:16598690, ECO:0000269|PubMed:16999827, ECO:0000269|PubMed:3896793}.",,1,,0
485,4QU4,P47047,MTR4 DOB1 YJL050W J1158,,ATP-dependent RNA helicase required for the 3'-end formation of 5.8S RNA. Cofactor for the exosome complex that unwinds secondary structure in pre-rRNA. Required for nucleocytoplasmic transport of mRNA. May serve as a chaperone which translocates or normalizes the structure of mRNAs in preparation for export. Component of the TRAMP complex which has a poly(A) RNA polymerase activity and is involved in a post-transcriptional quality control mechanism limiting inappropriate expression of genetic information. Polyadenylation is required for the degradative activity of the exosome on several of its nuclear RNA substrates. {ECO:0000269|PubMed:15828860}.,,1,,0
486,4QYX,Q04432,HSP31 YDR533C D9719.36,,"Catalyzes the conversion of methylglyoxal (MG) to D-lactate in a single glutathione (GSH)-independent step. May play a role in detoxifying endogenously produced glyoxals (PubMed:24302734). Involved in protection against reactive oxygen species (ROS) (PubMed:17395014). Important for viability in stationary phase. May negatively regulate TORC1 in response to nutrient limitation (PubMed:24706893). {ECO:0000269|PubMed:17395014, ECO:0000269|PubMed:24302734, ECO:0000269|PubMed:24706893}.",,1,,0
487,4R17,P23638,PRE9 PRS5 YGR135W,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",,1,,0
488,4R17,P40303,PRE6 YOL038W,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",,1,,0
489,4R17,P32379,PUP2 DOA5 YGR253C G9155,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",,1,,0
490,4R17,P40302,PRE5 YMR314W YM9924.06,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",,1,,0
491,4R17,P21242,PRE10 PRC1 PRS1 YOR362C O6650,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",,1,,0
492,4R17,P21243,SCL1 PRC2 PRS2 YGL011C,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",,1,,0
493,4R17,P25451,PUP3 YER094C,,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity. This subunit may participate in the trypsin-like activity of the enzyme complex.",,1,,0
