oln	evorate
YBR247C	0.0894
YLR185W	0.0455
YDR463W	0.2175
YGL089C	0.2083
YIL154C	0.1387
YPL158C	0.2769
YBR165W	0.2428
YLR183C	0.2382
YGR170W	0.1652
YHR075C	0.2275
YMR250W	0.1286
YFR031C	0.1231
YOR148C	0.2919
YHR019C	0.0866
YOR367W	0.1300
YDR281C	0.4020
YJR110W	0.1142
YIL149C	0.3498
YPL101W	0.1382
YPL075W	0.1332
YLR258W	0.0355
YNR015W	0.1536
YIL078W	0.0749
YLR350W	0.0930
YFL024C	0.1226
YGR254W	0.0481
YHR176W	0.2245
YJL127C	0.1578
YKL022C	0.0989
YIL130W	0.1439
YBL092W	0.0385
YFL053W	0.1371
YDR368W	0.0673
YBR101C	0.1069
YDL164C	0.1404
YJR050W	0.1957
YOR156C	0.2105
YDR375C	0.0797
YHR062C	0.0819
YIL014W	0.2720
YBR149W	0.0872
YKL179C	0.1298
YDR088C	0.2356
YDR320C	0.3384
YKL042W	0.1778
YPL194W	0.2165
YNL066W	0.1770
YPL112C	0.1684
YPL030W	0.0705
YDR452W	0.1882
YKL101W	0.2369
YFR022W	0.1912
YKL095W	0.2086
YJR136C	0.2494
YGL225W	0.0742
YHR037W	0.0591
YJL098W	0.2327
YLR451W	0.1209
YFR017C	0.2732
YIR021W	0.3573
YHR017W	0.2422
YLR323C	0.2857
YDR186C	0.1860
YBL038W	0.1233
YOR085W	0.1343
YGL067W	0.1302
YDR424C	0.0543
YNL278W	0.2330
YOR069W	0.2426
YGR038W	0.0946
YOL122C	0.1270
YOR363C	0.1586
YNL087W	0.1672
YPL121C	0.2443
YNL223W	0.1629
YLR318W	0.2546
YBR278W	0.2935
YHR157W	0.3536
YOR067C	0.0764
YOR273C	0.1595
YDR296W	0.1549
YPR091C	0.1855
YGR141W	0.1478
YOR109W	0.1012
YNL173C	0.3880
YIL116W	0.1117
YGR094W	0.0688
YLR194C	0.3028
YLR442C	0.3640
YGR109C	0.1737
YJR103W	0.0925
YHR028C	0.1650
YBR265W	0.1313
YBL007C	0.1363
YDL044C	0.2306
YCL024W	0.2891
YLR343W	0.2419
YMR307W	0.1254
YAL032C	0.1557
YGL145W	0.2217
YHR137W	0.1699
YNL160W	0.1780
YNL252C	0.2186
YER133W	0.0000
YMR198W	0.2660
YCR003W	0.1639
YER020W	0.1577
YNL255C	0.0327
YMR163C	0.3348
YNL201C	0.1224
YDL190C	0.0645
YCR028C-A	0.0889
YHR030C	0.0802
YDR043C	0.1385
YGR076C	0.1083
YER075C	0.1863
YJL187C	0.1467
YBL103C	0.1615
YLR068W	0.1258
YKR085C	0.2410
YBR020W	0.1136
YPL045W	0.1729
YLR418C	0.1781
YLR314C	0.1359
YOL078W	0.1627
YER059W	0.2100
YMR243C	0.0726
YPL230W	0.3306
YGL111W	0.2289
YNL110C	0.1500
YHR139C	0.1600
YPL153C	0.0853
YBL025W	0.1379
YOL066C	0.1227
YDR263C	0.2430
YLR414C	0.1673
YKL212W	0.1011
YJL071W	0.1529
YMR019W	0.2520
YHR115C	0.1394
YOR223W	0.1404
YER124C	0.2203
YEL022W	0.0900
YPL188W	0.0896
YPR188C	0.1411
YIL053W	0.0040
YDL074C	0.1514
YNL073W	0.2030
YOR374W	0.0482
YJL190C	0.0077
YMR218C	0.2134
YLR052W	0.1240
YGL107C	0.1975
YOR269W	0.1927
YOR212W	0.0903
YPL256C	0.1284
YDR032C	0.0202
YDL069C	0.3246
YEL053C	0.2041
YMR280C	0.2137
YPR166C	0.0522
YPL037C	0.0318
YER057C	0.1240
YCR092C	0.1833
YMR156C	0.3067
YKL145W	0.0278
YJL111W	0.0345
YCR014C	0.2729
YKR010C	0.4250
YGL184C	0.0817
YLR085C	0.1027
YMR058W	0.0915
YLR436C	0.1887
YOR290C	0.1557
YMR129W	0.1518
YML024W	0.0147
YML093W	0.1421
YJR077C	0.0322
YHR197W	0.1890
YOR198C	0.0745
YKL109W	0.2007
YGR261C	0.1588
YKL154W	0.1762
YPL228W	0.2004
YDR158W	0.0384
YMR116C	0.0000
YPL004C	0.0680
YLR107W	0.1525
YPL082C	0.0621
YDR256C	0.0663
YGL030W	0.0190
YGR283C	0.2346
YDL052C	0.2086
YER175C	0.1739
YMR308C	0.0386
YJL178C	0.2218
YIL084C	0.0398
YLR429W	0.1393
YDL183C	0.1912
YDR050C	0.0363
YGR061C	0.0611
YCR032W	0.2623
YNL312W	0.0476
YBL066C	0.1635
YPL241C	0.3881
YGL120C	0.0313
YGR271C-A	0.1681
YDR169C	0.1384
YLR098C	0.0850
YOL125W	0.2395
YLR110C	0.0526
YIR038C	0.1239
YDL134C	0.0271
YEL071W	0.1109
YKR058W	0.3833
YBR098W	0.2971
YML062C	0.2245
YPR108W	0.0775
YDR369C	0.4664
YBR106W	0.0851
YKL132C	0.2800
YBL093C	0.0591
YAL062W	0.0722
YLR453C	0.4051
YHR171W	0.1714
YGR162W	0.1654
YDL165W	0.0262
YGR227W	0.1086
YDR258C	0.0851
YJL124C	0.0930
YDR179C	0.3250
YJR051W	0.1343
YKL094W	0.1054
YDR261C	0.1993
YIL131C	0.1387
YBR146W	0.0971
YMR251W	0.2486
YPL031C	0.0361
YHR061C	0.2211
YDR453C	0.0765
YER080W	0.1408
YJL164C	0.0761
YNL065W	0.1068
YKL164C	0.0662
YNL030W	0.0000
YJR135C	0.3054
YDR321W	0.1234
YFR032C-A	0.0169
YNR001C	0.0376
YNL178W	0.0125
YPL036W	0.0578
YDR147W	0.2715
YMR031C	0.2344
YMR193W	0.1705
YMR076C	0.1198
YGR205W	0.1448
YDR356W	0.2595
YDR167W	0.1262
YJL051W	0.2160
YJR017C	0.1000
YPL180W	0.2620
YHR057C	0.1024
YCR053W	0.0525
YJL106W	0.0884
YNL027W	0.2033
YDR440W	0.2385
YJL060W	0.0625
YDL101C	0.0938
YDL205C	0.0428
YML080W	0.1182
YNL099C	0.0630
YMR285C	0.1456
YLR291C	0.0341
YPR140W	0.1207
YGL059W	0.0652
YDL230W	0.1373
YML115C	0.0906
YBR279W	0.1319
YGL075C	0.3299
YOR281C	0.0912
YIL117C	0.3651
YAL055W	0.3596
YIR026C	0.0718
YOR340C	0.0920
YGR140W	0.1919
YDR475C	0.2445
YPL137C	0.2014
YNL116W	0.1571
YGR097W	0.1321
YHR156C	0.3373
YBR151W	0.1709
YCL025C	0.0790
YNR034W	0.0592
YGR157W	0.1304
YNL282W	0.1641
YBR286W	0.0991
YGL144C	0.1245
YBR168W	0.2694
YDR297W	0.0831
YML070W	0.0599
YLR340W	0.0705
YGR108W	0.1338
YKR096W	0.1928
YLR275W	0.0636
YOR073W	0.2268
YDR212W	0.0286
YBR166C	0.1419
YKL043W	0.2727
YIL155C	0.0539
YGR171C	0.2099
YDL227C	0.0734
YAL048C	0.0684
YPL055C	0.3141
YAL013W	0.1298
YGL093W	0.3053
YLR353W	0.2990
YOR371C	0.2040
YPL009C	0.2074
YGL200C	0.0394
YOR019W	0.3582
YLR259C	0.0210
YNL052W	0.1046
YNL192W	0.1176
YFR036W	0.2314
YPL157W	0.1396
YKL005C	0.2650
YBR120C	0.1728
YDR280W	0.0525
YOR179C	0.3552
YKL215C	0.1065
YPL217C	0.1095
YHR114W	0.1359
YKL178C	0.1449
YBL024W	0.0702
YMR241W	0.0547
YOL067C	0.0904
YGR028W	0.0525
YPL213W	0.1723
YDR127W	0.0598
YOL018C	0.1490
YBR288C	0.1677
YJR067C	0.1714
YMR222C	0.1256
YNL231C	0.0977
YMR284W	0.1993
YNL264C	0.0857
YIL099W	0.2477
YLL024C	0.0219
YDR434W	0.1034
YGL106W	0.0537
YOL027C	0.1239
YDR033W	0.1536
YPL120W	0.2262
YIL075C	0.0573
YOL145C	0.1318
YOR134W	0.2836
YGL226W	0.2033
YHR038W	0.1485
YJL099W	0.2294
YLR324W	0.1195
YBR208C	0.0845
YNR074C	0.2857
YDR005C	0.1215
YHR014W	0.2268
YPR154W	0.1488
YHL025W	0.2470
YIL097W	0.1589
YFR010W	0.0721
YHL009C	0.3528
YMR311C	0.1579
YHL021C	0.0989
YJL109C	0.1148
YML118W	0.2540
YHR205W	0.0842
YGR037C	0.0460
YLR304C	0.0360
YOR236W	0.2275
YBL039C	0.0553
YGR188C	0.2360
YNR058W	0.1458
YER143W	0.1262
YOR106W	0.1343
YPL012W	0.1036
YGR057C	0.0708
YOR030W	0.2892
YGR284C	0.0419
YDL053C	0.2022
YPR004C	0.1199
YOR122C	0.0336
YGL033W	0.1907
YKR062W	0.0366
YDR106W	0.4057
YLR200W	0.1404
YMR215W	0.1371
YDR051C	0.0719
YGR062C	0.1835
YER010C	0.1453
YER176W	0.2018
YBR078W	0.1108
YMR097C	0.1853
YBR030W	0.2518
YLR336C	0.2291
YDL133W	0.1556
YJL019W	0.2044
YDL022W	0.0205
YPR021C	0.1210
YLR044C	0.0231
YGR244C	0.0749
YKR037C	0.0906
YMR271C	0.1145
YBR065C	0.2444
YLR099C	0.0939
YOR149C	0.2893
YOR074C	0.0757
YOR298C-A	0.0728
YML032C	0.1757
YDR240C	0.2607
YGR059W	0.2250
YHR135C	0.0695
YDR429C	0.0620
YLR189C	0.1427
YGL249W	0.4086
YER118C	0.0790
YDL193W	0.1322
YER021W	0.0822
YBR052C	0.1524
YEL052W	0.1139
YMR162C	0.1155
YEL009C	0.1032
YER161C	0.1622
YBR083W	0.1934
YHR103W	0.1979
YOR001W	0.2448
YDR498C	0.2173
YOR257W	0.0000
YGR002C	0.1224
YEL041W	0.2000
YER129W	0.2097
YOL113W	0.1837
YMR120C	0.0287
YGR253C	0.0115
YKR082W	0.1616
YHR129C	0.1198
YOR042W	0.2317
YPR045C	0.1851
YER058W	0.0935
YPR010C	0.0299
YPL231W	0.0648
YLR148W	0.1408
YDL082W	0.0251
YKL155C	0.2150
YJR069C	0.0914
YBR162W-A	0.1385
YKR055W	0.1993
YPL081W	0.0309
YDR351W	0.2278
YOL119C	0.0878
YMR188C	0.1392
YDR148C	0.1313
YPL181W	0.2545
YJR034W	0.0741
YDL045W-A	0.0421
YOR003W	0.2437
YLR210W	0.1916
YNL055C	0.0459
YDL204W	0.2526
YIL042C	0.1170
YDR335W	0.0408
YPR141C	0.1209
YDR446W	0.2351
YHR081W	0.1913
YGL189C	0.0084
YPR036W-A	0.1343
YML081W	0.1631
YHR181W	0.0769
YOR107W	0.3987
YDL179W	0.2673
YER096W	0.3114
YOR125C	0.1073
YMR128W	0.1459
YPR167C	0.0766
YCR077C	0.0928
YML130C	0.1155
YJL029C	0.1504
YER056C	0.0657
YGL130W	0.0763
YMR157C	0.2874
YJL033W	0.0805
YLR437C	0.0827
YLR417W	0.1596
YML075C	0.0911
YCR017C	0.1427
YDR237W	0.0685
YOR297C	0.2344
YDR060W	0.1556
YMR080C	0.0361
YGL187C	0.0581
YJL023C	0.3237
YBR001C	0.1013
YIL027C	0.1489
YGL025C	0.2127
YHR196W	0.2059
YMR048W	0.3060
YDR277C	0.1109
YPR067W	0.2120
YJR094C	0.2885
YPR007C	0.2268
YML025C	0.1326
YDR257C	0.3219
YJR074W	0.1960
YGR266W	0.1512
YDL148C	0.1605
YJL167W	0.0483
YPL076W	0.1223
YAL012W	0.0305
YHR163W	0.1968
YJR134C	0.2606
YMR288W	0.1298
YBR167C	0.2071
YIL156W	0.1541
YPL196W	0.0792
YLR272C	0.1029
YHR100C	0.1351
YDL226C	0.1364
YNR017W	0.1060
YKL059C	0.0961
YDR364C	0.1678
YAL049C	0.1789
YJL212C	0.0663
YOR194C	0.1655
YPL156C	0.3050
YOR018W	0.1933
YIL056W	0.1325
YGL201C	0.0769
YGL047W	0.2362
YNL113W	0.1127
YDR099W	0.0187
YBR121C	0.0540
YDL146W	0.1350
YJR052W	0.1684
YKL188C	0.1326
YMR062C	0.0975
YLR292C	0.0829
YHR170W	0.0560
YJL125C	0.1044
YBR107C	0.1837
YLR312W-A	0.1660
YBL090W	0.1412
YDR259C	0.3045
YKL068W	0.2717
YOR032C	0.2488
YKL093W	0.2540
YDL166C	0.0863
YDR260C	0.1647
YKL142W	0.1096
YPL049C	0.2854
YBR147W	0.1757
YNL064C	0.0538
YNL031C	0.0000
YLR045C	0.1454
YER081W	0.0405
YIL136W	0.1247
YPL178W	0.0433
YHL010C	0.1795
YPR041W	0.0519
YDR373W	0.0263
YHR060W	0.2762
YDR322W	0.1863
YNL008C	0.3447
YOR023C	0.2206
YDR004W	0.1566
YIL018W	0.0079
YIL074C	0.0448
YMR312W	0.1685
YMR297W	0.0564
YLR395C	0.0769
YHR015W	0.3125
YHL024W	0.1317
YHR039C	0.0661
YBR274W	0.1252
YNL007C	0.0398
YGL178W	0.1242
YKL088W	0.1815
YER142C	0.1993
YGR056W	0.1663
YPL176C	0.1992
YGR121C	0.0815
YDR536W	0.0890
YGL065C	0.1511
YKR087C	0.1420
YDR180W	0.2066
YOR052C	0.0800
YOR142W	0.0517
YGR096W	0.1497
YIR005W	0.1517
YAL054C	0.0492
YMR135C	0.1903
YHR155W	0.2296
YEL003W	0.0811
YJR112W	0.1542
YDL231C	0.1227
YBR252W	0.1020
YGR116W	0.0496
YIL110W	0.2255
YIL069C	0.0148
YLR425W	0.1589
YBR169C	0.1140
YNL135C	0.0088
YAL030W	0.0598
YKR095W-A	0.1975
YHR160C	0.5018
YNL281W	0.0719
YBL001C	0.0577
YBR185C	0.1403
YBR150C	0.2832
YGR150C	0.2755
YJR133W	0.0957
YDR224C	0.0076
YER119C	0.1406
YGR058W	0.1437
YPR193C	0.2516
YDR381C-A	0.2018
YMR161W	0.0759
YNL207W	0.0965
YDR499W	0.1745
YBR082C	0.0068
YBL034C	0.2003
YOL008W	0.2029
YNL224C	0.2902
YHR104W	0.0673
YBR089C-A	0.0505
YCR054C	0.1829
YDR045C	0.0182
YHR092C	0.0677
YPL232W	0.0690
YKR083C	0.1654
YGR252W	0.0683
YDL003W	0.2597
YER128W	0.2315
YJR123W	0.0089
YDL078C	0.0787
YGR003W	0.2392
YDR517W	0.1617
YOR256C	0.2270
YLL061W	0.0995
YDR110W	0.1416
YKL214C	0.1859
YDR419W	0.1712
YOR361C	0.0649
YOR221C	0.0861
YOR185C	0.0136
YGL113W	0.2341
YKR095W	0.2615
YMR223W	0.1028
YPL214C	0.1074
YGR029W	0.1530
YFL034C-A	0.0902
YOR334W	0.0959
YLR193C	0.0686
YLR154C	0.2661
YBL023C	0.0449
YNR010W	0.1946
YGL078C	0.0753
YDR435C	0.1829
YER151C	0.1864
YIL098C	0.2000
YLR005W	0.0651
YLL027W	0.1928
YOR144C	0.3071
YOR253W	0.1761
YEL039C	0.0708
YCL001W	0.0638
YGR198W	0.1848
YKL189W	0.0530
YAR007C	0.0483
YPL254W	0.1578
YML064C	0.0612
YER055C	0.0842
YNL307C	0.0373
YLL012W	0.1431
YCL052C	0.1923
YLR438W	0.0448
YNL002C	0.1087
YLR087C	0.1055
YJL044C	0.2000
YCR094W	0.1410
YGL186C	0.1314
YPR164W	0.2108
YLR394W	0.1769
YMR081C	0.2508
YGR218W	0.0286
YEL060C	0.1516
YHR195W	0.2947
YGR267C	0.0123
YDL149W	0.1709
YPR006C	0.1285
YPL002C	0.0558
YGL022W	0.0529
YMR049C	0.0697
YJR075W	0.1111
YLL029W	0.1335
YDL181W	0.0353
YOR344C	0.1103
YGR285C	0.0624
YNL232W	0.1404
YER017C	0.0858
YBR022W	0.1977
YMR214W	0.1210
YBR079C	0.1013
YER177W	0.0189
YGR063C	0.0294
YMR176W	0.2994
YCL063W	0.2019
YER048C	0.0921
YEL019C	0.1873
YML048W	0.1340
YNR006W	0.1900
YLR027C	0.0598
YBR031W	0.0304
YDL132W	0.0601
YGR245C	0.0900
YNL009W	0.0863
YPL119C	0.1154
YKL221W	0.1928
YPL243W	0.1386
YDR497C	0.0939
YLR167W	0.0066
YMR270C	0.1507
YLR293C	0.0000
YDL147W	0.0764
YJR053W	0.2356
YOR360C	0.1540
YBR104W	0.0760
YJL171C	0.1187
YBL091C	0.0879
YIL041W	0.0677
YMR014W	0.2549
YPL048W	0.2054
YER082C	0.0812
YIL137C	0.1875
YPR110C	0.0537
YNL123W	0.0722
YDR372C	0.0581
YBR119W	0.2727
YPL179W	0.1004
YLR373C	0.1569
YKL092C	0.2450
YFL016C	0.0982
YDR451C	0.2465
YDR322C-A	0.1458
YJL162C	0.3257
YLR260W	0.1593
YDR085C	0.3713
YNL032W	0.1530
YKR001C	0.0357
YDR350C	0.2302
YJL100W	0.1980
YMR001C	0.0227
YJL006C	0.1366
YPR074C	0.0309
YDL081C	0.0566
YIR034C	0.0590
YDR165W	0.2523
YGL013C	0.2051
YLR191W	0.1762
YFL018C	0.0561
YJR068W	0.0708
YGR207C	0.0728
YER095W	0.0680
YPL258C	0.1416
YHR080C	0.3166
YML086C	0.0608
YDL207W	0.1599
YPL079W	0.0187
YPL015C	0.2099
YOR267C	0.1383
YMR038C	0.0843
YLR054C	0.2044
YNL025C	0.0464
YNL321W	0.0917
YGR091W	0.3036
YHR001W	0.0872
YDR477W	0.0649
YJL010C	0.1021
YBR199W	0.2220
YJR148W	0.1197
YBR253W	0.1570
YFR029W	0.1522
YIL035C	0.0538
YIL111W	0.2067
YIL159W	0.2246
YBR153W	0.2336
YLL062C	0.2562
YML121W	0.0259
YKL139W	0.1538
YJL084C	0.1772
YHR154W	0.2853
YPL135W	0.0485
YPR134W	0.3887
YKL010C	0.1450
YPL255W	0.1740
YMR289W	0.3717
YOL012C	0.0149
YOR128C	0.0613
YAL015C	0.1985
YFL036W	0.1091
YDL209C	0.2183
YKL045W	0.0511
YMR239C	0.1282
YIL157C	0.1378
YLR273C	0.3659
YIL051C	0.0690
YPL057C	0.1623
YNL074C	0.2404
YDR365C	0.1688
YLR308W	0.2083
YLR440C	0.2722
YGL206C	0.0417
YDL225W	0.1065
YPR131C	0.0513
YJL153C	0.1163
YDR460W	0.0376
YOR377W	0.1889
YLR364W	0.1009
YKL058W	0.0082
YKL085W	0.0569
YNR043W	0.0682
YLR406C	0.0000
YOR227W	0.1886
YDR416W	0.2803
YJL003W	0.0932
YLL026W	0.0275
YHR023W	0.1670
YOL065C	0.1875
YGL251C	0.2093
YKL217W	0.0911
YBL022C	0.0909
YPL215W	0.1257
YOL130W	0.1612
YDR125C	0.2074
YGR013W	0.2829
YML103C	0.1890
YEL038W	0.1630
YCL014W	0.3145
YOL025W	0.2853
YGL172W	0.1451
YPL040C	0.1767
YLR051C	0.1898
YDR436W	0.1607
YGR199W	0.1304
YLR004C	0.0615
YLR306W	0.2074
YPL028W	0.0402
YNL280C	0.0597
YIL073C	0.2154
YBR233W	0.1501
YPL122C	0.0546
YOR351C	0.0966
YGR082W	0.0328
YMR291W	0.0876
YKL113C	0.0445
YHR012W	0.1630
YKL116C	0.1841
YMR313C	0.0576
YGR119C	0.1580
YDR181C	0.3117
YOL127W	0.0211
YPL129W	0.0451
YGL179C	0.2893
YGR120C	0.1412
YDR539W	0.1213
YPL208W	0.2491
YBR025C	0.0838
YML001W	0.0048
YLL028W	0.0870
YOR187W	0.0389
YER016W	0.1808
YDR501W	0.2994
YGR286C	0.0613
YOR100C	0.0917
YCR037C	0.0903
YHR004C	0.1996
YMR217W	0.0267
YKL128C	0.2102
YGL035C	0.1733
YMR039C	0.1207
YER170W	0.1333
YPR031W	0.2259
YML058W-A	0.1029
YLR026C	0.0941
YOR147W	0.1769
YER035W	0.3103
YDL131W	0.0479
YHR008C	0.0300
YMR277W	0.0930
YPL242C	0.1729
YML049C	0.2160
YBR067C	0.0914
YPL172C	0.1183
YCR068W	0.1811
YLL004W	0.1023
YER049W	0.0855
YGL125W	0.0650
YDL024C	0.2409
YDL033C	0.1727
YMR255W	0.2872
YGL068W	0.1082
YLR028C	0.0288
YBR081C	0.1968
YER116C	0.3797
YML012W	0.0853
YOL009C	0.1587
YDR028C	0.2188
YML050W	0.2090
YBL035C	0.1491
YPL010W	0.0423
YCR057C	0.0891
YNL206C	0.1965
YHR105W	0.2297
YLR060W	0.0521
YDR516C	0.0380
YOR255W	0.2935
YOR063W	0.0413
YIR006C	0.2113
YGR251W	0.2256
YLL060C	0.2605
YPR047W	0.1578
YIL122W	0.2314
YNL045W	0.1282
YDR044W	0.0274
YKR080W	0.0531
YKL078W	0.1253
YDL002C	0.0936
YPR148C	0.2151
YDR354W	0.1342
YJR032W	0.1705
YOR037W	0.2732
YIR037W	0.0798
YDR071C	0.0628
YDR162C	0.2331
YGL012W	0.0888
YOL057W	0.1225
YJL101C	0.1018
YKR057W	0.0115
YFR004W	0.0098
YDR353W	0.0596
YMR139W	0.0486
YJL001W	0.0279
YDL080C	0.0475
YOR172W	0.3673
YHR183W	0.0389
YPR143W	0.2050
YML085C	0.0134
YML087C	0.1154
YER094C	0.0341
YML069W	0.0471
YHR083W	0.2563
YGR208W	0.1424
YKL119C	0.1953
YHR042W	0.0866
YER101C	0.1233
YNL248C	0.0651
YDR171W	0.2246
YLR086W	0.1730
YLR439W	0.1505
YER054C	0.2183
YLR151C	0.1141
YOR025W	0.1678
YML030W	0.0566
YCL051W	0.2547
YML065W	0.1522
YOR190W	0.1573
YOR127W	0.2695
YER001W	0.2044
YLL013C	0.1594
YJL047C	0.2224
YOR319W	0.1596
YBL074C	0.2486
YEL061C	0.1131
YLR190W	0.2119
YLR175W	0.0502
YDL126C	0.0156
YDR228C	0.1336
YHR194W	0.0904
YOR295W	0.3540
YGR264C	0.0826
YJL038C	0.2511
YML078W	0.0330
YOR158W	0.1646
YDL208W	0.0128
YIR018W	0.2292
YPL074W	0.1607
YIL129C	0.0704
YKL046C	0.0334
YBR145W	0.0969
YDR339C	0.0212
YAL014C	0.1844
YFL037W	0.0109
YHL022C	0.2323
YPL169C	0.0751
YHR161C	0.2300
YGL207W	0.0464
YNL111C	0.1333
YGR134W	0.2204
YCR073C	0.2513
YLR270W	0.0200
YKL184W	0.1567
YOL103W	0.1051
YIL050W	0.2246
YGR169C	0.2649
YLR309C	0.2393
YPR086W	0.0320
YJR125C	0.1951
YDR153C	0.1256
YJL065C	0.2000
YPL127C	0.1550
YJL170C	0.3301
YMR186W	0.0355
YBR105C	0.1496
YLR080W	0.2038
YMR016C	0.2978
YKR020W	0.2927
YDR456W	0.0792
YDR308C	0.0571
YLR372W	0.1014
YMR004W	0.1722
YER083C	0.1614
YHR050W	0.1111
YOR066W	0.2173
YLR228C	0.1480
YLR389C	0.1010
YJL072C	0.1127
YOR112W	0.2194
YDL168W	0.0649
YPR132W	0.0000
YIL134W	0.1645
YKL144C	0.0377
YNL175C	0.1414
YGR173W	0.0408
YDL240W	0.1200
YBR234C	0.0911
YLR307W	0.1628
YOR356W	0.0967
YFR013W	0.1753
YBR261C	0.0948
YMR177W	0.1631
YHR013C	0.0336
YGR083C	0.1046
YOL040C	0.0423
YPR020W	0.0957
YGL045W	0.1513
YCL035C	0.1182
YIL023C	0.2370
YOR308C	0.4517
YOL146W	0.0928
YGL221C	0.1389
YHR144C	0.1731
YDR006C	0.1293
YIL072W	0.1372
YGR034W	0.0079
YBR229C	0.1830
YDR190C	0.0302
YNL290W	0.0706
YOR372C	0.1513
YBR276C	0.2453
YMR314W	0.0256
YAL021C	0.0808
YNL247W	0.0995
YHR128W	0.0463
YDR538W	0.1653
YOR316C	0.2138
YBR298C	0.1768
YBR123C	0.1331
YIL112W	0.2659
YBR198C	0.0691
YGR090W	0.1110
YFR028C	0.0744
YMR204C	0.2816
YOL104C	0.3182
YNL132W	0.0492
YDR470C	0.1305
YBR029C	0.0722
YBR250W	0.1815
YIL043C	0.0880
YHR153C	0.3384
YDR386W	0.2009
YGL141W	0.1505
YBR152W	0.4877
YJL087C	0.2136
YLR347C	0.0360
YDR292C	0.1176
YNL157W	0.1257
YBR218C	0.0466
YAL036C	0.0407
YCL028W	0.1344
YML120C	0.0526
YGL174W	0.3346
YHR106W	0.0940
YOR216C	0.2603
YOL164W	0.3547
YNL164C	0.1576
YHR208W	0.0509
YDL065C	0.2368
YGL244W	0.0860
YBL036C	0.1868
YOR249C	0.2080
YBR296C	0.0923
YBR080C	0.0317
YPR191W	0.1196
YDL030W	0.2491
YER117W	0.0073
YDR027C	0.1474
YJL110C	0.3011
YHR068W	0.0336
YOR301W	0.1944
YNL272C	0.2296
YPR073C	0.1118
YKR081C	0.0848
YEL011W	0.0625
YDL001W	0.0535
YOR140W	0.2102
YOL013C	0.1853
YPL043W	0.1301
YPL218W	0.0000
YGR250C	0.1581
YDR515W	0.3932
YPR033C	0.0951
YOR254C	0.1146
YMR309C	0.0505
YGL250W	0.1867
YBL059C-A	0.0734
YMR023C	0.2205
YIL065C	0.0194
YOR089C	0.0478
YOR230W	0.1078
YHR076W	0.1341
YMR180C	0.4277
YGL163C	0.0826
YOR336W	0.2524
YKL216W	0.0414
YML021C	0.1844
YGR012W	0.1247
YBL021C	0.0347
YHL004W	0.1833
YLL045C	0.0273
YOR209C	0.1235
YLR007W	0.1935
YPL252C	0.0936
YKR097W	0.0401
YOR094W	0.0765
YPL154C	0.0691
YPL130W	0.2601
YER157W	0.1748
YOL022C	0.1373
YGR270W	0.2017
YEL037C	0.1159
YDR437W	0.1500
YMR054W	0.1057
YDR065W	0.3068
YER053C	0.0533
YOR126C	0.1891
YPL051W	0.0303
YJR121W	0.0039
YLR081W	0.1012
YCL050C	0.0872
YGR047C	0.0948
YCR021C	0.1220
YDR049W	0.2420
YJL148W	0.1982
YER100W	0.0843
YFR040W	0.1329
YPR079W	0.1733
YGL008C	0.0393
YJL026W	0.0426
YLR412W	0.2518
YIL057C	0.0671
YER002W	0.1747
YDR170C	0.1036
YDL127W	0.1954
YBL075C	0.0354
YDR272W	0.1798
YOR159C	0.1383
YOR160W	0.1063
YLR103C	0.0862
YOR294W	0.0887
YEL062W	0.1433
YMR261C	0.0820
YMR112C	0.1349
YDR100W	0.1189
YJL039C	0.1456
YLR038C	0.0241
YPR085C	0.3303
YOR038C	0.1383
YNL096C	0.0263
YNL212W	0.1434
YCR036W	0.2282
YGR287C	0.0696
YER015W	0.1519
YMR216C	0.1278
YML006C	0.2186
YCL061C	0.3158
YDR439W	0.2602
YNL253W	0.1872
YBR024W	0.2093
YDR502C	0.0312
YHR167W	0.1648
YER062C	0.0320
YER171W	0.0257
YDL047W	0.0032
YGR247W	0.0921
YDR101C	0.0801
YPR026W	0.0975
YML046W	0.1831
YGL124C	0.1786
YLR070C	0.1854
YDL130W	0.0472
YMR276W	0.1025
YEL002C	0.1465
YLR025W	0.1208
YER139C	0.0796
YBR066C	0.1818
YDR341C	0.0511
YJL013C	0.3028
YJL173C	0.0902
YHR199C	0.1839
YEL054C	0.0121
YDL090C	0.2111
YBR214W	0.0741
YMR061W	0.1034
YJL128C	0.1018
YJR002W	0.2530
YDL145C	0.0676
YKL127W	0.1105
YDR309C	0.2427
YNL061W	0.0518
YKR021W	0.1588
YDR398W	0.1231
YHR209W	0.2577
YFL014W	0.1204
YDR457W	0.0830
YLR386W	0.0592
YIL135C	0.1537
YLR371W	0.0858
YKL090W	0.2922
YDL169C	0.2752
YNL121C	0.0729
YDR087C	0.1691
YMR294W	0.3568
YDR265W	0.2730
YER136W	0.0222
YNR008W	0.0988
YLR092W	0.1200
YJL166W	0.0426
YDR072C	0.1996
YER044C	0.0743
YMR072W	0.2022
YLR248W	0.1314
YOR283W	0.0696
YJR033C	0.1356
YDL087C	0.1206
YBL068W	0.0276
YGL011C	0.0317
YMR225C	0.0612
YKL129C	0.1267
YML051W	0.0667
YDR238C	0.0606
YOR173W	0.0680
YHR184W	0.1866
YNL323W	0.0971
YFR024C-A	0.0925
YLR172C	0.0667
YGR209C	0.0288
YML068W	0.2414
YPR192W	0.1310
YPR168W	0.0701
YJL048C	0.2051
