uniprot	pdb	oln	pdb_length
P26646	1o89.A	b3253	320
P26648	2uxt.A	b3017	422
P26649	1rrz.A	b3049	66
P27245	4jba.A	b1530	134
P27248	3a8k.A	b2905	363
P27254	2p67.A	b2918	302
P27302	2r8o.A	b2935	662
P27305	1nzj.A	b0144	273
P27431	4lit.A	b1128	361
P27828	1f6d.A	b3786	377
P27830	1bxk.A	b3788	341
P27833	4zah.A	b3791	370
P27838	1soy.A	b3807	106
P27859	1xwy.A	b4483	260
P27862	1vi7.A	b3848	206
P28224	2f09.A	b1639	82
P28248	1xs1.A	b2065	193
P28304	1qor.A	b4051	326
P28305	1i2k.A	b1096	269
P28629	2vyc.A	b4117	755
P28630	1jr3.D	b0640	338
P28631	1a5t.A	b1099	324
P28635	4yah.X	b0197	246
P28861	1fdr.A	b3924	244
P28905	3sxu.A	b4259	146
P29208	1r6w.A	b2261	321
P29745	1vix.A	b1127	411
P30014	3v9w.A	b1652	202
P30125	1cm7.A	b0073	363
P30128	2p4v.A	b3406	156
P30130	3rfz.B	b4317	778
P30138	1zud.1	b3992	234
P30176	2b3w.A	b0798	168
P30177	4muo.A	b0800	310
P30178	2g8y.A	b0801	359
P30748	1fm0.D	b0784	81
P30749	1fm0.E	b0785	142
P30750	3tui.C	b0199	344
P30850	2id0.A	b1286	636
P30871	5a61.A	b3054	429
P30958	2eyq.A	b1114	1146
P31057	1m3u.A	b0134	262
P31129	4h54.A	b1535	274
P31133	4jdf.A	b0854	341
P31142	1urh.A	b2521	263
P31224	4dx5.A	b0462	1044
P31434	2f2h.A	b3656	773
P31442	2gfp.A	b3673	375
P31473	3nbx.X	b3746	481
P31545	2y4d.A	b1019	372
P31547	3tui.A	b0198	216
P31550	2qry.A	b0068	308
P31553	3hfx.A	b0040	493
P31572	1xk7.A	b0038	407
P31658	1n57.A	b1967	279
P31663	1iho.A	b0133	282
P31677	1uqt.A	b1896	452
P31697	1bf8.A	b4316	205
P31808	3f1l.A	b1271	245
P31992	1gyx.A	b1461	76
P32055	1e6u.A	b2052	315
P32056	1rya.A	b2051	161
P32099	4tvy.A	b4386	329
P32125	1np6.A	b3856	158
P32131	1olt.A	b3867	434
P32132	4zcm.A	b3871	562
P32138	5aee.A	b3878	667
P32140	2rgk.A	b3880	409
P32156	1x8d.A	b3901	104
P32157	1o65.A	b3910	218
P32169	2v9l.A	b3902	274
P32170	1d8w.A	b3903	402
P32171	2cgl.A	b3904	479
P32173	1e5k.A	b3857	188
P32177	4pde.A	b3895	245
P32664	1vk6.A	b3996	257
P32676	4tn5.A	b3953	113
P32684	3dh3.A	b4022	240
P32717	4pdx.A	b4083	622
P32718	3htv.A	b4084	279
P32719	3ctl.A	b4085	219
P33012	1jyh.A	b2009	155
P33013	5fsr.A	b2010	318
P33022	1q8f.A	b2162	308
P33025	4gim.A	b2165	307
P33128	5ghu.A	b0140	201
P33136	1txk.A	b1048	490
P33219	2lqv.A	b1847	99
P33221	1eyz.A	b1849	389
P33224	3djl.A	b4187	538
P33354	2joe.A	b2123	139
P33362	4wep.A	b2131	281
P33371	4bfa.A	b2140	317
P33590	5on8.A	b3476	498
P33644	1z9t.A	b2593	240
P33937	2nya.A	b2206	791
P34209	3ca8.A	b1414	261
P35340	4o5q.A	b0606	521
P36649	4e9s.A	b0123	476
P36673	4xxh.A	b4241	255
P36680	5dko.A	b0102	245
P36683	1l5j.A	b0118	862
P36767	2owl.A	b0393	302
P36929	1sqg.A	b3289	424
P36937	5mrw.D	b4513	27
P36979	3rfa.A	b2517	333
P36999	1p91.A	b1822	268
P37001	1mm4.A	b0622	170
P37019	3det.A	b0155	444
P37024	6eud.A	b0148	808
P37025	4qak.A	b0147	171
P37028	5m29.A	b0158	229
P37128	3o6z.A	b2467	181
P37146	3n37.A	b2676	284
P37182	1cfz.A	b2993	162
P37329	4xxu.A	b0763	231
P37330	1y8b.A	b2976	723
P37387	3m9w.A	b3566	305
P37590	2jso.A	b2259	88
P37595	3c17.A	b0828	305
P37610	1otj.A	b0368	281
P37613	2k5t.A	b3459	128
P37634	4blu.A	b3499	279
P37651	3qxf.A	b3531	337
P37672	1nxu.A	b3575	332
P37692	1psw.A	b3620	331
P37744	1h5r.A	b2039	290
P37747	1i8t.A	b2036	367
P37757	1qy9.A	b1464	295
P37758	4iu9.A	b1469	396
P37765	4lgt.A	b1269	251
P38051	3bzm.A	b2265	429
P38054	4dnt.A	b0575	1031
P38489	1icr.A	b0578	216
P39099	4a8c.A	b3234	395
P39172	2prs.A	b1857	263
P39265	1gud.A	b4088	288
P39274	5i0c.A	b4127	89
P39286	2ykr.W	b4161	282
P39300	2wyl.A	b4192	304
P39301	4rp9.A	b4193	451
P39304	1q6o.A	b4196	213
P39315	2zcu.A	b4211	275
P39325	2vk2.A	b4227	296
P39332	1pf5.A	b4248	130
P39333	5z2l.A	b4249	239
P39346	6dkh.A	b4267	345
P39367	1nkv.A	b4306	245
P39371	2uvk.A	b4310	342
P39377	1onw.A	b4328	376
P39406	2pjd.A	b4371	334
P39408	1zzm.A	b4378	259
P39411	1u5w.A	b4394	162
P39451	4gkv.A	b1478	336
P40191	2ddm.A	b2418	264
P40710	2z4i.A	b0192	190
P40711	4v95.AY	b0191	132
P40874	2uzz.A	b1059	371
P41039	2kgo.A	b0803	88
P41052	1qus.A	b2701	312
P41407	2z98.A	b1412	194
P41409	1yoe.A	b0651	302
P41443	2knq.A	b3329	142
P42588	4uox.A	b3073	453
P42589	3ers.X	b3074	112
P42592	3d3i.A	b3080	758
P42593	1ps9.A	b3081	671
P42596	4dcm.A	b3084	360
P42620	4g0i.A	b3102	327
P42624	2vec.A	b3106	227
P42641	4csu.9	b3183	334
P42907	3c3j.A	b3136	370
P43341	5wly.A	b0524	220
P45425	2aa4.A	b3222	289
P45470	1oi4.A	b3153	192
P45523	1q6u.A	b3347	213
P45530	2d1p.C	b3343	95
P45531	2d1p.B	b3344	119
P45532	2d1p.A	b3345	130
P45545	4j8l.A	b3376	361
P45548	4lef.A	b3379	291
P45550	4kbx.A	b3381	386
P45563	1yqq.A	b2407	273
P45568	1q0q.A	b0173	398
P45748	2mx1.A	b3282	189
P45799	1vhz.A	b3397	186
P46122	2jwy.A	b0412	168
P46130	3grh.A	b0772	397
P46144	3gw7.A	b1962	215
P46849	3tut.A	b4475	336
P46852	1tq5.A	b3439	234
P46853	3f4l.A	b3440	344
P46859	1knq.A	b3437	171
P46883	6ezz.A	b1386	718
P50456	1z6r.A	b1594	382
P50465	1k3x.A	b0714	253
P51981	1jpd.X	b1325	318
P52007	1k4n.A	b1875	183
P52045	1ef8.A	b2919	256
P52061	1k7k.A	b2954	207
P52086	6e4b.A	b0638	203
P52095	5fkz.E	b0186	710
P52097	1ni5.A	b0188	433
P52102	2zvs.A	b2562	81
P52129	4i8o.A	b2630	344
P52141	2jn7.A	b2645	105
P52644	2kts.A	b1379	117
P52697	1ri6.A	b0767	333
P55135	1uwv.A	b2785	418
P60061	3ob6.A	b4115	431
P60240	4s20.K	b0059	961
P60340	1r3f.A	b3166	278
P60390	3tka.A	b0082	283
P60422	4v9o.AC	b3317	271
P60472	3sgv.A	b0174	222
P60546	1s96.A	b3648	205
P60624	4v9o.AU	b3309	102
P60752	3b5w.A	b0914	572
P60757	1h3d.A	b2019	288
P60785	3cb4.A	b2569	525
P60844	2o9g.A	b0875	233
P60906	1kmm.A	b2514	386
P60955	5azb.A	b2828	284
P61175	4ybb.CT	b3315	100
P61316	1iwl.A	b0891	177
P61320	1iwm.A	b1209	177
P61517	1i6p.A	b0126	214
P61887	1mc3.A	b3789	291
P61889	3hhp.A	b3236	312
P61949	2mok.A	b0684	176
P62395	2n62.L	b0097	221
P62615	2ww4.A	b1208	283
P62617	1gx1.A	b2746	157
P62623	3szu.A	b0029	309
P62707	1e58.A	b0755	247
P63177	1gz0.A	b4180	242
P63224	2i2w.A	b0222	192
P63228	2gmw.A	b0200	182
P63235	4djk.A	b1492	451
P63284	4d2u.A	b2592	789
P63746	3i96.A	b2462	109
P63883	4bin.A	b2817	348
P64423	5n9y.A	b1342	327
P64467	2jqt.A	b1625	57
P64488	3bb6.A	b1797	109
P64496	1nei.A	b1796	60
P64559	1x6i.A	b2897	89
P64578	5ifg.A	b3083	100
P64638	1xn7.A	b3410	78
P65294	2jn0.A	b2833	50
P65556	2fkb.A	b2299	161
P65870	4ntk.A	b2765	121
P66817	2yva.A	b3149	193
P66899	4d9i.A	b2871	390
P67080	3sy1.A	b2951	229
P67095	1su1.A	b2300	184
P67430	4yze.A	b1649	193
P67603	1te7.A	b2900	103
P67701	5ifg.B	b3082	118
P67910	1eq2.A	b3619	273
P68183	3rlf.G	b4032	286
P68187	3rlf.A	b4035	371
P68206	1ryk.A	b4045	69
P68398	1z3a.A	b2559	156
P68661	3g27.A	b0549	81
P68679	4v9o.BU	b3065	93
P68688	1ego.A	b0849	85
P68699	1a91.A	b3737	79
P68767	1gyt.A	b4260	503
P68919	1b75.A	b2185	94
P69054	2wdq.C	b0721	121
P69222	1ah9.A	b0884	71
P69346	2a6q.A	b2017	86
P69348	2a6s.A	b4539	83
P69380	2qfi.A	b3915	286
P69441	6f7u.A	b0474	214
P69488	1naq.A	b4137	106
P69503	2dy0.A	b0469	182
P69506	5fnp.A	b4209	219
P69681	1xqf.A	b0451	362
P69739	5adu.S	b0972	263
P69783	4jbw.M	b2417	150
P69791	1wcr.A	b1736	103
P69795	1e2b.A	b1738	106
P69808	2kyr.A	b2387	108
P69824	2oq3.A	b2934	147
P69829	1a6j.A	b3204	150
P69853	3efp.A	b1591	204
P69856	2wjq.A	b4311	205
P69902	1pt7.A	b2374	415
P69908	1xey.A	b3517	448
P69910	2dgm.A	b1493	452
P69913	1y00.A	b2696	61
P69922	1fui.A	b2802	591
P69924	1mxr.A	b2235	339
P75677	2hjj.A	b0249	66
P75682	4oe7.A	b0268	298
P75691	1uuf.A	b0325	340
P75713	1rc6.A	b0515	242
P75736	3bf7.A	b0686	255
P75742	4q65.A	b0709	437
P75745	5dud.A	b0712	300
P75746	1xw8.A	b0713	230
P75791	2dbn.A	b0821	403
P75792	1rlm.A	b0822	269
P75797	1uqw.A	b0830	487
P75804	2g8s.A	b0837	348
P75811	5x5i.A	b0846	169
P75820	3d2y.A	b0867	257
P75823	3wlx.A	b0870	331
P75830	5nik.D	b0878	340
P75831	5nik.J	b0879	629
P75838	4q86.A	b0905	582
P75853	2x26.A	b0936	308
P75862	5e1l.A	b0946	173
P75864	3v97.A	b0948	669
P75876	3c0k.A	b0967	395
P75884	2in5.A	b0986	195
P75898	5wan.A	b1012	341
P75906	4f9d.A	b1023	592
P75914	1m65.A	b1034	234
P75931	1tlt.A	b1068	304
P75960	1s5p.A	b1120	225
P75966	2olw.A	b1135	179
P76002	4g9s.B	b1178	111
P76004	1nr9.A	b1180	211
P76008	5z01.A	b1192	305
P76010	5y6f.A	b1194	226
P76014	2btd.A	b1199	209
P76015	1oi2.A	b1200	336
P76045	2jqy.A	b1319	280
P76049	5xb6.A	b1327	306
P76077	3pvt.A	b1388	304
P76079	1otk.A	b1390	244
P76082	4fzw.A	b1393	254
P76083	3mog.A	b1395	470
P76084	1psu.A	b1396	131
P76116	3vgz.A	b1452	321
P76141	4l5j.A	b1512	308
P76143	3glc.A	b1517	276
P76156	2hh8.A	b1549	127
P76187	1ur3.M	b1647	298
P76194	1mzg.A	b1679	144
P76204	3tlq.A	b1707	236
P76215	1yw6.A	b1744	316
P76216	1ynf.A	b1745	429
P76256	1okj.A	b1807	220
P76270	1vhm.A	b1832	159
P76273	2frx.A	b1835	455
P76290	4iwn.A	b1870	229
P76291	4qnx.A	b1871	320
P76318	2icu.A	b1931	210
P76329	1xvi.A	b1955	232
P76341	2g2n.A	b1970	111
P76342	1xdy.A	b1971	263
P76344	5xm5.A	b1973	187
P76364	2h28.A	b2004	109
P76402	2k8e.A	b2080	116
P76407	2bon.A	b2086	287
P76458	1k6d.A	b2221	217
P76459	5dbn.B	b2222	213
P76461	5f38.A	b2224	375
P76469	2vws.A	b2245	256
P76483	1ryl.A	b2272	157
P76491	2paq.A	b2291	177
P76502	1ujc.A	b2340	156
P76518	4hl6.A	b2371	375
P76524	5cnx.A	b2385	360
P76536	5gt2.A	b2431	296
P76537	2qzb.A	b2432	145
P76539	4qus.A	b2434	140
P76541	3gfh.A	b2439	214
P76562	2zpa.A	b2474	658
P76575	2jne.A	b2510	71
P76584	3nre.A	b2544	291
P76621	1jr7.A	b2659	306
P76632	5h9f.B	b2759	153
P77044	1u2e.A	b0349	286
P77150	1td2.A	b1636	287
P77165	5g5g.A	b0286	175
P77182	3awi.A	b2324	628
P77188	5dfk.A	b0292	185
P77202	1v58.A	b0604	229
P77211	4k7r.A	b0572	429
P77213	1r8g.A	b0581	352
P77214	2vb2.X	b0573	76
P77215	2i5q.A	b2247	381
P77218	1vmi.A	b2458	329
P77239	3ne5.B	b0574	322
P77243	1szq.A	b0334	473
P77247	1te2.A	b1727	218
P77280	5vm2.A	b1774	347
P77295	3cuo.A	b2667	98
P77324	5g5g.B	b0285	316
P77335	1qoy.A	b1182	303
P77348	4toz.A	b1329	515
P77366	4g9b.A	b1317	227
P77368	1fux.A	b0545	165
P77395	3qou.A	b0492	282
P77398	4wkg.A	b2255	636
P77425	4pxd.A	b0516	411
P77432	5ya1.A	b1511	478
P77444	1jf9.A	b1680	405
P77454	1u60.A	b0485	309
P77467	4fzw.C	b1394	249
P77488	2o1s.A	b0420	536
P77493	3h49.A	b1772	307
P77499	2zu0.C	b1682	247
P77526	5hfk.A	b2302	207
P77541	1xg4.A	b0331	287
P77544	3bby.A	b2301	191
P77555	1xrh.A	b0517	343
P77581	4adb.A	b1748	400
P77608	2wqt.A	b0350	262
P77667	2d2a.A	b1684	114
P77671	3e74.A	b0512	429
P77674	1wnd.A	b1444	474
P77689	1vh4.A	b1681	410
P77712	1njk.A	b0443	133
P77731	1xsq.A	b0505	154
P77774	4xga.A	b2512	347
P77781	4k49.A	b1686	136
P77788	2rrk.A	b1759	140
P77791	1ocx.A	b0459	182
P77806	1u08.A	b0600	382
P78055	1l6w.A	b0825	220
P78067	2wlr.A	b1757	408
P78285	4zpu.A	b0555	165
P80644	4ptz.A	b0937	173
P80645	1nqk.A	b0935	345
Q2EES9	1z4h.A	b4501	66
Q46803	3q98.A	b2870	381
Q46822	1hzt.A	b2889	153
Q46829	2xhy.A	b2901	470
Q46845	3c8e.A	b2989	284
Q46851	3n6q.A	b3001	314
Q46856	4qgs.A	b3011	380
Q46857	1mzr.A	b3012	274
Q46864	2kz8.A	b3021	131
Q46865	3hi2.B	b3022	97
Q46877	4d02.A	b2710	399
Q46891	1k77.A	b2739	260
Q46893	1i52.A	b2747	225
Q46896	3nkd.A	b2755	262
Q46897	4dzd.A	b2756	193
Q46898	5h9f.J	b2757	219
Q46899	5h9f.D	b2758	318
Q46901	5h9f.A	b2760	481
Q46915	4il0.A	b2788	440
Q46919	2hgk.A	b2792	117
Q46925	4lw2.A	b2810	399
Q46927	4d79.A	b2812	243
Q46938	1xru.A	b2843	281
Q46948	5sy4.A	b0424	195
Q47149	4q2u.B	b0225	90
Q47150	4q2u.A	b0226	84
Q47152	4er8.A	b0228	165
Q47155	5yv2.A	b0231	342
Q47208	3dmy.A	b0518	447
Q47690	5dmm.A	b0261	289
Q57261	1szw.A	b2745	334
Q6BF16	2v82.A	b4477	206
Q93K97	1g0s.A	b3034	201
