uniprot	pdb	oln
P15005	6hz4.A	b4346
P15006	6hz4.M	b4345
P15032	3h4r.A	b1350
P15034	2v3z.A	b2908
P15042	5tt5.A	b2411
P15043	1oyy.A	b3822
P15047	2fwm.X	b0596
P15067	2wsk.A	b3431
P15640	1gso.A	b4005
P15723	6oi7.A	b0160
P15770	1nyt.A	b3281
P15977	4s3q.A	b3416
P16384	3foz.A	b4171
P16456	3u0o.A	b1764
P16525	2i06.A	b1610
P16528	2o99.A	b4018
P16684	2fa1.A	b4102
P16685	4xb6.A	b4101
P16686	2fsu.A	b4100
P16687	4xb6.C	b4099
P16688	4xb6.D	b4098
P16692	3g1p.A	b4092
P16703	2v03.A	b2421
P16869	6e4v.A	b1102
P17109	5ej8.A	b2264
P17117	1f5v.A	b0851
P17169	4amv.A	b3729
P17315	2hdi.A	b2155
P17443	1f0k.A	b0090
P17802	1kg2.A	b2961
P17846	6c3m.A	b2763
P17854	2o8v.A	b2762
P17888	6dcr.A	b3935
P17952	2f00.A	b0091
P17993	4kdc.A	b2232
P18393	5ja1.B	b4511
P18843	1wxi.A	b1740
P18956	2e0w.A	b3447
P19624	1ptm.A	b0052
P19636	5ysn.B	b2440
P19926	1nt4.A	b1002
P19931	2hfd.A	b0976
P19934	1tol.A	b0739
P20083	1s16.A	b3030
P20605	5jff.A	b3361
P21165	4qr8.A	b3847
P21170	3nzq.A	b2938
P21179	3ttv.A	b1732
P21189	3k59.A	b0060
P21338	2pqx.A	b0611
P21362	2gs4.A	b1258
P21367	1yac.A	b0897
P21507	2yjt.D	b2576
P21513	2vmk.A	b1084
P21514	4kie.A	b0315
P21517	5bn7.A	b0403
P21645	3eh0.A	b0179
P21865	4y2f.A	b0695
P21866	4kfc.A	b0694
P21888	1li5.A	b0526
P21889	1il2.A	b1866
P22106	1ct9.A	b0674
P22188	1e8c.A	b0085
P22256	1sff.A	b2662
P22259	6at4.A	b3403
P22523	6h2x.A	b0924
P22524	3euh.C	b0923
P22525	6ntw.A	b0925
P22634	2jfn.A	b3967
P22939	1rqj.A	b0421
P23003	3bt7.A	b3965
P23256	1d2f.A	b1622
P23367	1b62.A	b4170
P23522	1dxe.A	b3126
P23721	1bjn.A	b0907
P23827	1slu.A	b2209
P23836	2pl1.A	b1130
P23837	1id0.A	b1129
P23843	3tch.A	b1243
P23847	1dpe.A	b3544
P23857	2jtq.A	b1308
P23862	2rt6.A	b0467
P23865	5wql.C	b1830
P23869	2rs4.A	b0525
P23872	4krx.A	b0476
P23873	2wiu.B	b1508
P23874	3tpd.A	b1507
P23882	1fmt.A	b3288
P23890	3ly7.A	b4133
P23895	3b5d.A	b0543
P23909	6i5f.A	b2733
P23930	5n6h.A	b0657
P24171	1y79.1	b1538
P24173	2h1h.A	b3621
P24182	2w70.A	b3256
P24183	1kqf.A	b1474
P24186	1b0a.A	b0529
P24193	2i6r.A	b2730
P24197	2pw6.A	b3039
P24200	6ghc.A	b1159
P24203	1nij.A	b4352
P24215	4eac.A	b4322
P24216	5h5v.A	b1924
P24224	5xu7.A	b2563
P24228	2ex2.A	b3182
P24232	1gvh.A	b2552
P24242	3dbi.A	b2714
P24255	2mt3.A	b3202
P25397	2xvm.A	b1430
P25519	5ady.6	b4173
P25522	2gj8.A	b3706
P25524	3r0d.A	b0337
P25526	3jz4.A	b2661
P25535	4k22.A	b2906
P25536	4p0e.A	b3248
P25539	2obc.A	b0414
P25552	6pbz.A	b3779
P25553	2imp.A	b1415
P25714	4utq.A	b3705
P25740	2iw1.A	b3631
P25745	2der.A	b1133
P25746	1sdi.A	b1132
P26281	5etp.A	b0142
P26602	1tt8.A	b4039
P26616	6ags.A	b1479
P26646	1o89.A	b3253
P26648	2uxt.A	b3017
P26649	1rrz.A	b3049
P27111	2hxr.A	b0338
P27245	4jba.A	b1530
P27248	3a8k.A	b2905
P27254	2p67.A	b2918
P27296	6fwr.A	b0799
P27302	6rjc.A	b2935
P27305	1nzj.A	b0144
P27431	4lit.A	b1128
P27828	1f6d.A	b3786
P27830	1bxk.A	b3788
P27833	4zah.A	b3791
P27838	1soy.A	b3807
P27859	1xwy.A	b4483
P27862	1vi7.A	b3848
P27896	5jeq.A	b2469
P28224	2f09.A	b1639
P28248	1xs1.A	b2065
P28304	1qor.A	b4051
P28305	1i2k.A	b1096
P28306	2r1f.A	b1097
P28307	6g9g.B	b1042
P28629	2vyc.A	b4117
P28630	1jr3.D	b0640
P28631	1a5t.A	b1099
P28632	3sxu.B	b4372
P28635	4yah.X	b0197
P28861	1fdr.A	b3924
P28905	3sxu.A	b4259
P29131	1uta.A	b3933
P29208	1r6w.A	b2261
P29745	1vix.A	b1127
P30014	3v9w.A	b1652
P30125	1cm7.A	b0073
P30128	2p4v.A	b3406
P30130	3rfz.B	b4317
P30131	1gxt.A	b2712
P30138	1zud.1	b3992
P30176	2b3w.A	b0798
P30177	4muo.A	b0800
P30178	2g8y.A	b0801
P30748	1fm0.D	b0784
P30749	1fm0.E	b0785
P30750	3tui.C	b0199
P30850	2id0.A	b1286
P30870	3k7d.A	b3053
P30871	5a61.A	b3054
P30958	2eyq.A	b1114
P31057	1m3u.A	b0134
P31069	1id1.A	b1250
P31129	4h54.A	b1535
P31133	4jdf.A	b0854
P31142	1urh.A	b2521
P31224	4dx5.A	b0462
P31434	2f2h.A	b3656
P31442	2gfp.A	b3673
P31473	3nbx.X	b3746
P31545	2y4d.A	b1019
P31547	3tui.A	b0198
P31550	2qry.A	b0068
P31553	3hfx.A	b0040
P31554	4rhb.A	b0054
P31572	1xk7.A	b0038
P31658	1n57.A	b1967
P31663	1iho.A	b0133
P31677	1uqt.A	b1896
P31697	1bf8.A	b4316
P31808	3f1l.A	b1271
P31827	6ofr.A	b1495
P31828	6ofs.A	b1494
P31992	1gyx.A	b1461
P32055	1e6u.A	b2052
P32056	1rya.A	b2051
P32099	4tvy.A	b4386
P32125	1np6.A	b3856
P32131	1olt.A	b3867
P32132	4zcm.A	b3871
P32138	5aee.A	b3878
P32140	2rgk.A	b3880
P32156	1x8d.A	b3901
P32157	1o65.A	b3910
P32169	2v9l.A	b3902
P32170	1d8w.A	b3903
P32171	2cgl.A	b3904
P32173	1e5k.A	b3857
P32177	4pde.A	b3895
P32664	1vk6.A	b3996
P32676	4tn5.A	b3953
P32684	3dh3.A	b4022
P32717	4pdx.A	b4083
P32718	3htv.A	b4084
P32719	3ctl.A	b4085
P33012	1jyh.A	b2009
P33013	5fsr.A	b2010
P33022	1q8f.A	b2162
P33025	4gim.A	b2165
P33128	5ghu.A	b0140
P33136	1txk.A	b1048
P33219	2lqv.A	b1847
P33221	1eyz.A	b1849
P33224	3djl.A	b4187
P33354	2joe.A	b2123
P33362	4wep.A	b2131
P33368	6oz7.A	b2137
P33371	4bfa.A	b2140
P33590	5on8.A	b3476
P33643	1v9f.A	b2594
P33644	1z9t.A	b2593
P33650	3i8s.A	b3409
P33919	6jde.A	b2184
P33937	2nya.A	b2206
P34209	3ca8.A	b1414
P35340	4o5q.A	b0606
P36649	4e9s.A	b0123
P36655	1z5y.D	b4136
P36659	3ucs.C	b1000
P36673	4xxh.A	b4241
P36675	5h5u.3	b4550
P36680	5dko.A	b0102
P36683	1l5j.A	b0118
P36767	2owl.A	b0393
P36929	1sqg.A	b3289
P36937	6hra.D	b4513
P36979	3rfa.A	b2517
P36999	1p91.A	b1822
P37001	1mm4.A	b0622
P37019	6adb.A	b0155
P37024	6eud.A	b0148
P37025	4qak.A	b0147
P37028	5m29.A	b0158
P37095	6oad.A	b2523
P37128	3o6z.A	b2467
P37146	3n37.A	b2676
P37177	5t1o.B	b2829
P37182	1cfz.A	b2993
P37326	2kj8.A	b2349
P37329	4xxu.A	b0763
P37330	1y8b.A	b2976
P37344	5nss.F	b1303
P37351	2vvr.A	b4090
P37353	6nj0.A	b2260
P37355	4myd.A	b2263
P37387	3m9w.A	b3566
P37590	2jso.A	b2259
P37595	3c17.A	b0828
P37610	6edh.A	b0368
P37613	2k5t.A	b3459
P37617	1mwy.A	b3469
P37634	6qe0.A	b3499
P37639	3mkl.A	b3516
P37650	6tzk.A	b3530
P37651	3qxf.A	b3531
P37665	2k1s.A	b3552
P37671	1ysq.A	b3574
P37672	1nxu.A	b3575
P37690	4bh5.A	b3613
P37692	1psw.A	b3620
P37744	1h5r.A	b2039
P37747	1i8t.A	b2036
P37757	1qy9.A	b1464
P37758	4iu9.A	b1469
P37765	4lgt.A	b1269
P38038	1ddg.A	b2764
P38051	3bzm.A	b2265
P38054	4dnt.A	b0575
P38134	3cio.A	b0981
P38489	1icr.A	b0578
P38684	1zgz.A	b0995
P39099	4a8c.A	b3234
P39172	2prs.A	b1857
P39265	1gud.A	b4088
P39274	5i0c.A	b4127
P39286	2ykr.W	b4161
P39300	2wyl.A	b4192
P39301	4rp9.A	b4193
P39304	1q6o.A	b4196
P39315	2zcu.A	b4211
P39321	5vtg.A	b4221
P39325	2vk2.A	b4227
P39332	1pf5.A	b4248
P39333	5z2l.A	b4249
P39346	6dkh.A	b4267
P39353	6o15.A	b4280
P39367	1nkv.A	b4306
P39371	2uvk.A	b4310
P39375	6od1.B	b4326
P39377	1onw.A	b4328
P39406	2pjd.A	b4371
P39408	1zzm.A	b4378
P39411	1u5w.A	b4394
P39451	4gkv.A	b1478
P39453	3i9w.A	b0993
P39829	6u7l.A	b3128
P39830	3fwz.A	b0478
P39838	1sr2.A	b2216
P40191	2ddm.A	b2418
P40710	2z4i.A	b0192
P40711	4v95.AY	b0191
P40719	3jz3.A	b3026
P40874	2uzz.A	b1059
P41039	2kgo.A	b0803
P41052	1qus.A	b2701
P41407	2z98.A	b1412
P41409	1yoe.A	b0651
P41443	2knq.A	b3329
P42588	4uox.A	b3073
P42589	3ers.X	b3074
P42592	3d3i.A	b3080
P42593	1ps9.A	b3081
P42596	4dcm.A	b3084
P42620	4g0i.A	b3102
P42624	2vec.A	b3106
P42641	4csu.9	b3183
P42907	3c3j.A	b3136
P43341	5wly.A	b0524
P43671	5uvn.A	b0951
P43672	2lw1.A	b0949
P45395	2xhz.A	b3197
P45425	2aa4.A	b3222
P45464	2mhk.A	b3147
P45470	1oi4.A	b3153
P45523	1q6u.A	b3347
P45530	2d1p.C	b3343
P45531	2d1p.B	b3344
P45532	2d1p.A	b3345
P45545	4j8l.A	b3376
P45548	4lef.A	b3379
P45550	4kbx.A	b3381
P45563	1yqq.A	b2407
P45568	1q0q.A	b0173
P45577	5nbb.A	b1831
P45748	2mx1.A	b3282
P45758	5wq7.A	b3325
P45799	1vhz.A	b3397
P45800	4uzm.A	b3398
P45955	6g5s.A	b0742
P45956	4mak.A	b2754
P46122	2jwy.A	b0412
P46130	3grh.A	b0772
P46144	3gw7.A	b1962
P46849	3tut.A	b4475
P46852	1tq5.A	b3439
P46853	3f4l.A	b3440
P46859	1knq.A	b3437
P46883	6ezz.A	b1386
P46889	2ius.A	b0890
P50456	1z6r.A	b1594
P50465	1k3x.A	b0714
P51981	1jpd.X	b1325
P52007	1k4n.A	b1875
P52045	6n92.A	b2919
P52061	1k7k.A	b2954
P52086	6e4b.A	b0638
P52095	5fkz.E	b0186
P52097	1ni5.A	b0188
P52102	2zvs.A	b2562
P52129	4i8o.A	b2630
P52141	2jn7.A	b2645
P52643	5z1z.A	b1380
P52644	2kts.A	b1379
P52697	1ri6.A	b0767
P55135	1uwv.A	b2785
P55734	2moi.A	b2668
P56100	6rko.X	b4515
P60061	5j4i.A	b4115
P60240	4s20.K	b0059
P60293	3euh.A	b0922
P60340	1r3f.A	b3166
P60390	3tka.A	b0082
P60422	4v9o.AC	b3317
P60438	4ybb.CD	b3320
P60472	3sgv.A	b0174
P60546	1s96.A	b3648
P60624	4v9o.AU	b3309
P60723	4ybb.CE	b3319
P60752	3b5w.A	b0914
P60757	1h3d.A	b2019
P60785	3cb4.A	b2569
P60844	2o9g.A	b0875
P60906	1kmm.A	b2514
P60955	5azb.A	b2828
P61175	4ybb.CT	b3315
P61316	1iwl.A	b0891
P61320	1iwm.A	b1209
P61517	1i6p.A	b0126
P61887	1mc3.A	b3789
P61889	3hhp.A	b3236
P61949	2mok.A	b0684
P62395	2n62.L	b0097
P62399	4v9o.AF	b3308
P62615	2ww4.A	b1208
P62617	1gx1.A	b2746
P62623	3szu.A	b0029
P62707	1e58.A	b0755
P63177	1gz0.A	b4180
P63224	2i2w.A	b0222
P63228	2gmw.A	b0200
P63235	4djk.A	b1492
P63284	6oax.A	b2592
P63746	3i96.A	b2462
P63883	4bin.A	b2817
P64423	5n9y.A	b1342
P64467	2jqt.A	b1625
P64488	3bb6.A	b1797
P64496	1nei.A	b1796
P64559	1x6i.A	b2897
P64578	5ifg.A	b3083
P64638	1xn7.A	b3410
P65294	2jn0.A	b2833
P65556	2fkb.A	b2299
P65870	4ntk.A	b2765
P66817	2yva.A	b3149
P66899	4d9i.A	b2871
P66948	6ait.A	b2494
P67080	3sy1.A	b2951
P67087	5hw4.A	b3146
P67095	1su1.A	b2300
P67430	4yze.A	b1649
P67603	1te7.A	b2900
P67697	6hpc.A	b1438
P67701	6jq4.A	b3082
P67910	1eq2.A	b3619
P68066	6owr.A	b2579
P68183	3rlf.G	b4032
P68187	3rlf.A	b4035
P68206	1ryk.A	b4045
P68398	1z3a.A	b2559
P68661	3g27.A	b0549
P68679	4v9o.BU	b3065
P68688	1ego.A	b0849
P68699	1a91.A	b3737
P68767	1gyt.A	b4260
P68919	1b75.A	b2185
P69054	2wdq.C	b0721
P69222	1ah9.A	b0884
P69346	2a6q.A	b2017
P69348	2a6s.A	b4539
P69380	2qfi.A	b3915
P69411	2y1b.A	b0196
P69428	2mn6.A	b3836
P69434	4y25.A	b1024
P69441	6f7u.A	b0474
P69488	1naq.A	b4137
P69490	1sr3.A	b2197
P69503	2dy0.A	b0469
P69506	5fnp.A	b4209
P69681	1xqf.A	b0451
P69739	5adu.S	b0972
P69741	6g7m.S	b2997
P69776	2guv.A	b1677
P69783	4jbw.M	b2417
P69786	1o2f.B	b1101
P69791	1wcr.A	b1736
P69795	1e2b.A	b1738
P69797	2jzh.A	b1817
P69801	6k1h.B	b1818
P69805	6k1h.C	b1819
P69808	2kyr.A	b2387
P69824	2oq3.A	b2934
P69829	1a6j.A	b3204
P69853	3efp.A	b1591
P69856	2wjq.A	b4311
P69902	1pt7.A	b2374
P69908	1xey.A	b3517
P69910	2dgm.A	b1493
P69913	1y00.A	b2696
P69922	1fui.A	b2802
P69924	1mxr.A	b2235
P75677	2hjj.A	b0249
P75682	4oe7.A	b0268
P75691	1uuf.A	b0325
P75713	1rc6.A	b0515
P75736	3bf7.A	b0686
P75742	4q65.A	b0709
P75745	5dud.A	b0712
P75746	1xw8.A	b0713
P75780	6bpn.A	b0805
P75791	2dbn.A	b0821
P75792	1rlm.A	b0822
P75797	1uqw.A	b0830
P75804	2g8s.A	b0837
P75811	5x5i.A	b0846
P75820	3d2y.A	b0867
P75823	3wlx.A	b0870
P75830	5nik.D	b0878
P75831	5nik.J	b0879
P75838	4q86.A	b0905
P75853	2x26.A	b0936
P75862	5e1l.A	b0946
P75864	3v97.A	b0948
P75876	3c0k.A	b0967
P75884	2in5.A	b0986
P75898	5wan.A	b1012
P75906	4f9d.A	b1023
P75914	1m65.A	b1034
P75931	1tlt.A	b1068
P75960	1s5p.A	b1120
P75966	2olw.A	b1135
P75993	2oxl.A	b1166
P76002	4g9s.B	b1178
P76004	1nr9.A	b1180
P76008	5z01.A	b1192
P76010	5y6f.A	b1194
P76014	2btd.A	b1199
P76015	1oi2.A	b1200
P76016	4lrz.E	b1201
P76045	2jqy.A	b1319
P76049	5xb6.A	b1327
P76053	3qd7.X	b1340
P76077	3pvt.A	b1388
P76079	1otk.A	b1390
P76082	4fzw.A	b1393
P76083	3mog.A	b1395
P76084	1psu.A	b1396
P76106	6hpb.A	b4532
P76116	3vgz.A	b1452
P76129	4hu4.A	b1489
P76141	4l5j.A	b1512
P76143	3glc.A	b1517
P76156	2hh8.A	b1549
P76187	1ur3.M	b1647
P76194	1mzg.A	b1679
P76204	3tlq.A	b1707
P76215	1yw6.A	b1744
P76216	1ynf.A	b1745
P76256	1okj.A	b1807
P76268	1ysp.A	b1827
P76270	1vhm.A	b1832
P76273	2frx.A	b1835
P76290	4iwn.A	b1870
P76291	4qnx.A	b1871
P76318	2icu.A	b1931
P76329	1xvi.A	b1955
P76341	2g2n.A	b1970
P76342	1xdy.A	b1971
P76344	5xm5.A	b1973
P76364	2h28.A	b2004
P76387	3la6.A	b2060
P76402	2k8e.A	b2080
P76407	2bon.A	b2086
P76458	1k6d.A	b2221
P76459	5dbn.B	b2222
P76461	5f38.A	b2224
P76469	2vws.A	b2245
P76483	1ryl.A	b2272
P76491	2paq.A	b2291
P76502	1ujc.A	b2340
P76518	4hl6.A	b2371
P76524	5cnx.A	b2385
P76536	5gt2.A	b2431
P76537	2qzb.A	b2432
P76539	4qus.A	b2434
P76540	3i71.A	b2438
P76541	3gfh.A	b2439
P76562	2zpa.A	b2474
P76575	2jne.A	b2510
P76578	4rtd.A	b2520
P76584	3nre.A	b2544
P76621	6gpe.A	b2659
P76632	5h9f.B	b2759
P76641	6ohb.A	b2883
P77044	1u2e.A	b0349
P77150	1td2.A	b1636
P77165	5g5g.A	b0286
P77173	1f7w.A	b2412
P77182	3awi.A	b2324
P77188	5dfk.A	b0292
P77202	1v58.A	b0604
P77211	4k7r.A	b0572
P77213	1r8g.A	b0581
P77214	2vb2.X	b0573
P77215	2i5q.A	b2247
P77218	1vmi.A	b2458
P77239	3ne5.B	b0574
P77243	1szq.A	b0334
P77247	1te2.A	b1727
P77280	5vm2.A	b1774
P77295	3cuo.A	b2667
P77304	6gs4.A	b1634
P77324	5g5g.B	b0285
P77335	1qoy.A	b1182
P77348	4toz.A	b1329
P77366	4g9b.A	b1317
P77368	1fux.A	b0545
P77395	3qou.A	b0492
P77398	4wkg.A	b2255
P77425	4pxd.A	b0516
P77432	5ya1.A	b1511
P77444	6o11.A	b1680
P77454	1u60.A	b0485
P77455	6jql.A	b1387
P77467	4fzw.C	b1394
P77485	5ku5.A	b0570
P77488	2o1s.A	b0420
P77489	5g5g.C	b0284
P77493	3h49.A	b1772
P77499	2zu0.C	b1682
P77522	5awf.A	b1683
P77526	5hfk.A	b2302
P77541	1xg4.A	b0331
P77544	3bby.A	b2301
P77555	1xrh.A	b0517
P77581	4adb.A	b1748
P77588	6map.B	b1502
P77608	2wqt.A	b0350
P77667	2d2a.A	b1684
P77671	3e74.A	b0512
P77674	1wnd.A	b1444
P77689	1vh4.A	b1681
P77704	6ofu.A	b1773
P77712	1njk.A	b0443
P77731	1xsq.A	b0505
P77743	2pju.A	b0330
P77754	5wo2.A	b1743
P77774	4xga.A	b2512
P77781	4k49.A	b1686
P77788	2rrk.A	b1759
P77791	6ag8.A	b0459
P77806	1u08.A	b0600
P78055	1l6w.A	b0825
P78067	2wlr.A	b1757
P78285	4zpu.A	b0555
P80644	6dqo.A	b0937
P80645	1nqk.A	b0935
Q2EEQ2	6i7v.C5	b4506
Q2EES9	1z4h.A	b4501
Q46803	3q98.A	b2870
Q46822	1hzt.A	b2889
Q46829	2xhy.A	b2901
Q46845	3c8e.A	b2989
Q46851	3n6q.A	b3001
Q46856	4qgs.A	b3011
Q46857	1mzr.A	b3012
Q46864	2kz8.A	b3021
Q46865	3hi2.B	b3022
Q46877	4d02.A	b2710
Q46891	1k77.A	b2739
Q46893	1i52.A	b2747
Q46896	3nkd.A	b2755
Q46897	4dzd.A	b2756
Q46898	5h9f.J	b2757
Q46899	5h9f.D	b2758
Q46901	5h9f.A	b2760
Q46915	4il0.A	b2788
Q46919	2hgk.A	b2792
Q46925	4lw2.A	b2810
Q46927	4d79.A	b2812
Q46938	1xru.A	b2843
Q46948	5sy4.A	b0424
Q47083	2fyi.A	b1987
Q47149	4ml2.A	b0225
Q47150	4q2u.A	b0226
Q47152	4er8.A	b0228
Q47155	5yuy.A	b0231
Q47208	3dmy.A	b0518
Q47690	5dmm.A	b0261
Q57261	1szw.A	b2745
Q6BF16	2v82.A	b4477
Q6BF25	5lbj.A	b4453
Q93K97	1g0s.A	b3034
