#Proteome data from UniProt
#Taxonomy	9606-Homo sapiens
#Last modified	June 2019
P41439	ENST00000611028
P41440	ENST00000311124
P41567	ENST00000469257
P41586	ENST00000304166
P41587	ENST00000262178
P41594	ENST00000305432
P41595	ENST00000258400
P41597	ENST00000292301
P41732	ENST00000378482
P41743	ENST00000295797
P41968	ENST00000243911
P41970	ENST00000228741
P42025	ENST00000289228
P42081	ENST00000264468
P42126	ENST00000301729
P42127	ENST00000374954
P42166	ENST00000266732
P42167	ENST00000261210
P42224	ENST00000361099
P42226	ENST00000300134
P42229	ENST00000345506
P42261	ENST00000285900
P42262	ENST00000264426
P42263	ENST00000541091
P42285	ENST00000230640
P42330	ENST00000380554
P42331	ENST00000409030
P42336	ENST00000263967
P42338	ENST00000289153
P42345	ENST00000361445
P42356	ENST00000255882
P42357	ENST00000261208
P42566	ENST00000371733
P42568	ENST00000380338
P42574	ENST00000308394
P42575	ENST00000310447
P42658	ENST00000332007
P42677	ENST00000368567
P42679	ENST00000310132
P42680	ENST00000381501
P42681	ENST00000264316
P42684	ENST00000344730
P42685	ENST00000606080
P42694	ENST00000358691
P42695	ENST00000534548
P42696	ENST00000408888
P42701	ENST00000322153
P42702	ENST00000263409
P42704	ENST00000260665
P42765	ENST00000285093
P42766	ENST00000348462
P42768	ENST00000376701
P42771	ENST00000304494
P42772	ENST00000276925
P42773	ENST00000262662
P42785	ENST00000313010
P42830	ENST00000296027
P42857	ENST00000397958
P42858	ENST00000355072
P42892	ENST00000264205
P42898	ENST00000376583
P43003	ENST00000265113
P43004	ENST00000278379
P43005	ENST00000262352
P43007	ENST00000234256
P43026	ENST00000374369
P43034	ENST00000397195
P43080	ENST00000053469
P43088	ENST00000370756
P43115	ENST00000306666
P43116	ENST00000245457
P43119	ENST00000291294
P43146	ENST00000442544
P43155	ENST00000318080
P43166	ENST00000338437
P43220	ENST00000373256
P43234	ENST00000433477
P43235	ENST00000271651
P43243	ENST00000394805
P43246	ENST00000233146
P43250	ENST00000355472
P43251	ENST00000303498
P43268	ENST00000319349
P43304	ENST00000310454
P43307	ENST00000244763
P43308	ENST00000295702
P43320	ENST00000398215
P43351	ENST00000358495
P43353	ENST00000342456
P43354	ENST00000339562
P43355	ENST00000356661
P43356	ENST00000331220
P43357	ENST00000370278
P43358	ENST00000276344
P43360	ENST00000329342
P43361	ENST00000286482
P43362	ENST00000243314
P43363	ENST00000244096
P43364	ENST00000355220
P43365	ENST00000357916
P43366	ENST00000378981
P43378	ENST00000618819
P43403	ENST00000264972
P43405	ENST00000375746
P43487	ENST00000331821
P43489	ENST00000379236
P43490	ENST00000222553
P43626	ENST00000291633
P43627	ENST00000611724
P43628	ENST00000342376
P43629	ENST00000358178
P43630	ENST00000270442
P43631	ENST00000610441
P43632	ENST00000611311
P43652	ENST00000226355
P43657	ENST00000345941
P43681	ENST00000370263
P43686	ENST00000157812
P43694	ENST00000335135
P43699	ENST00000354822
P43897	ENST00000323833
P45378	ENST00000278317
P45379	ENST00000236918
P45381	ENST00000263080
P45452	ENST00000260302
P45844	ENST00000343687
P45877	ENST00000306442
P45880	ENST00000313132
P45954	ENST00000358776
P45973	ENST00000209875
P45974	ENST00000229268
P45983	ENST00000360332
P45984	ENST00000343111
P45985	ENST00000353533
P46013	ENST00000368653
P46019	ENST00000379942
P46020	ENST00000339490
P46059	ENST00000376503
P46060	ENST00000356244
P46063	ENST00000421138
P46087	ENST00000322166
P46089	ENST00000374024
P46091	ENST00000407325
P46092	ENST00000332438
P46093	ENST00000323040
P46094	ENST00000309285
P46095	ENST00000275169
P46098	ENST00000299961
P46100	ENST00000373344
P46108	ENST00000300574
P46109	ENST00000354336
P46199	ENST00000263629
P46379	ENST00000211379
P46439	ENST00000256593
P46459	ENST00000398238
P46527	ENST00000228872
P46531	ENST00000277541
P46597	ENST00000381229
P46663	ENST00000216629
P46695	ENST00000259874
P46721	ENST00000307378
P46734	ENST00000316920
P46736	ENST00000330045
P46776	ENST00000314138
P46777	ENST00000370321
P46778	ENST00000272274
P46779	ENST00000344063
P46781	ENST00000302907
P46782	ENST00000196551
P46783	ENST00000326199
P46821	ENST00000296755
P46926	ENST00000311337
P46934	ENST00000338963
P46937	ENST00000282441
P46939	ENST00000367545
P46940	ENST00000268182
P46952	ENST00000294973
P46976	ENST00000296048
P46977	ENST00000392708
P47211	ENST00000299727
P47224	ENST00000367262
P47710	ENST00000246891
P47712	ENST00000367466
P47736	ENST00000374765
P47755	ENST00000361183
P47756	ENST00000264202
P47775	ENST00000381436
P47804	ENST00000358110
P47813	ENST00000379607
P47869	ENST00000356504
P47870	ENST00000274547
P47871	ENST00000400723
P47872	ENST00000019103
P47874	ENST00000529803
P47881	ENST00000323404
P47887	ENST00000248384
P47888	ENST00000291231
P47890	ENST00000328890
P47893	ENST00000408891
P47895	ENST00000329841
P47897	ENST00000306125
P47898	ENST00000287907
P47900	ENST00000305097
P47901	ENST00000367126
P47902	ENST00000231656
P47914	ENST00000294189
P47928	ENST00000378700
P47929	ENST00000314980
P47944	ENST00000219162
P47972	ENST00000265634
P47974	ENST00000282388
P47985	ENST00000304863
P47989	ENST00000379416
P47992	ENST00000367818
P48023	ENST00000340030
P48029	ENST00000253122
P48039	ENST00000307161
P48047	ENST00000290299
P48048	ENST00000324036
P48050	ENST00000303592
P48051	ENST00000609713
P48052	ENST00000222481
P48058	ENST00000282499
P48059	ENST00000332345
P48060	ENST00000266659
P48061	ENST00000343575
P48065	ENST00000359674
P48066	ENST00000254488
P48067	ENST00000357730
P48145	ENST00000331251
P48146	ENST00000369768
P48147	ENST00000652536
P48163	ENST00000369705
P48165	ENST00000369235
P48167	ENST00000264428
P48169	ENST00000264318
P48200	ENST00000258886
P48201	ENST00000284727
P48230	ENST00000305354
P48304	ENST00000305089
P48307	ENST00000222543
P48357	ENST00000344610
P48378	ENST00000303657
P48380	ENST00000302303
P48382	ENST00000290524
P48426	ENST00000376573
P48431	ENST00000325404
P48436	ENST00000245479
P48443	ENST00000359842
P48444	ENST00000264028
P48448	ENST00000349015
P48449	ENST00000356396
P48454	ENST00000240139
P48506	ENST00000229416
P48507	ENST00000370238
P48509	ENST00000322008
P48539	ENST00000328619
P48544	ENST00000338350
P48546	ENST00000263281
P48547	ENST00000265969
P48549	ENST00000295101
P48551	ENST00000342101
P48552	ENST00000318948
P48553	ENST00000291574
P48556	ENST00000215071
P48594	ENST00000341074
P48595	ENST00000238508
P48634	ENST00000376007
P48637	ENST00000216951
P48643	ENST00000280326
P48645	ENST00000264218
P48651	ENST00000517309
P48664	ENST00000221742
P48668	ENST00000252250
P48681	ENST00000368223
P48723	ENST00000285667
P48728	ENST00000273588
P48729	ENST00000261798
P48730	ENST00000314028
P48735	ENST00000330062
P48736	ENST00000359195
P48739	ENST00000320996
P48740	ENST00000169293
P48742	ENST00000614239
P48745	ENST00000259526
P48751	ENST00000273063
P48764	ENST00000264938
P48775	ENST00000536354
P48788	ENST00000252898
P48960	ENST00000242786
P48995	ENST00000273482
P49005	ENST00000406581
P49006	ENST00000329421
P49019	ENST00000528880
P49023	ENST00000228307
P49069	ENST00000297156
P49116	ENST00000323373
P49137	ENST00000294981
P49146	ENST00000329476
P49184	ENST00000014935
P49189	ENST00000354775
P49190	ENST00000272847
P49207	ENST00000394665
P49221	ENST00000296125
P49223	ENST00000217428
P49238	ENST00000358309
P49247	ENST00000283646
P49257	ENST00000251047
P49279	ENST00000233202
P49281	ENST00000262051
P49286	ENST00000257068
P49321	ENST00000350030
P49326	ENST00000254090
P49327	ENST00000306749
P49335	ENST00000373200
P49336	ENST00000381527
P49354	ENST00000302279
P49356	ENST00000246166
P49366	ENST00000210060
P49368	ENST00000295688
P49406	ENST00000393909
P49407	ENST00000360025
P49411	ENST00000313511
P49418	ENST00000325590
P49419	ENST00000409134
P49427	ENST00000215574
P49441	ENST00000322522
P49447	ENST00000360793
P49448	ENST00000328078
P49450	ENST00000233505
P49454	ENST00000366955
P49458	ENST00000304786
P49459	ENST00000371558
P49585	ENST00000292823
P49588	ENST00000261772
P49589	ENST00000278224
P49590	ENST00000230771
P49591	ENST00000234677
P49593	ENST00000263212
P49619	ENST00000265022
P49638	ENST00000260116
P49639	ENST00000343060
P49640	ENST00000496902
P49641	ENST00000360468
P49642	ENST00000338193
P49643	ENST00000274891
P49662	ENST00000393150
P49674	ENST00000359867
P49675	ENST00000276449
P49682	ENST00000373691
P49683	ENST00000239032
P49685	ENST00000284311
P49703	ENST00000320033
P49711	ENST00000264010
P49715	ENST00000498907
P49716	ENST00000408965
P49720	ENST00000619426
P49721	ENST00000373237
P49736	ENST00000265056
P49746	ENST00000368378
P49747	ENST00000222271
P49748	ENST00000350303
P49750	ENST00000325680
P49753	ENST00000238651
P49754	ENST00000310301
P49755	ENST00000303575
P49756	ENST00000261973
P49757	ENST00000355058
P49758	ENST00000355512
P49759	ENST00000321356
P49760	ENST00000361168
P49761	ENST00000345005
P49763	ENST00000405431
P49765	ENST00000309422
P49767	ENST00000618562
P49768	ENST00000324501
P49770	ENST00000266126
P49771	ENST00000204637
P49773	ENST00000304043
P49788	ENST00000237696
P49789	ENST00000468189
P49790	ENST00000262077
P49792	ENST00000283195
P49795	ENST00000332298
P49796	ENST00000317613
P49798	ENST00000367906
P49802	ENST00000348120
P49810	ENST00000366783
P49815	ENST00000219476
P49821	ENST00000322776
P49840	ENST00000222330
P49841	ENST00000264235
P49842	ENST00000375331
P49848	ENST00000344095
P49862	ENST00000391807
P49863	ENST00000231009
P49888	ENST00000226444
P49895	ENST00000322679
P49901	ENST00000368765
P49902	ENST00000343289
P49903	ENST00000327347
P49908	ENST00000506577
P49910	ENST00000377325
P49913	ENST00000652295
P49914	ENST00000258874
P49915	ENST00000295920
P49916	ENST00000262327
P49917	ENST00000356922
P49918	ENST00000414822
P49959	ENST00000323929
P49961	ENST00000371205
P50052	ENST00000371906
P50053	ENST00000260598
P50120	ENST00000232217
P50135	ENST00000280096
P50148	ENST00000286548
P50150	ENST00000366597
P50151	ENST00000374293
P50213	ENST00000299518
P50219	ENST00000252971
P50221	ENST00000318579
P50222	ENST00000262041
P50225	ENST00000314752
P50226	ENST00000335715
P50238	ENST00000330233
P50281	ENST00000311852
P50336	ENST00000352210
P50391	ENST00000374312
P50395	ENST00000380181
P50402	ENST00000369842
P50406	ENST00000289753
P50416	ENST00000265641
P50440	ENST00000396659
P50443	ENST00000286298
P50452	ENST00000353706
P50453	ENST00000380698
P50454	ENST00000358171
P50458	ENST00000373615
P50461	ENST00000265968
P50479	ENST00000253754
P50502	ENST00000216218
P50539	ENST00000239007
P50542	ENST00000266563
P50548	ENST00000222329
P50549	ENST00000242066
P50552	ENST00000245932
P50553	ENST00000266744
P50570	ENST00000355667
P50579	ENST00000261220
P50583	ENST00000346365
P50591	ENST00000241261
P50607	ENST00000299506
P50613	ENST00000256443
P50616	ENST00000268957
P50747	ENST00000336648
P50748	ENST00000333479
P50749	ENST00000379376
P50750	ENST00000373264
P50851	ENST00000357115
P50876	ENST00000320892
P50895	ENST00000270233
P50897	ENST00000449045
P50914	ENST00000338970
P50990	ENST00000286788
P50991	ENST00000394440
P50993	ENST00000361216
P50995	ENST00000265447
P51003	ENST00000216277
P51114	ENST00000305586
P51116	ENST00000250113
P51124	ENST00000264553
P51148	ENST00000346213
P51149	ENST00000265062
P51151	ENST00000464506
P51153	ENST00000368575
P51157	ENST00000288723
P51159	ENST00000336787
P51160	ENST00000371447
P51161	ENST00000393980
P51164	ENST00000335288
P51168	ENST00000307331
P51170	ENST00000300061
P51172	ENST00000325425
P51178	ENST00000334661
P51397	ENST00000230895
P51398	ENST00000343043
P51449	ENST00000318247
P51451	ENST00000259089
P51452	ENST00000226004
P51460	ENST00000317306
P51504	ENST00000308095
P51508	ENST00000338637
P51511	ENST00000219271
P51512	ENST00000286614
P51513	ENST00000344429
P51522	ENST00000301096
P51523	ENST00000327668
P51530	ENST00000358410
P51531	ENST00000349721
P51532	ENST00000344626
P51553	ENST00000217901
P51570	ENST00000225614
P51571	ENST00000320857
P51572	ENST00000345046
P51575	ENST00000225538
P51580	ENST00000309983
P51582	ENST00000374519
P51587	ENST00000380152
P51589	ENST00000371204
P51606	ENST00000393700
P51608	ENST00000303391
P51610	ENST00000310441
P51617	ENST00000369974
P51636	ENST00000222693
P51648	ENST00000176643
P51649	ENST00000348925
P51654	ENST00000370818
P51659	ENST00000256216
P51665	ENST00000219313
P51668	ENST00000373910
P51671	ENST00000305869
P51674	ENST00000280187
P51677	ENST00000357422
P51679	ENST00000330953
P51681	ENST00000292303
P51684	ENST00000341935
P51685	ENST00000326306
P51686	ENST00000355983
P51687	ENST00000266971
P51688	ENST00000326317
P51689	ENST00000381154
P51690	ENST00000381134
P51692	ENST00000293328
P51693	ENST00000221891
P51784	ENST00000218348
P51786	ENST00000377073
P51787	ENST00000155840
P51788	ENST00000265593
P51790	ENST00000347613
P51793	ENST00000380833
P51795	ENST00000307367
P51797	ENST00000312413
P51798	ENST00000382745
P51800	ENST00000331433
P51801	ENST00000375667
P51805	ENST00000369682
P51808	ENST00000378578
P51809	ENST00000262640
P51810	ENST00000467482
P51811	ENST00000378616
P51812	ENST00000379565
P51813	ENST00000342014
P51814	ENST00000313116
P51815	ENST00000370764
P51816	ENST00000286437
P51817	ENST00000262848
P51825	ENST00000307808
P51826	ENST00000317233
P51828	ENST00000254235
P51841	ENST00000218006
P51843	ENST00000378970
P51854	ENST00000369912
P51857	ENST00000242375
P51858	ENST00000357325
P51861	ENST00000370532
P51878	ENST00000260315
P51884	ENST00000266718
P51888	ENST00000343110
P51911	ENST00000252456
P51946	ENST00000256897
P51948	ENST00000261245
P51955	ENST00000366998
P51956	ENST00000610828
P51957	ENST00000233027
P51959	ENST00000340828
P51965	ENST00000306627
P51970	ENST00000373768
P51991	ENST00000392524
P51993	ENST00000286955
P52179	ENST00000261606
P52198	ENST00000587250
P52209	ENST00000270776
P52272	ENST00000325495
P52292	ENST00000330459
P52294	ENST00000344337
P52298	ENST00000321256
P52306	ENST00000264572
P52333	ENST00000458235
P52429	ENST00000284061
P52434	ENST00000429568
P52435	ENST00000292614
P52564	ENST00000589647
P52565	ENST00000269321
P52566	ENST00000228945
P52569	ENST00000004531
P52594	ENST00000310078
P52597	ENST00000337970
P52630	ENST00000314128
P52655	ENST00000434192
P52657	ENST00000396060
P52701	ENST00000234420
P52732	ENST00000260731
P52735	ENST00000371850
P52736	ENST00000316358
P52737	ENST00000343979
P52738	ENST00000355557
P52739	ENST00000306938
P52740	ENST00000254166
P52741	ENST00000396161
P52742	ENST00000313434
P52744	ENST00000440155
P52746	ENST00000411696
P52747	ENST00000396597
P52756	ENST00000347869
P52757	ENST00000222792
P52758	ENST00000254878
P52788	ENST00000379404
P52789	ENST00000290573
P52790	ENST00000292432
P52797	ENST00000368408
P52798	ENST00000359751
P52799	ENST00000245323
P52803	ENST00000333274
P52815	ENST00000333676
P52823	ENST00000290271
P52824	ENST00000273814
P52848	ENST00000261797
P52849	ENST00000299641
P52888	ENST00000307741
P52895	ENST00000380753
P52907	ENST00000263168
P52926	ENST00000354636
P52943	ENST00000329146
P52945	ENST00000381033
P52948	ENST00000324932
P52951	ENST00000306318
P52952	ENST00000329198
P52954	ENST00000370193
P52961	ENST00000250693
P53004	ENST00000265523
P53007	ENST00000215882
P53041	ENST00000012443
P53350	ENST00000300093
P53355	ENST00000358077
P53365	ENST00000254584
P53367	ENST00000353617
P53370	ENST00000304430
P53384	ENST00000283027
P53396	ENST00000352035
P53420	ENST00000396625
P53539	ENST00000353609
P53567	ENST00000284000
P53582	ENST00000296411
P53597	ENST00000393868
P53602	ENST00000301012
P53609	ENST00000379615
P53611	ENST00000319942
P53618	ENST00000249923
P53621	ENST00000241704
P53634	ENST00000227266
P53667	ENST00000336180
P53671	ENST00000331728
P53672	ENST00000295728
P53673	ENST00000354760
P53674	ENST00000647684
P53675	ENST00000427926
P53677	ENST00000174653
P53680	ENST00000263270
P53701	ENST00000321143
P53708	ENST00000378076
P53778	ENST00000215659
P53779	ENST00000395157
P53794	ENST00000381151
P53801	ENST00000330938
P53803	ENST00000353107
P53804	ENST00000354749
P53805	ENST00000313806
P53814	ENST00000333137
P53816	ENST00000323646
P53985	ENST00000369626
P53990	ENST00000329908
P53992	ENST00000339365
P53999	ENST00000265073
P54098	ENST00000268124
P54105	ENST00000525428
P54107	ENST00000329411
P54108	ENST00000263045
P54132	ENST00000355112
P54136	ENST00000231572
P54198	ENST00000263208
P54219	ENST00000265808
P54252	ENST00000340660
P54253	ENST00000244769
P54257	ENST00000310778
P54259	ENST00000356654
P54274	ENST00000276602
P54277	ENST00000409593
P54278	ENST00000265849
P54284	ENST00000301050
P54289	ENST00000356253
P54296	ENST00000262113
P54315	ENST00000358834
P54317	ENST00000591655
P54368	ENST00000602676
P54577	ENST00000373477
P54578	ENST00000261601
P54619	ENST00000316299
P54646	ENST00000371244
P54652	ENST00000247207
P54687	ENST00000261192
P54707	ENST00000218548
P54709	ENST00000286371
P54710	ENST00000260287
P54725	ENST00000316856
P54727	ENST00000358015
P54750	ENST00000351439
P54753	ENST00000330394
P54756	ENST00000273854
P54760	ENST00000358173
P54762	ENST00000398015
P54764	ENST00000281821
P54793	ENST00000359361
P54802	ENST00000225927
P54803	ENST00000261304
P54819	ENST00000354858
P54821	ENST00000239461
P54826	ENST00000298743
P54829	ENST00000358540
P54840	ENST00000261195
P54845	ENST00000396995
P54849	ENST00000256951
P54851	ENST00000359543
P54852	ENST00000270221
P54855	ENST00000338206
P54868	ENST00000369406
P54886	ENST00000371221
P54920	ENST00000263354
P54922	ENST00000357003
P55000	ENST00000246515
P55001	ENST00000375534
P55008	ENST00000376049
P55010	ENST00000216554
P55011	ENST00000262461
P55017	ENST00000438926
P55036	ENST00000368884
P55039	ENST00000225729
P55040	ENST00000297596
P55042	ENST00000299759
P55056	ENST00000592954
P55058	ENST00000354050
P55060	ENST00000262982
P55061	ENST00000267115
P55064	ENST00000293599
P55072	ENST00000358901
P55073	ENST00000510508
P55075	ENST00000320185
P55081	ENST00000267812
P55082	ENST00000322602
P55083	ENST00000299610
P55084	ENST00000317799
P55085	ENST00000296677
P55087	ENST00000383168
P55089	ENST00000296099
P55103	ENST00000309668
P55107	ENST00000580279
P55145	ENST00000627526
P55157	ENST00000265517
P55160	ENST00000293373
P55196	ENST00000392108
P55197	ENST00000307729
P55198	ENST00000618876
P55199	ENST00000262809
P55201	ENST00000383829
P55209	ENST00000261182
P55210	ENST00000345633
P55211	ENST00000333868
P55212	ENST00000265164
P55259	ENST00000302555
P55263	ENST00000286621
P55265	ENST00000368471
P55268	ENST00000305544
P55273	ENST00000335766
P55283	ENST00000543233
P55285	ENST00000265071
P55286	ENST00000577390
P55287	ENST00000268603
P55289	ENST00000382254
P55290	ENST00000268613
P55291	ENST00000289746
P55316	ENST00000313071
P55317	ENST00000250448
P55318	ENST00000302177
P55327	ENST00000379096
P55344	ENST00000221973
P55345	ENST00000291705
P55347	ENST00000291547
P55735	ENST00000337354
P55769	ENST00000215956
P55771	ENST00000361487
P55773	ENST00000610342
P55774	ENST00000614828
P55786	ENST00000322157
P55789	ENST00000248114
P55795	ENST00000316594
P55808	ENST00000381174
P55809	ENST00000196371
P55822	ENST00000333634
P55851	ENST00000310473
P55854	ENST00000332859
P55884	ENST00000360876
P55895	ENST00000311485
P55899	ENST00000221466
P55916	ENST00000314032
P55957	ENST00000317361
P56134	ENST00000292475
P56159	ENST00000355422
P56177	ENST00000341900
P56178	ENST00000486603
P56179	ENST00000518156
P56180	ENST00000427445
P56181	ENST00000340344
P56182	ENST00000497547
P56192	ENST00000262027
P56199	ENST00000282588
P56202	ENST00000307886
P56211	ENST00000249822
P56270	ENST00000219782
P56277	ENST00000369479
P56278	ENST00000362018
P56282	ENST00000216367
P56373	ENST00000263314
P56377	ENST00000329235
P56378	ENST00000286953
P56381	ENST00000243997
P56385	ENST00000304312
P56470	ENST00000307751
P56524	ENST00000345617
P56537	ENST00000374436
P56539	ENST00000343849
P56545	ENST00000309035
P56556	ENST00000498737
P56557	ENST00000420455
P56559	ENST00000339728
P56589	ENST00000367591
P56597	ENST00000265191
P56645	ENST00000361923
P56693	ENST00000360880
P56696	ENST00000347132
P56703	ENST00000225512
P56704	ENST00000284523
P56705	ENST00000290167
P56706	ENST00000339464
P56715	ENST00000220676
P56730	ENST00000296498
P56746	ENST00000308344
P56747	ENST00000328796
P56748	ENST00000399899
P56749	ENST00000287916
P56750	ENST00000286808
P56817	ENST00000313005
P56851	ENST00000326783
P56856	ENST00000183605
P56880	ENST00000367165
P56915	ENST00000238558
P56937	ENST00000254521
P56945	ENST00000162330
P56962	ENST00000259400
P56975	ENST00000372141
P57052	ENST00000400577
P57053	ENST00000599962
P57054	ENST00000360525
P57055	ENST00000329553
P57057	ENST00000352133
P57058	ENST00000270112
P57059	ENST00000270162
P57060	ENST00000493196
P57071	ENST00000269844
P57073	ENST00000293894
P57075	ENST00000291535
P57076	ENST00000290155
P57077	ENST00000286791
P57078	ENST00000332512
P57081	ENST00000330317
P57082	ENST00000240335
P57086	ENST00000305978
P57087	ENST00000312957
P57088	ENST00000325094
P57103	ENST00000216568
P57105	ENST00000256366
P57678	ENST00000319004
P57679	ENST00000264956
P57682	ENST00000261438
P57721	ENST00000400308
P57723	ENST00000322099
P57727	ENST00000291532
P57729	ENST00000243662
P57730	ENST00000530950
P57735	ENST00000361084
P57737	ENST00000251166
P57738	ENST00000273590
P57739	ENST00000336803
P57740	ENST00000229179
P57764	ENST00000262580
P57768	ENST00000345957
P57771	ENST00000258302
P57772	ENST00000254730
P57773	ENST00000357771
P57775	ENST00000331272
P57789	ENST00000312350
P57796	ENST00000325656
P58004	ENST00000253063
P58005	ENST00000278499
P58012	ENST00000648323
P58062	ENST00000274565
P58107	ENST00000615648
P58166	ENST00000266646
P58170	ENST00000575751
P58173	ENST00000244623
P58180	ENST00000545221
P58181	ENST00000360759
P58182	ENST00000377140
P58215	ENST00000264094
P58294	ENST00000271331
P58304	ENST00000261980
P58317	ENST00000320451
P58335	ENST00000307333
P58340	ENST00000355893
P58397	ENST00000352040
P58400	ENST00000342183
P58401	ENST00000301894
P58417	ENST00000405863
P58418	ENST00000295911
P58499	ENST00000357985
P58505	ENST00000291691
P58511	ENST00000399292
P58546	ENST00000393085
P58549	ENST00000270310
P58557	ENST00000329319
P58658	ENST00000300255
P58743	ENST00000306312
P58753	ENST00000392678
P58872	ENST00000269051
P58876	ENST00000289316
P59025	ENST00000312295
P59044	ENST00000312165
P59045	ENST00000589093
P59046	ENST00000324134
P59047	ENST00000390649
P59095	ENST00000307844
P59103	ENST00000329625
P59190	ENST00000267512
P59282	ENST00000321760
P59510	ENST00000389420
P59533	ENST00000547270
P59534	ENST00000446620
P59535	ENST00000408947
P59536	ENST00000408916
P59537	ENST00000531678
P59538	ENST00000390675
P59540	ENST00000533467
P59541	ENST00000539585
P59542	ENST00000390673
P59543	ENST00000538986
P59544	ENST00000506868
P59551	ENST00000332690
P59646	ENST00000476166
P59665	ENST00000382679
P59666	ENST00000327857
P59768	ENST00000335281
P59773	ENST00000564719
P59780	ENST00000336418
P59796	ENST00000361902
P59797	ENST00000335426
P59817	ENST00000302097
P59826	ENST00000375494
P59827	ENST00000375483
P59861	ENST00000334879
P59901	ENST00000291759
P59910	ENST00000339764
P59923	ENST00000396077
P59942	ENST00000376191
P59990	ENST00000391617
P59991	ENST00000360770
P59998	ENST00000397261
P60002	ENST00000252445
P60006	ENST00000227618
P60014	ENST00000380095
P60022	ENST00000297439
P60033	ENST00000263645
P60059	ENST00000352861
P60153	ENST00000338904
P60174	ENST00000229270
P60201	ENST00000612423
P60228	ENST00000220849
P60321	ENST00000341294
P60323	ENST00000339133
P60328	ENST00000397907
P60329	ENST00000391618
P60331	ENST00000400375
P60368	ENST00000391621
P60369	ENST00000391620
P60370	ENST00000400372
P60371	ENST00000400368
P60372	ENST00000400374
P60409	ENST00000609664
P60410	ENST00000334662
P60411	ENST00000397911
P60412	ENST00000334670
P60413	ENST00000400365
P60468	ENST00000223641
P60484	ENST00000371953
P60508	ENST00000472091
P60510	ENST00000279387
P60520	ENST00000037243
P60568	ENST00000226730
P60602	ENST00000336695
P60604	ENST00000330942
P60606	ENST00000318978
P60660	ENST00000547649
P60673	ENST00000358571
P60709	ENST00000331789
P60827	ENST00000328449
P60842	ENST00000293831
P60852	ENST00000278853
P60866	ENST00000009589
P60880	ENST00000254976
P60891	ENST00000372435
P60893	ENST00000297146
P60896	ENST00000248566
P60900	ENST00000261479
P60903	ENST00000368809
P60953	ENST00000315554
P60981	ENST00000246069
P60983	ENST00000358056
P60985	ENST00000338897
P61006	ENST00000300935
P61009	ENST00000503362
P61011	ENST00000216774
P61018	ENST00000357052
P61019	ENST00000262646
P61020	ENST00000360299
P61024	ENST00000308987
P61026	ENST00000264710
P61073	ENST00000241393
P61077	ENST00000321805
P61081	ENST00000253023
P61086	ENST00000261427
P61088	ENST00000318066
P61106	ENST00000373840
P61129	ENST00000343936
P61158	ENST00000263238
P61160	ENST00000260641
P61163	ENST00000369905
P61165	ENST00000257262
P61201	ENST00000299259
P61204	ENST00000256682
P61218	ENST00000442738
P61221	ENST00000296577
P61224	ENST00000250559
P61225	ENST00000323534
P61236	ENST00000398838
P61244	ENST00000246163
P61247	ENST00000274065
P61254	ENST00000293842
P61266	ENST00000215095
P61278	ENST00000287641
P61289	ENST00000293362
P61296	ENST00000359562
P61313	ENST00000307839
P61326	ENST00000371466
P61328	ENST00000445105
P61353	ENST00000253788
P61366	ENST00000339051
P61371	ENST00000230658
P61421	ENST00000290949
P61457	ENST00000299299
P61513	ENST00000491306
P61586	ENST00000418115
P61587	ENST00000263895
P61599	ENST00000310450
P61601	ENST00000220931
P61604	ENST00000233893
P61619	ENST00000243253
P61626	ENST00000261267
P61647	ENST00000377602
P61758	ENST00000286428
P61764	ENST00000373299
P61769	ENST00000558401
P61803	ENST00000250498
P61812	ENST00000366929
P61916	ENST00000541064
P61923	ENST00000262061
P61925	ENST00000352966
P61927	ENST00000274242
P61952	ENST00000248564
P61956	ENST00000314523
P61960	ENST00000239878
P61962	ENST00000415273
P61964	ENST00000358625
P61966	ENST00000337619
P61968	ENST00000370542
P61970	ENST00000219169
P61978	ENST00000351839
P61981	ENST00000307630
P62068	ENST00000441222
P62070	ENST00000256196
P62072	ENST00000257245
P62079	ENST00000305798
P62081	ENST00000304921
P62136	ENST00000312989
P62140	ENST00000296122
P62166	ENST00000372398
P62191	ENST00000261303
P62195	ENST00000310144
P62241	ENST00000396651
P62244	ENST00000322989
P62249	ENST00000251453
P62253	ENST00000396981
P62256	ENST00000355621
P62258	ENST00000264335
P62263	ENST00000312037
P62266	ENST00000296674
P62269	ENST00000211372
P62273	ENST00000245458
P62277	ENST00000525634
P62280	ENST00000270625
P62304	ENST00000414487
P62306	ENST00000266735
P62308	ENST00000272348
P62310	ENST00000306024
P62312	ENST00000296581
P62314	ENST00000300413
P62316	ENST00000342669
P62318	ENST00000215829
P62324	ENST00000256015
P62328	ENST00000380633
P62330	ENST00000298316
P62333	ENST00000445930
P62341	ENST00000471696
P62380	ENST00000237264
P62424	ENST00000323345
P62487	ENST00000301788
P62491	ENST00000261890
P62495	ENST00000360541
P62502	ENST00000341206
P62508	ENST00000359162
P62633	ENST00000422453
P62699	ENST00000261353
P62701	ENST00000316084
P62714	ENST00000221138
P62736	ENST00000224784
P62745	ENST00000272233
P62750	ENST00000422514
P62753	ENST00000380394
P62760	ENST00000295156
P62805	ENST00000244537
P62807	ENST00000314332
P62820	ENST00000398529
P62826	ENST00000392369
P62829	ENST00000394332
P62834	ENST00000356415
P62837	ENST00000398733
P62841	ENST00000592588
