#Table S3. Evolutionary rates based on five methods of heuristic counting and maximum-likelihood approaches
#Note: See online supplementary information for the details.
#1. NG: Nei, M. and Gojobori, T. (1986)
#2. LWL: Li, W.H., et al. (1985)
#3. LPB: Li, W.H. (1993) and Pamilo, P. and Bianchi, N.O. (1993)
#4. MLWL (Modified LWL): Tzeng, Y.H., et al. (2004)
#5. MLPB (Modified LPB): Tzeng, Y.H., et al. (2004)
#6. YN: Yang, Z. and Nielsen, R. (2000)
#7. MYN (Modified YN): Zhang, Z., et al. (2006)
gene	ecoli	salmonella	dN_NG	dS_NG	dNdS_NG	dN_LWL	dS_LWL	dNdS_LWL	dN_MLWL	dS_MLWL	dNdS_MLWL	dN_LPB	dS_LPB	dNdS_LPB	dN_MLPB	dS_MLPB	dNdS_MLPB	dN_YN	dS_YN	dNdS_YN	kappa_MYN	t_MYN	S_MYN	N_MYN	dNdS_MYN	dN_MYN	dS_MYN
gltI	b0655	STM0665	0.0317493	1.45812	0.0217742	0.0310362	1.25834	0.0246644	0.0332384	1.01754	0.0326655	0.0325176	1.02204	0.0318163	0.0325176	1.02204	0.0318163	0.0330716	1.41696	0.0233399	2.68552	1.0675	243.3	662.7	0.0267	0.0329	1.2353
lnt	b0657	STM0666	0.07045	1.04012	0.0677325	0.0718643	0.982878	0.0731162	0.0718978	0.890931	0.0806997	0.0738397	0.840216	0.0878819	0.071255	0.850867	0.083744	0.0643953	1.42068	0.0453269	2.76057	1.0867	415	1106	0.0565	0.0652	1.1541
ybeX	b0658	STM0667	0.0155179	0.768807	0.0201844	0.0160061	0.735109	0.0217737	0.016558	0.567045	0.0292006	0.017024	0.616305	0.0276226	0.0163376	0.618877	0.0263987	0.014706	0.57294	0.0256676	2.13036	0.5928	229.2	646.8	0.0196	0.014	0.7157
ybeY	b0659	STM0668	0.0779929	1.14769	0.0679563	0.076934	1.02312	0.0751951	0.0799991	0.884756	0.0904194	0.0793029	0.872452	0.0908966	0.0790717	0.873567	0.0905159	0.0776598	1.2817	0.060591	2.40058	1.097	124.6	334.4	0.0724	0.0817	1.1281
ybeZ	b0660	STM0669	0.0076902	0.948756	0.00810556	0.00756647	0.90943	0.00832002	0.00823804	0.711164	0.0115839	0.00802585	0.744007	0.0107873	0.00802585	0.744007	0.0107873	0.00828613	0.779568	0.0106291	3.61648	0.7367	295.7	739.3	0.0098	0.0082	0.8391
miaB	b0661	STM0670	0.00881658	0.751543	0.0117313	0.00961066	0.72721	0.0132158	0.00928709	0.595764	0.0155885	0.0097361	0.616758	0.0157859	0.00886803	0.620148	0.0142999	0.00766909	0.753799	0.0101739	2.49527	0.5764	368.6	1053.4	0.0106	0.0077	0.7194
ubiF	b0662	STM0671	0.0950004	1.11948	0.0848615	0.0947027	1.06875	0.0886107	0.0966424	0.978188	0.0987974	0.0965524	0.889738	0.108518	0.0952897	0.894937	0.106476	0.0838858	2.46169	0.0340765	2.81607	1.2733	314.9	858.1	0.0644	0.0866	1.345
asnB	b0674	STM0680	0.0325773	1.22682	0.0265542	0.0322162	1.11045	0.0290118	0.0338552	0.931326	0.0363516	0.0320056	0.906163	0.0353199	0.0318172	0.907102	0.0350757	0.031205	3.1565	0.00988594	2.26301	0.8781	441.4	1220.6	0.0319	0.0323	1.013
umpH	b0675	STM0681	0.0169444	1.00911	0.0167913	0.018445	0.951179	0.0193917	0.0173907	0.840273	0.0206965	0.018028	0.824444	0.0218669	0.0163448	0.831455	0.0196581	0.0162424	1.3103	0.0123959	2.14666	0.7907	201.9	548.1	0.018	0.0168	0.9334
nagC	b0676	STM0682	0.0376626	0.926159	0.0406653	0.0392961	0.887106	0.0442969	0.0389301	0.762492	0.0510565	0.0413605	0.778643	0.0531188	0.0390637	0.786962	0.0496386	0.0337266	0.824092	0.0409258	2.42013	0.8099	337	881	0.0374	0.0333	0.8887
nagA	b0677	STM0683	0.0400351	0.749992	0.0533807	0.040237	0.746247	0.0539192	0.0414032	0.645152	0.0641759	0.041318	0.62841	0.06575	0.0403986	0.631262	0.0639965	0.039813	0.740012	0.0538005	2.51165	0.6659	325	818	0.0602	0.0408	0.678
nagB	b0678	STM0684	0.0258145	0.855296	0.030182	0.0250935	0.816921	0.0307171	0.027194	0.668882	0.0406559	0.0272908	0.702118	0.0388693	0.0275518	0.700772	0.0393164	0.0269382	0.689648	0.0390608	2.58398	0.6578	222.3	575.7	0.0373	0.0268	0.7178
nagE	b0679	STM0685	0.039092	0.896639	0.0435984	0.039393	0.881273	0.0447001	0.0397509	0.805147	0.049371	0.0404326	0.78174	0.0517213	0.0395321	0.78469	0.0503793	0.0384775	0.835792	0.0460372	2.56648	0.8557	563.8	1371.2	0.0438	0.0388	0.8846
glnS	b0680	STM0686	0.0186194	0.678379	0.027447	0.0182817	0.667451	0.0273904	0.0196521	0.533147	0.0368606	0.0188946	0.551925	0.0342339	0.0188946	0.551925	0.0342339	0.0178202	0.723345	0.0246358	2.36325	0.5085	417	1245	0.0291	0.0181	0.6216
chiP	b0681	STM0687	0.0516438	0.97451	0.0529946	0.0529734	0.927959	0.057086	0.0525241	0.843267	0.0622864	0.0535684	0.816354	0.065619	0.0516952	0.82345	0.0627788	0.0495214	0.919983	0.0538286	1.22006	0.7891	313.2	1090.8	0.0472	0.0478	1.0125
chiQ	b0682	STM0688	0.103338	2.86611	0.036055	0.116613	1.57379	0.0740972	0.107257	1.50283	0.0713697	0.118673	1.22656	0.0967529	0.104552	1.37405	0.0760903	0.0910175	1.68676	0.05396	2.38699	50	84	237	0.0014	0.087	63.4709
fur	b0683	STM0693	0.00585467	0.993942	0.00589035	0.00577409	0.922048	0.00626225	0.00662287	0.620885	0.0106668	0.00617113	0.654381	0.0094305	0.00617113	0.654381	0.0094305	0.00646303	0.754577	0.00856511	4.31799	0.6985	135.9	305.1	0.0089	0.0066	0.7407
fldA	b0684	STM0694	0.011035	0.703613	0.0156834	0.0108233	0.689536	0.0156964	0.0115718	0.551798	0.0209711	0.0106543	0.595994	0.0178766	0.0106543	0.595994	0.0178766	0.00972925	1.01213	0.00961266	1.51076	0.5309	133	395	0.0153	0.0103	0.672
ybfE	b0685	STM0695	0.0491425	0.797548	0.061617	0.0485119	0.772011	0.0628383	0.0514218	0.648711	0.0792676	0.0493383	0.619412	0.0796534	0.0486394	0.619412	0.0785251	0.0487425	0.797305	0.061134	2.57473	0.6884	81.5	209.5	0.0725	0.0501	0.6908
ybfF	b0686	STM0696	0.0646973	1.70938	0.0378484	0.0664984	1.49842	0.044379	0.0656961	1.38465	0.047446	0.065078	1.22927	0.0529403	0.0626102	1.24292	0.0503736	0.0591903	3.67079	0.0161247	1.69772	1.441	210.8	551.2	0.0375	0.0593	1.5815
seqA	b0687	STM0697	0.0687837	0.724427	0.094949	0.0698279	0.703722	0.0992266	0.072332	0.587691	0.123078	0.07492	0.590264	0.126926	0.0731413	0.597111	0.122492	0.070159	0.586677	0.119587	2.84763	0.676	149.3	390.7	0.1081	0.0687	0.6355
pgm	b0688	STM0698	0.0143243	1.02908	0.0139195	0.0147138	0.968208	0.015197	0.0150663	0.804517	0.0187272	0.0144796	0.794936	0.0182149	0.0139107	0.797366	0.0174459	0.0134267	1.26802	0.0105887	3.27515	0.7737	468.5	1169.5	0.0162	0.0141	0.8667
potE	b0692	STM0700	0.0329541	1.21297	0.0271682	0.034431	1.16215	0.0296271	0.0333521	1.06003	0.0314633	0.0349835	1.01293	0.034537	0.0329157	1.02255	0.0321899	0.0291218	1.36562	0.021325	2.59617	1.0671	364.6	952.4	0.0245	0.0296	1.2076
speF	b0693	STM0701	0.161936	0.314639	0.514673	0.159781	0.333313	0.479371	0.165675	0.29752	0.556852	0.173587	0.289509	0.599592	0.171309	0.295634	0.579463	0.176075	0.263704	0.6677	3.45107	0.6247	634.5	1414.5	0.6521	0.1787	0.2741
kdpE	b0694	STM0702	0.0564685	1.15568	0.0488619	0.0552157	1.06495	0.0518483	0.0574727	0.963027	0.0596792	0.0567434	0.943507	0.060141	0.0569313	0.942029	0.0604347	0.0435974	1.43729	0.0303331	2.44965	1.1834	201.9	473.1	0.0367	0.0446	1.2144
kdpD	b0695	STM0703	0.0666179	1.31502	0.0506591	0.0671643	1.16599	0.057603	0.0669165	1.12393	0.0595378	0.0686357	1.08801	0.0630838	0.0674729	1.09319	0.0617211	0.0573453	1.6932	0.0338679	2.09128	1.3898	764.8	1914.2	0.0388	0.0574	1.4792
kdpC	b0696	STM0704	0.178128	1.02448	0.173872	0.178103	1.01067	0.176222	0.17865	0.979402	0.182408	0.181194	0.930577	0.194712	0.179165	0.937267	0.191157	0.175493	0.988958	0.177453	1.884	1.4394	168.4	398.6	0.1448	0.1743	1.2032
kdpB	b0697	STM0705	0.251146	0.0820402	3.06126	0.246989	0.103511	2.38612	0.25182	0.0996399	2.5273	0.264378	0.088054	3.00245	0.263521	0.0900169	2.92746	0.291518	0.0589177	4.94789	3.19935	0.6721	621.2	1262.8	5.238	0.3055	0.0583
kdpA	b0698	STM0706	0.0970004	1.0073	0.0962976	0.0979489	0.951598	0.102931	0.0981051	0.894635	0.109659	0.101632	0.8447	0.120318	0.09941	0.852795	0.11657	0.0900814	1.11862	0.0805294	2.51815	1.2278	474	1194	0.0747	0.0905	1.2122
ybfA	b0699	STM0708	0.110176	1.55073	0.071048	0.109983	1.56847	0.0701211	0.110971	1.41637	0.0783489	0.111609	1.2246	0.0911385	0.109127	1.23852	0.0881111	0.106103	1.61022	0.0658934	2.31157	1.3314	55.9	148.1	0.0787	0.1056	1.3409
phr	b0708	STM0709	0.138359	1.7307	0.0799443	0.13515	1.42102	0.0951074	0.137852	1.33686	0.103116	0.13868	1.2257	0.113143	0.138612	1.22414	0.113232	0.128691	1.68438	0.0764026	2.15546	1.5758	347.7	963.3	0.0819	0.1322	1.6141
dtpD	b0709	STM0710	0.0720709	1.32588	0.0543569	0.0735998	1.19317	0.0616843	0.0723037	1.12777	0.0641118	0.0743397	1.05136	0.0707084	0.0715198	1.06599	0.0670922	0.0700368	1.91272	0.0366164	2.10864	1.2567	402.6	1076.4	0.0522	0.0705	1.3504
ybgI	b0710	STM0711	0.0238722	1.13979	0.0209443	0.0248806	1.02906	0.024178	0.02469	0.893678	0.0276274	0.0248002	0.882661	0.0280971	0.0233904	0.889265	0.0263031	0.0185112	3.96852	0.00466451	2.5068	0.9022	202.6	538.4	0.0185	0.0194	1.0485
ybgJ	b0711	STM0712	0.0806916	1.23053	0.0655745	0.0830423	1.13651	0.0730679	0.0822462	1.05852	0.0776995	0.0867661	1.00623	0.0862287	0.083488	1.026	0.081372	0.0780589	1.33761	0.058357	2.93825	1.2944	191.5	462.5	0.0623	0.0798	1.2809
ybgK	b0712	STM0713	0.0974094	1.54021	0.0632443	0.0953811	1.39257	0.0684927	0.0981765	1.3036	0.0753118	0.0973559	1.20993	0.0804643	0.0979584	1.2058	0.0812393	0.0908755	1.35484	0.0670747	2.40893	1.5243	254.1	675.9	0.057	0.0921	1.6144
ybgL	b0713	STM0714	0.134143	1.12349	0.119398	0.139132	1.08081	0.128729	0.136239	1.0191	0.133686	0.142762	0.89045	0.160326	0.135816	0.918622	0.147848	0.132144	1.08428	0.121872	2.43604	1.3476	212.6	519.4	0.1079	0.132	1.2239
nei	b0714	STM0728	0.0667492	1.45155	0.0459848	0.0650435	1.20656	0.0539081	0.0683205	1.0726	0.0636959	0.067683	1.06851	0.0633435	0.068131	1.0653	0.0639549	0.0660338	1.2589	0.0524535	2.24431	1.1194	220.1	568.9	0.0585	0.068	1.162
abrB	b0715	STM0729	0.127759	1.44407	0.0884713	0.131864	1.32208	0.0997398	0.128156	1.29454	0.098998	0.134727	1.25167	0.107637	0.128826	1.28179	0.100505	0.123582	1.42355	0.0868123	1.97931	1.8696	321.5	722.5	0.0718	0.1252	1.7423
ybgO	b0716	STM3026	0.822596	0.817932	1.0057	0.809893	0.921398	0.878982	0.786924	1.02015	0.771377	0.83603	0.870607	0.960284	0.823483	0.89856	0.916447	0.851779	0.795873	1.07025	1.47848	2.6701	148	461	1.2659	0.9379	0.7409
ybgP	b0717	STM3027	0.768136	0.830859	0.924508	0.7537	0.909326	0.828856	0.736184	0.985746	0.746829	0.773151	0.836377	0.924405	0.762934	0.863345	0.883696	0.79019	0.824441	0.958456	1.49868	2.4822	168.9	473.1	1.0254	0.8328	0.8122
ybgQ	b0718	STM3028	0.650948	0.92054	0.707137	0.649846	0.953709	0.681388	0.645488	0.971796	0.664222	0.673392	0.891905	0.755004	0.667745	0.907639	0.735694	0.691666	0.819913	0.843585	1.90423	2.2998	309.5	761.5	0.8048	0.7164	0.8901
gltA	b0720	STM0730	0.0228473	0.827204	0.0276199	0.0229628	0.803229	0.0285881	0.0234205	0.703944	0.0332703	0.0226119	0.69488	0.0325407	0.0221304	0.696653	0.0317667	0.0206444	1.18676	0.0173955	1.72854	0.6345	321.9	959.1	0.0274	0.0213	0.7782
sdhC	b0721	STM0732	0.0390186	0.430555	0.0906239	0.0407832	0.447894	0.0910554	0.0396709	0.406199	0.0976639	0.0414733	0.382218	0.108507	0.0387673	0.389566	0.099514	0.0379499	0.394371	0.096229	2.54285	0.4504	119.2	267.8	0.0981	0.0392	0.3994
sdhD	b0722	STM0733	0.0278144	0.514495	0.0540616	0.0252804	0.535376	0.0472198	0.0277833	0.49816	0.0557717	0.0263423	0.495333	0.053181	0.0277319	0.489712	0.056629	0.025865	0.43015	0.0601301	2.04035	0.4889	103.1	241.9	0.0538	0.026	0.4843
sdhA	b0723	STM0734	0.00986764	0.542093	0.0182029	0.00972702	0.541704	0.0179563	0.0103325	0.455756	0.022671	0.00942466	0.456652	0.0206386	0.00942466	0.456652	0.0206386	0.00910213	0.657849	0.0138362	2.95089	0.4357	479.9	1284.1	0.0188	0.0096	0.5082
sdhB	b0724	STM0735	0.0183675	0.682783	0.0269009	0.0181142	0.709229	0.0255407	0.0197588	0.543742	0.0363385	0.0187354	0.557296	0.0336185	0.0187354	0.557296	0.0336185	0.0154697	0.635295	0.0243504	2.81711	0.5122	186.7	527.3	0.0252	0.0153	0.6095
sucA	b0726	STM0736	0.0290918	0.664961	0.0437496	0.0291826	0.658472	0.0443187	0.0304884	0.55056	0.0553771	0.0292593	0.535592	0.0546299	0.028783	0.537202	0.0535795	0.0273499	0.749139	0.0365084	2.69773	0.5572	744.8	2054.2	0.0457	0.0283	0.6199
sucB	b0727	STM0737	0.0186508	0.548191	0.0340225	0.0186656	0.551955	0.0338173	0.0188665	0.512211	0.0368334	0.0185915	0.502785	0.036977	0.0183253	0.50355	0.0363922	0.0159794	0.588274	0.0271632	1.73873	0.4827	327	876	0.0298	0.0163	0.5483
sucC	b0728	STM0738	0.00692432	0.448065	0.0154538	0.00683418	0.473223	0.0144418	0.00735249	0.386408	0.0190278	0.00663902	0.389326	0.0170526	0.00663902	0.389326	0.0170526	0.00724004	0.410042	0.0176568	3.45479	0.3701	357.1	806.9	0.0196	0.0075	0.385
sucD	b0729	STM0739	0.0251817	0.587714	0.0428469	0.0242126	0.623742	0.0388183	0.0253003	0.571468	0.0442725	0.0251404	0.567297	0.0443161	0.0254218	0.566171	0.0449012	0.0248138	0.550602	0.0450667	2.13604	0.5398	237.8	629.2	0.042	0.0248	0.5905
mngR	b0730	STM3785	0.618588	3.32439	0.186076	0.61213	2.54084	0.240916	0.602293	2.61184	0.230601	0.631743	2.11801	0.298272	0.617057	2.19124	0.281602	0.657589	1.58351	0.415272	1.69352	3.0948	159.9	443.1	0.3379	0.6789	2.0091
cydA	b0733	STM0740	0.0227243	0.598222	0.0379865	0.0223523	0.604051	0.0370039	0.0233965	0.525933	0.0444856	0.0225428	0.520824	0.043283	0.0225428	0.520824	0.043283	0.0220636	0.616263	0.0358022	2.47492	0.5193	431.5	1134.5	0.0398	0.0226	0.5687
cydB	b0734	STM0741	0.0419103	0.596273	0.0702871	0.0412257	0.606248	0.0680013	0.0421443	0.566196	0.0744342	0.0422778	0.550777	0.0767603	0.0422778	0.550777	0.0767603	0.0401668	0.577799	0.0695169	2.17785	0.5855	301.2	835.8	0.0643	0.0402	0.6252
ybgE	b0735	STM0743	0.0839966	1.28477	0.0653786	0.0876019	1.22022	0.0717917	0.0846559	1.17623	0.0719722	0.0871474	1.03758	0.083991	0.0827431	1.05595	0.0783586	0.078505	1.59785	0.0491318	1.25301	1.4746	78.2	200.8	0.05	0.0777	1.5545
ybgC	b0736	STM0744	0.0380732	0.702245	0.0542164	0.0427249	0.678684	0.0629526	0.0403301	0.571043	0.0706253	0.0430435	0.530238	0.0811778	0.0381596	0.549421	0.0694543	0.0391466	0.669617	0.0584613	3.24948	0.6173	115.7	283.3	0.0663	0.0405	0.6105
tolQ	b0737	STM0745	0.0087531	0.797958	0.0109694	0.0104916	0.815782	0.0128608	0.00880078	0.755366	0.011651	0.0107229	0.786856	0.0136275	0.00894186	0.792399	0.0112845	0.00802497	0.757429	0.010595	1.2425	0.6323	173.4	507.6	0.0098	0.0079	0.8045
tolR	b0738	STM0746	0.0775994	0.941458	0.0824247	0.0786024	0.958229	0.0820289	0.0804516	0.841729	0.095579	0.0802368	0.7785	0.103066	0.0785008	0.784587	0.100054	0.0797291	0.825442	0.0965896	2.45064	0.9685	125.3	300.7	0.0887	0.0803	0.9048
tolA	b0739	STM0747	0.248208	0.686739	0.36143	0.240138	0.728718	0.329535	0.240172	0.718368	0.33433	0.251946	0.652619	0.386053	0.250247	0.6584	0.380084	0.264241	0.584786	0.451859	2.00392	1.1272	236	622	0.4427	0.2791	0.6304
tolB	b0740	STM0748	0.026567	0.787282	0.0337452	0.0255143	0.76465	0.0333672	0.0267982	0.712771	0.0375972	0.0262516	0.70289	0.037348	0.0267318	0.700628	0.0381541	0.024024	0.795435	0.0302024	2.11408	0.6603	359.6	930.4	0.034	0.0247	0.7256
pal	b0741	STM0749	0.00774029	0.354278	0.021848	0.00765398	0.359156	0.021311	0.0079398	0.319437	0.0248556	0.00711434	0.321824	0.0221063	0.00711434	0.321824	0.0221063	0.00773277	0.371696	0.020804	1.35198	0.2761	117.9	392.1	0.0207	0.0077	0.3723
ybgF	b0742	STM0750	0.152994	0.233202	0.656059	0.148827	0.26429	0.56312	0.161006	0.208677	0.771555	0.164381	0.192448	0.854157	0.164381	0.192448	0.854157	0.169516	0.186599	0.908447	4.53667	0.5386	215.1	510.9	0.8982	0.1737	0.1934
nadA	b0750	STM0756	0.0719616	NA	NA	0.0764756	2.10011	0.0364151	0.0720629	1.96193	0.0367306	0.077706	1.81413	0.0428337	0.0716509	1.85279	0.0386719	0.0691404	1.7147	0.0403221	1.75351	2.248	292.9	748.1	0.0279	0.0693	2.4861
pnuC	b0751	STM0757	0.0760871	1.53965	0.0494184	0.0885302	1.23882	0.0714633	0.0765303	1.21112	0.0631897	0.0906612	1.16688	0.0776951	0.0772861	1.23292	0.0626853	0.0715411	1.42914	0.050059	1.73572	1.5957	189.1	527.9	0.0391	0.0711	1.8187
zitB	b0752	STM0758	0.0924383	1.72735	0.0535146	0.0968601	1.41975	0.0682231	0.0912889	1.43181	0.0637579	0.0985602	1.35322	0.0728337	0.0927094	1.3785	0.0672537	0.0857614	1.85665	0.0461915	1.62751	1.5909	269	652	0.0532	0.0856	1.6083
ybgS	b0753	STM0759	0.116091	1.31422	0.0883351	0.1174	1.20396	0.0975119	0.122541	1.01157	0.121139	0.124896	0.950843	0.131353	0.123062	0.96014	0.128171	0.122557	0.995189	0.12315	3.92422	2.1028	114.6	260.4	0.0623	0.1252	2.0092
aroG	b0754	STM0760	0.0273479	1.16521	0.0234704	0.0294512	1.07703	0.0273449	0.0280838	0.947352	0.0296445	0.0292527	0.935564	0.0312674	0.0268482	0.944904	0.0284136	0.0242611	2.29684	0.0105628	1.52517	0.8735	264.6	785.4	0.0229	0.0247	1.0821
gpmA	b0755	STM0772	0.00877497	0.737102	0.0119047	0.00867217	0.709472	0.0122234	0.00939053	0.56024	0.0167616	0.00872252	0.587643	0.0148432	0.00872252	0.587643	0.0148432	0.00728976	0.715461	0.0101889	2.27315	0.5273	193.9	556.1	0.0112	0.0074	0.6587
galM	b0756	STM0773	0.0805728	1.35614	0.0594134	0.0795506	1.19529	0.0665534	0.0811561	1.10992	0.0731186	0.0790028	1.00901	0.0782975	0.0786717	1.01073	0.0778365	0.0732409	1.48116	0.0494484	1.81247	1.1546	265.6	772.4	0.0589	0.0756	1.2842
galK	b0757	STM0774	0.052543	1.14933	0.0457161	0.0542644	1.04548	0.0519039	0.0537123	0.941118	0.0570728	0.0557166	0.90937	0.0612695	0.0532703	0.920829	0.0578504	0.0528159	1.14014	0.0463241	2.4236	1.0049	318.7	827.3	0.0502	0.0535	1.0657
galT	b0758	STM0775	0.0425189	1.08697	0.0391171	0.0421533	0.98188	0.0429312	0.0447436	0.814805	0.0549133	0.0433807	0.795694	0.0545193	0.0432801	0.796165	0.0543608	0.0377828	1.40586	0.0268753	3.27262	0.8804	288	756	0.0407	0.0391	0.9612
galE	b0759	STM0776	0.021597	1.09332	0.0197535	0.0206821	1.05526	0.0195991	0.0233952	0.804313	0.0290872	0.0224539	0.81101	0.0276863	0.0229036	0.807223	0.0283734	0.0216514	0.916792	0.0236165	5.89508	0.9781	289.1	724.9	0.0196	0.0213	1.0899
modF	b0760	STM0778	0.0742994	1.81086	0.0410299	0.074561	1.41276	0.0527768	0.0762525	1.26113	0.0604634	0.0769402	1.21256	0.0634527	0.0756883	1.21972	0.0620538	0.0651776	1.42205	0.0458334	2.31365	1.3977	413.1	1044.9	0.045	0.0665	1.4763
modE	b0761	STM0779	0.0714092	1.36947	0.0521437	0.074017	1.20708	0.061319	0.073168	1.09039	0.0671029	0.0760263	1.03942	0.0731432	0.0724559	1.05499	0.0686789	0.0653317	1.50418	0.0434334	2.25677	1.2897	218.8	567.2	0.0469	0.0646	1.3768
acrZ	b0762	STM0780	0.0457939	0.585473	0.0782169	0.0406792	0.612361	0.0664301	0.044145	0.476905	0.0925655	0.0469336	0.556037	0.0844073	0.0469336	0.556037	0.0844073	0.0544964	0.356161	0.153011	3.62313	0.5706	49.6	97.4	0.1175	0.0538	0.458
modA	b0763	STM0781	0.0832965	1.04909	0.0793986	0.0839961	1.02534	0.0819203	0.0835457	0.979646	0.0852815	0.0866837	0.92865	0.0933438	0.0848872	0.93492	0.0907961	0.0845316	0.847509	0.0997413	1.84879	1.0975	227	544	0.0809	0.0842	1.0406
modB	b0764	STM0782	0.0297539	0.934931	0.0318247	0.0323908	0.874064	0.0370576	0.0296474	0.819905	0.0361596	0.0332616	0.801466	0.0415009	0.0298469	0.813984	0.0366677	0.0237059	0.983227	0.0241103	2.79057	1.0545	212.5	474.5	0.0224	0.0242	1.0825
modC	b0765	STM0783	0.0430581	1.21782	0.0353568	0.0482866	1.02227	0.0472347	0.0445619	0.920359	0.0484179	0.0505037	0.931363	0.0542256	0.0450961	0.956704	0.047137	0.0423306	1.38274	0.0306135	2.29275	0.995	285	771	0.0388	0.0431	1.1121
ybhA	b0766	STM0784	0.0975661	1.49496	0.0652635	0.100427	1.36308	0.0736762	0.0994524	1.28235	0.077555	0.101291	1.13146	0.0895225	0.0978238	1.15576	0.0846406	0.0881434	2.93811	0.03	1.87479	1.4752	219.1	596.9	0.0555	0.0882	1.5911
pgl	b0767	STM0785	0.0527387	1.35601	0.0388925	0.0536493	1.16656	0.0459894	0.0541615	1.04598	0.0517805	0.0559815	1.02883	0.0544128	0.054503	1.03706	0.0525552	0.0520084	1.25864	0.041321	3.07219	1.3127	278.4	714.6	0.0365	0.0521	1.427
ybhI	b0770	STM3166	0.65749	0.618616	1.06284	0.644454	0.66096	0.975028	0.628311	0.714092	0.879874	0.655331	0.651788	1.00544	0.648995	0.664412	0.976797	0.713067	0.52572	1.35636	1.28214	2.0835	338.8	789.2	1.1919	0.7298	0.6123
ybhC	b0772	STM0786	0.07675	1.03922	0.0738536	0.0755316	1.03552	0.0729408	0.076339	1.00094	0.0762677	0.0766224	0.92854	0.0825192	0.0764942	0.92854	0.0823812	0.0720996	1.18995	0.0605907	1.78538	0.9883	325.2	955.8	0.0659	0.0717	1.0869
ybhB	b0773	STM0792	0.0411317	1.57291	0.0261501	0.0416285	1.26991	0.0327808	0.0421427	1.15815	0.0363879	0.0446495	1.17809	0.0379001	0.0437947	1.18217	0.037046	0.0375092	1.06042	0.035372	2.6088	1.3559	130.9	343.1	0.0218	0.0337	1.5486
bioA	b0774	STM0793	0.0952613	1.15913	0.0821838	0.0971247	1.13755	0.0853809	0.0944123	1.15005	0.0820943	0.0975948	1.01038	0.0965924	0.094234	1.0314	0.0913648	0.0843212	1.90008	0.0443778	1.80609	1.3098	324.3	905.7	0.0602	0.0853	1.4175
bioB	b0775	STM0794	0.0327519	0.969578	0.0337795	0.0321403	0.901047	0.0356699	0.0339093	0.765361	0.044305	0.0334523	0.777872	0.0430049	0.0334523	0.777872	0.0430049	0.031366	0.96915	0.0323645	2.33283	0.7764	261.4	776.6	0.0328	0.0308	0.9364
bioF	b0776	STM0795	0.144833	1.08811	0.133106	0.144454	1.02796	0.140524	0.146949	0.954378	0.153973	0.152712	0.916658	0.166596	0.151202	0.921895	0.164013	0.140342	1.07228	0.130881	2.92945	1.3522	332.8	819.2	0.1153	0.1401	1.2153
bioC	b0777	STM0796	0.229524	1.94196	0.118192	0.228578	1.68928	0.135311	0.230349	1.62419	0.141823	0.231383	1.50162	0.154089	0.229885	1.50958	0.152284	0.216515	1.82209	0.118828	1.63982	2.708	201.2	551.8	0.0744	0.2087	2.806
bioD	b0778	STM0797	0.181007	1.88433	0.0960592	0.184593	1.50736	0.122461	0.179266	1.52361	0.117659	0.184444	1.40847	0.130954	0.177738	1.44388	0.123097	0.177757	1.52583	0.116498	1.31787	1.9532	196.2	478.8	0.102	0.1829	1.7932
uvrB	b0779	STM0798	0.0171688	1.23698	0.0138796	0.0206599	1.06758	0.0193521	0.0178438	0.925156	0.0192874	0.0203504	0.92927	0.0218994	0.0168477	0.945483	0.0178191	0.0133878	1.40232	0.00954687	2.29388	1.0847	526.5	1468.5	0.0104	0.0138	1.3314
ybhK	b0780	STM0801	0.0549553	1.07389	0.051174	0.0573289	0.992083	0.0577864	0.0561192	0.91867	0.0610874	0.0575001	0.870342	0.0660661	0.0547583	0.881737	0.0621027	0.0504451	1.19084	0.0423609	2.08021	1.0163	246.5	659.5	0.0452	0.0502	1.1109
moaA	b0781	STM0802	0.0459951	1.57878	0.0291333	0.0456348	1.38609	0.0329234	0.0483018	1.1589	0.041679	0.0471297	1.12364	0.0419439	0.047016	1.12459	0.0418072	0.0397393	1.34006	0.029655	2.49707	1.2577	257.5	729.5	0.0267	0.0399	1.4941
moaB	b0782	STM0803	0.0278016	1.40358	0.0198077	0.0312737	1.21249	0.025793	0.0283163	1.14807	0.0246642	0.0306896	1.11373	0.0275557	0.0273222	1.12979	0.0241834	0.0217755	1.81067	0.0120262	1.59776	1.1507	140	370	0.0165	0.0221	1.3394
moaC	b0783	STM0804	0.0350593	0.91772	0.0382026	0.0414274	0.876604	0.047259	0.036551	0.800977	0.0456331	0.0409138	0.734029	0.0557387	0.0348047	0.764811	0.0455076	0.028946	1.07807	0.0268497	2.64066	0.8834	136.4	346.6	0.0307	0.0297	0.967
moaD	b0784	STM0805	0.0867754	1.49667	0.0579791	0.0857442	1.30154	0.0658789	0.0877002	1.23771	0.070857	0.0877799	1.15915	0.0757278	0.0881496	1.15703	0.076186	0.0817584	1.59964	0.0511104	2.33034	1.8686	74.4	168.6	0.0454	0.0838	1.8457
